"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05322","Systemic lupus erythematosus",101,0.739803091879631,1.84797710560579,1e-10,3.26e-08,2.53684210526316e-08,3521,"tags=75%, list=20%, signal=60%","HLA-DQA1/HLA-DQA2/C4B/HLA-DQB2/C1QB/H3C8/H3C7/FCGR2A/C1QA/HLA-DRB5/C6/H4C13/C4A/CD86/HLA-DQB1/HLA-DRB1/H4C9/HLA-DRA/H4C2/H2BC3/H4C1/TNF/H3-4/H2BC17/H3C15/H4C12/H2AC21/H2AC4/H2AC16/CD28/H2BC14/H4C11/H3C13/H2AC13/H2BC18/H4C5/H2BC15/H2AC19/H2AC18/HLA-DMB/H2AC15/H2BC4/H2BC7/H3C1/HLA-DMA/H2AC17/HLA-DPA1/H2BC13/H2AC25/H2AC8/H3C11/H2AC7/H4C8/H3C14/H2BC6/H2AC12/H2BC21/C3/H3-5/H3C2/H2AC6/H3C12/H4C16/CD40/H2BC11/H4C14/H4C15/H3C3/H4C4/H2AC11/ELANE/H3C10/C1R/H2BC5/H2AC14/H3C6"
"hsa04612","Antigen processing and presentation",54,0.759913808537641,1.8401199836087,5.26058000792753e-08,8.57474541292188e-06,6.67263043110808e-06,2278,"tags=48%, list=13%, signal=42%","HLA-DQA1/HLA-DQA2/HLA-DQB2/CTSS/HSPA6/HSPA1L/HLA-DRB5/HLA-DQB1/CD74/HSPA1A/HSPA2/HLA-G/HLA-F/HLA-DRB1/HLA-DRA/TNF/HSPA1B/CD8B2/HLA-C/HLA-B/HLA-DMB/B2M/HLA-DMA/HLA-A/HLA-DPA1/IFI30"
"hsa04940","Type I diabetes mellitus",29,0.831804781249707,1.9023214476285,1.38101791612315e-07,1.50070613552049e-05,1.16780813258133e-05,2323,"tags=79%, list=13%, signal=69%","IL1B/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRB5/ICA1/CD86/HLA-DQB1/HLA-G/HLA-F/HLA-DRB1/HLA-DRA/TNF/CD28/HLA-C/GAD1/HLA-B/HLA-DMB/CPE/HLA-DMA/HLA-A/HLA-DPA1/IL1A"
"hsa05332","Graft-versus-host disease",22,0.858995869973411,1.89498037844595,3.72013317108298e-07,2.4255268275461e-05,1.88747809311789e-05,2323,"tags=91%, list=13%, signal=79%","IL1B/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRB5/CD86/HLA-DQB1/HLA-G/HLA-F/HLA-DRB1/HLA-DRA/TNF/CD28/HLA-C/HLA-B/HLA-DMB/HLA-DMA/HLA-A/HLA-DPA1/IL1A"
"hsa05140","Leishmaniasis",57,0.739166059409167,1.79479570580835,3.46828015811861e-07,2.4255268275461e-05,1.88747809311789e-05,2693,"tags=47%, list=15%, signal=40%","IL1B/HLA-DQA1/CYBB/PRKCB/HLA-DQA2/HLA-DQB2/NCF4/PTGS2/TLR2/FCGR2A/HLA-DRB5/HLA-DQB1/FOS/HLA-DRB1/PTPN6/HLA-DRA/TNF/NCF2/HLA-DMB/HLA-DMA/TGFB3/HLA-DPA1/IL1A/JUN/MYD88/C3/ITGB2"
"hsa05150","Staphylococcus aureus infection",41,0.761305145179859,1.81762221607741,3.13482528799455e-06,0.000165966852449906,0.000129150828028503,2261,"tags=59%, list=13%, signal=51%","HLA-DQA1/HLA-DQA2/C4B/HLA-DQB2/C1QB/KRT17/KRT16/KRT14/C3AR1/CFH/FCGR2A/C1QA/HLA-DRB5/C4A/HLA-DQB1/HLA-DRB1/KRT15/HLA-DRA/KRT13/ICAM1/ITGAL/HLA-DMB/HLA-DMA/HLA-DPA1"
"hsa04613","Neutrophil extracellular trap formation",146,0.614408630978452,1.54525146660233,3.5637054207035e-06,0.000165966852449906,0.000129150828028503,3807,"tags=52%, list=22%, signal=41%","CYBB/PRKCB/CASP1/NCF4/H3C8/TLR2/H3C7/PLCB2/FCGR2A/H4C13/SYK/H4C9/H4C2/H2BC3/H4C1/H3-4/H2BC17/H3C15/H4C12/H2AC21/H2AC4/ITGAL/H2AC16/H2BC14/H4C11/H3C13/RAC2/H2AC13/NCF2/H2BC18/H4C5/PIK3R1/TLR8/H2BC15/H2AC19/H2AC18/H2AC15/H2BC4/H2BC7/H3C1/H2AC17/H2BC13/H2AC25/H2AC8/H3C11/H2AC7/H4C8/H3C14/H2BC6/H2AC12/H2BC21/C3/H3-5/H3C2/H2AC6/ITGB2/PIK3R3/H3C12/H4C16/H2BC11/H4C14/H4C15/H3C3/H4C4/H2AC11/ELANE/H3C10/CASP4/H2BC5/H2AC14/H3C6/SELPLG/H4C3/H2BC12L/PIK3R2/H2AC20"
"hsa00970","Aminoacyl-tRNA biosynthesis",43,-0.614625067763498,-2.41034776090776,4.88954537403698e-06,0.000199248973992007,0.000155050057255646,4416,"tags=67%, list=25%, signal=51%","LARS1/FARSB/GATC/QARS1/NARS1/TARS3/TARS1/GATB/FARSA/NARS2/AARS2/MTFMT/EARS2/EPRS1/VARS1/YARS2/CARS2/GARS1/TARS2/IARS2/MARS1/MARS2/DARS2/CARS1/AARS1/IARS1/YARS1/PARS2/LARS2"
"hsa03008","Ribosome biogenesis in eukaryotes",72,-0.48068070159731,-2.08263294220185,8.68276147452882e-06,0.000314508915632933,0.00024474216553935,5501,"tags=51%, list=32%, signal=35%","XRN2/GNL3/NXT1/MDN1/GNL2/UTP18/NOB1/UTP6/LSG1/RRP7A/NVL/FCF1/UTP15/NOL6/WDR43/UTP4/UTP14A/RBM28/DKC1/CSNK2A3/GTPBP4/GNL3L/PWP2/WDR75/RPP25/CSNK2A1/DROSHA/BMS1/REXO1/XPO1/POP1/TBL3/WDR3/WDR36/NAT10/HEATR1/TCOF1"
"hsa05330","Allograft rejection",22,0.827322535712977,1.82510769448841,9.64941322725482e-06,0.000314570871208507,0.000244790377659833,2261,"tags=82%, list=13%, signal=71%","HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRB5/CD86/HLA-DQB1/HLA-G/HLA-F/HLA-DRB1/HLA-DRA/TNF/CD28/HLA-C/HLA-B/HLA-DMB/HLA-DMA/HLA-A/HLA-DPA1"
