"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","BP","GO:0007059","chromosome segregation","114/1969","423/18888",0.269503546099291,2.58526306689863,11.2489988494658,3.36489016947647e-22,1.72587006647537e-18,1.46472639367404e-18,"MTCL1/SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/TOP1/MAD1L1/HJURP/MKI67/HASPIN/UHRF1/FAM83D/AURKA/NCAPD3/KIF18B/CDC20/PHF13/KIF14/SHOC1/MISP/TEX15/RRS1/CDCA2/CDC6/TUBGCP4/PLK1/ASPM/AURKB/FLNA/SMARCC1/NCAPG2/TACC3/DDB1/TUBGCP3/TTL/KIF4A/KIF22/TPX2/SMARCD2/CEP85/RCC1/TOP2A/ANAPC1/TOP3A/NDE1/RMI2/MAP3K20/PSRC1/KIFC1/NUMA1/HAUS6/BRCA1/MAP1S/BIRC5/NCAPH/CDCA5/CSNK2A1/STIL/MYBL2/RACGAP1/BAZ1B/XRCC3/RCC2/SMC1A/SKA1/TRIP13/CUL3/CDT1/NR3C1/KMT5A/NCOR1/EML3/BUB1B/CHMP7/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/CCNB2/KIF4B/KIF11/DPF2/DIAPH3/MTCL2/NUP62/DYNC1H1/KIF23/ECT2/RECQL5/CENPF/NCAPG/RAD18/CEP97/INCENP/FIRRM/NEK6/KNTC1/SETDB2/KNSTRN/NUF2/SPC24/GPSM2/CDC27/NDC1/CENPE/CDC23/ZW10/EHMT2/CENPI/DLGAP5/SMARCA4",114
"GO:0140014","BP","GO:0140014","mitotic nuclear division","87/1969","277/18888",0.314079422382672,3.01286547992072,11.5129544094185,5.86631565763213e-22,1.72587006647537e-18,1.46472639367404e-18,"SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/MKI67/HASPIN/UHRF1/AURKA/NCAPD3/KIF18B/CDC20/PHF13/KIF14/MISP/CDC14B/RRS1/CDCA2/PLK1/TOM1L2/AURKB/FLNA/NCAPG2/KIF4A/KIF22/TPX2/CEP85/RCC1/NDE1/PSRC1/KIFC1/NUMA1/LRP5/ANLN/BIRC5/NCAPH/CDCA5/MYBL2/PKMYT1/RACGAP1/BAZ1B/CCDC8/EPS8/XRCC3/SMC1A/CDC25C/SKA1/TRIP13/CUL3/CDT1/CTDP1/KMT5A/EML3/BUB1B/HOXA13/CHMP7/BMP7/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/KIF4B/KIF11/BORA/NUP62/CUL9/KIF23/CENPF/NCAPG/CEP97/INCENP/KNTC1/INSR/KNSTRN/NUF2/SPC24/KIF20B/CENPE/CDC23/REEP4/ZW10/SPHK1/CENPI/DLGAP5",87
"GO:0000819","BP","GO:0000819","sister chromatid segregation","76/1969","229/18888",0.331877729257642,3.18359906054766,11.3413162451071,6.07808673466164e-21,1.1921154115583e-17,1.01173485856964e-17,"SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/HASPIN/UHRF1/NCAPD3/KIF18B/CDC20/PHF13/KIF14/MISP/RRS1/CDC6/PLK1/AURKB/FLNA/SMARCC1/NCAPG2/TACC3/KIF4A/KIF22/TPX2/SMARCD2/TOP2A/ANAPC1/RMI2/MAP3K20/PSRC1/KIFC1/NUMA1/BIRC5/NCAPH/CDCA5/MYBL2/RACGAP1/BAZ1B/XRCC3/SMC1A/SKA1/TRIP13/CUL3/CDT1/KMT5A/EML3/BUB1B/CHMP7/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/KIF4B/KIF11/DPF2/NUP62/KIF23/CENPF/NCAPG/CEP97/INCENP/NEK6/KNTC1/KNSTRN/NUF2/SPC24/CDC27/CENPE/CDC23/ZW10/CENPI/DLGAP5/SMARCA4",76
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","90/1969","317/18888",0.28391167192429,2.72347570305028,10.5568452254977,2.21793982003265e-19,3.26258947526803e-16,2.76892276479866e-16,"SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/HASPIN/UHRF1/FAM83D/AURKA/NCAPD3/KIF18B/CDC20/PHF13/KIF14/SHOC1/MISP/TEX15/RRS1/CDC6/PLK1/ASPM/AURKB/FLNA/SMARCC1/NCAPG2/TACC3/DDB1/TTL/KIF4A/KIF22/TPX2/SMARCD2/TOP2A/ANAPC1/RMI2/MAP3K20/PSRC1/KIFC1/NUMA1/MAP1S/BIRC5/NCAPH/CDCA5/MYBL2/RACGAP1/BAZ1B/XRCC3/RCC2/SMC1A/SKA1/TRIP13/CUL3/CDT1/KMT5A/EML3/BUB1B/CHMP7/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/CCNB2/KIF4B/KIF11/DPF2/NUP62/DYNC1H1/KIF23/ECT2/CENPF/NCAPG/CEP97/INCENP/NEK6/KNTC1/KNSTRN/NUF2/SPC24/CDC27/NDC1/CENPE/CDC23/ZW10/EHMT2/CENPI/DLGAP5/SMARCA4",90
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","64/1969","188/18888",0.340425531914894,3.26559545292459,10.6501932634097,1.74384721623201e-18,2.05215940406183e-15,1.74164446185361e-15,"SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/HASPIN/UHRF1/NCAPD3/KIF18B/CDC20/PHF13/KIF14/MISP/RRS1/PLK1/AURKB/FLNA/NCAPG2/KIF4A/KIF22/TPX2/PSRC1/KIFC1/NUMA1/BIRC5/NCAPH/CDCA5/MYBL2/RACGAP1/BAZ1B/XRCC3/SMC1A/SKA1/TRIP13/CUL3/CDT1/KMT5A/EML3/BUB1B/CHMP7/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/KIF4B/KIF11/NUP62/KIF23/CENPF/NCAPG/CEP97/INCENP/KNTC1/KNSTRN/NUF2/SPC24/CENPE/CDC23/ZW10/CENPI/DLGAP5",64
"GO:0006260","BP","GO:0006260","DNA replication","79/1969","278/18888",0.284172661870504,2.72597929782127,9.89012536604025,3.40426152492876e-17,3.33844580211347e-14,2.83330117092316e-14,"POLE/TOP1/MCM4/HMGA1/MCM2/RFWD3/MCM10/POLD1/ORC1/CDC6/TIMELESS/MCM3/TICRR/GLI2/CDK2/CHAF1B/POLG/MCM7/SIN3A/DNAJA3/CDC25A/MCM6/RPA1/TONSL/CTC1/FBH1/LIG3/CHAF1A/UPF1/SUPT16H/RMI2/POLA1/PARP1/BRCA1/DTL/LPIN1/GTPBP4/DHX9/EME1/KAT7/JADE1/DONSON/GINS1/E2F8/CDT1/CDC45/MCMBP/ANKRD17/CCNA2/FEN1/MCM5/TWNK/LIG1/WDHD1/ACTR5/JADE2/PIF1/TOPBP1/WAPL/NFRKB/BLM/RECQL4/RFC1/RUVBL2/CHTF18/RTEL1/CIZ1/E4F1/POLQ/RECQL5/RRM1/GRWD1/POLRMT/CAMSAP3/SLX4/LRWD1/ID3/EHMT2/EGFR",79
"GO:0048285","BP","GO:0048285","organelle fission","115/1969","493/18888",0.233265720081136,2.23764495728415,9.49919150587348,4.21611704970037e-17,3.543947531491e-14,3.00770816297422e-14,"PPARG/SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/MKI67/HASPIN/UHRF1/AURKA/NCAPD3/KIF18B/CDC20/PHF13/KIF14/SHOC1/MISP/CDC14B/TEX15/RRS1/CDCA2/PLK1/ASPM/TOM1L2/AURKB/FLNA/FANCA/NCAPG2/DDB1/KIF4A/RAD54L/MIEF2/KIF22/TPX2/GPR3/CEP85/CORO1C/RCC1/TOP2A/MIEF1/NDE1/TESMIN/PGAM5/PSRC1/KIFC1/NUMA1/LRP5/ANLN/BIRC5/NCAPH/CDCA5/MYBL2/PKMYT1/RACGAP1/BAZ1B/CCDC8/EPS8/XRCC3/SPIRE1/SMC1A/MYO19/CDC25C/EME1/CDC25B/SKA1/TRIP13/CUL3/CDT1/CTDP1/KMT5A/EML3/BUB1B/HOXA13/COX10/CHMP7/BMP7/FIGNL1/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/CCNB2/KIF4B/KIF11/LIF/BORA/NUP62/CUL9/KIF23/CENPF/NCAPG/SPIRE2/CEP97/INCENP/FZR1/KNTC1/INSR/SLX4/KNSTRN/NUF2/SPC24/KIF20B/OPA1/NDC1/CENPE/CDC23/REEP4/ZW10/EHMT2/SPHK1/CENPI/DLGAP5",115
"GO:0000280","BP","GO:0000280","nuclear division","107/1969","446/18888",0.239910313901345,2.30138446367121,9.48824829789966,6.66652441975887e-17,4.90322871073265e-14,4.16131471675475e-14,"SPAG5/ESPL1/KIF2C/NCAPD2/CDCA8/MAD1L1/MKI67/HASPIN/UHRF1/AURKA/NCAPD3/KIF18B/CDC20/PHF13/KIF14/SHOC1/MISP/CDC14B/TEX15/RRS1/CDCA2/PLK1/ASPM/TOM1L2/AURKB/FLNA/FANCA/NCAPG2/DDB1/KIF4A/RAD54L/KIF22/TPX2/GPR3/CEP85/RCC1/TOP2A/NDE1/TESMIN/PSRC1/KIFC1/NUMA1/LRP5/ANLN/BIRC5/NCAPH/CDCA5/MYBL2/PKMYT1/RACGAP1/BAZ1B/CCDC8/EPS8/XRCC3/SPIRE1/SMC1A/CDC25C/EME1/CDC25B/SKA1/TRIP13/CUL3/CDT1/CTDP1/KMT5A/EML3/BUB1B/HOXA13/CHMP7/BMP7/FIGNL1/MAP10/WAPL/KATNB1/CCNB1/CEP192/TUBG1/CCNB2/KIF4B/KIF11/LIF/BORA/NUP62/CUL9/KIF23/CENPF/NCAPG/SPIRE2/CEP97/INCENP/FZR1/KNTC1/INSR/SLX4/KNSTRN/NUF2/SPC24/KIF20B/NDC1/CENPE/CDC23/REEP4/ZW10/EHMT2/SPHK1/CENPI/DLGAP5",107
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","56/1969","164/18888",0.341463414634146,3.27555153662253,9.98449920313456,2.05054070713604e-16,1.34059794675427e-13,1.13775030580741e-13,"ESPL1/CDCA8/UHRF1/AURKA/WDR62/CDC20/MISP/CKAP5/PLK1/AURKB/FLNA/FSD1/TACC3/KIF4A/TPX2/RCC1/SAPCD2/NDE1/PSRC1/KIFC1/NUMA1/GPSM1/MAP1S/BIRC5/TACC2/STIL/MYBL2/RACGAP1/SMC1A/EML3/SUN2/CHMP7/MCPH1/FAM110A/CENPA/MAP10/CCNB1/CEP192/TUBG1/KIF4B/KIF11/BORA/INTS13/NUP62/DYNC1H1/KIF23/CLTC/CEP97/INCENP/NEK6/NUF2/PCNT/GPSM2/CENPE/ZW10/DLGAP5",56
"GO:0007052","BP","GO:0007052","mitotic spindle organization","49/1969","131/18888",0.374045801526718,3.58810416416284,10.1403445826034,2.34283571492093e-16,1.37852453465947e-13,1.16993817174578e-13,"CDCA8/UHRF1/AURKA/WDR62/CDC20/MISP/CKAP5/PLK1/AURKB/FLNA/FSD1/TACC3/KIF4A/TPX2/RCC1/PSRC1/KIFC1/NUMA1/MAP1S/BIRC5/TACC2/STIL/MYBL2/RACGAP1/SMC1A/EML3/SUN2/CHMP7/FAM110A/MAP10/CCNB1/CEP192/TUBG1/KIF4B/KIF11/BORA/INTS13/NUP62/DYNC1H1/KIF23/CLTC/CEP97/INCENP/NEK6/NUF2/PCNT/GPSM2/CENPE/DLGAP5",49
