"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","BP","GO:0002181","cytoplasmic translation","65/1956","160/18888",0.40625,3.92292944785276,12.6195657051289,1.01687912091527e-23,5.99043490131185e-20,4.72474151549473e-20,"SH3BGRL/RPS27/RPS29/RPS12/RPL31/RPL38/RPL34/RPL35A/RPL37/RPL37A/RPS21/RPL32/NMNAT2/RPS24/RPL26/RPS18/RPL41/RPS23/RPS20/RPL27A/RPLP2/CPEB4/RPL39/CPEB2/RPS15A/RPL35/RPL30/RPS25/RPL36/RPL22L1/RPS14/RPL24/RPL11/RPS28/RPS26/RPL23/RPL27/RPS16/RPL12/RPS27A/RPLP1/RPL21/RWDD1/CPEB3/UBA52/RPL9/RPS8/EIF4A1/RPS6/RPL10A/RPS11/RPL26L1/RPS3/RPS19/RPS15/RPS7/FAU/RPS13/RPL29/RPL28/RPS10/RPS3A/RPL18A/RPS9/ZNF385A",65
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","100/1956","419/18888",0.238663484486873,2.30464002811251,9.17884012439659,6.60041565744836e-16,1.94415243190141e-12,1.53338077431458e-12,"HLA-DQA1/HLA-DQB2/HLA-DQA2/RHOH/HLA-G/NR4A3/ARID1B/HLA-DRB5/CLEC4M/HLA-DQB1/PTPRC/NCKAP1L/LAPTM5/AIF1/FGL2/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/CX3CR1/PPP3CA/PLA2G2A/IL1B/CD74/KLF4/CD209/IGF1/SOCS1/TGFBR2/CCR7/CD83/DOCK8/EGR3/IRF1/HLA-DRB1/SOX4/SYK/DUSP10/TNFAIP8L2/LGALS9B/BCL6/FERMT3/CCL2/LGALS9C/RAC2/SELENOK/FOXJ1/RUNX3/DPP4/JAM2/NLRP3/DAPL1/MAP3K8/VAV1/RASAL3/ITGAL/SMAD7/XBP1/CARD11/PELI1/B2M/LAG3/HLA-DMA/ALOX5/RASGRP1/TNF/CD24/S100A9/TNFSF13B/LCK/ZAP70/CD86/CD28/ICAM1/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/LOXL3/ARG1/RPS3/CCL5/ITGB2/ZC3H12A/TNFRSF14/CEBPB/IL1A/FYN/ELANE/DUSP22/CORO1A/ITPKB/IGF2/SFTPD/ADTRP/HLA-DPA1/HLA-DRA/GPNMB",100
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","92/1956","382/18888",0.240837696335079,2.32563517810683,8.89633663982692,5.43459177618102e-15,1.06717267178275e-11,8.41694319300458e-12,"HLA-DQA1/HLA-DQB2/HLA-DQA2/RHOH/HLA-G/NR4A3/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/LAPTM5/AIF1/FGL2/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/PPP3CA/PLA2G2A/IL1B/CD74/KLF4/CD209/IGF1/SOCS1/TGFBR2/CCR7/CD83/DOCK8/EGR3/IRF1/HLA-DRB1/SOX4/SYK/DUSP10/TNFAIP8L2/LGALS9B/BCL6/CCL2/LGALS9C/SELENOK/FOXJ1/RUNX3/DPP4/NLRP3/DAPL1/MAP3K8/VAV1/RASAL3/SMAD7/XBP1/CARD11/PELI1/B2M/LAG3/HLA-DMA/ALOX5/RASGRP1/TNF/CD24/TNFSF13B/LCK/ZAP70/CD86/CD28/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/LOXL3/ARG1/RPS3/CCL5/ITGB2/ZC3H12A/TNFRSF14/CEBPB/IL1A/FYN/ELANE/DUSP22/CORO1A/ITPKB/IGF2/SFTPD/ADTRP/HLA-DPA1/HLA-DRA/GPNMB",92
"GO:0050863","BP","GO:0050863","regulation of T cell activation","89/1956","382/18888",0.232984293193717,2.24979924838596,8.38740177499129,1.19516846143058e-13,1.76018435157188e-10,1.38828252335647e-10,"HLA-DQA1/HLA-DQB2/HLA-DQA2/RHOH/HLA-G/PRDM1/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/LAPTM5/AIF1/FGL2/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/PPP3CA/PLA2G2A/IL1B/CD74/CD209/IGF1/SOCS1/TGFBR2/CCR7/CD83/DOCK8/EGR3/IRF1/HLA-DRB1/SOX4/SYK/DUSP10/TNFAIP8L2/LGALS9B/BCL6/CCL2/LGALS9C/RAC2/SELENOK/FOXJ1/RUNX3/DPP4/NLRP3/DAPL1/JUNB/BATF/MAP3K8/VAV1/RASAL3/SMAD7/XBP1/CARD11/PELI1/B2M/LAG3/HLA-DMA/RASGRP1/CD24/TNFSF13B/LCK/ZAP70/CD86/CD28/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/LOXL3/ARG1/RPS3/CCL5/ZC3H12A/TNFRSF14/CEBPB/IL1A/FYN/DUSP22/CORO1A/ITPKB/IGF2/SFTPD/HLA-DPA1/HLA-DRA/GPNMB",89
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","106/1956","496/18888",0.213709677419355,2.063675044528,8.15919128194865,2.22793849013647e-13,2.53898362969413e-10,2.00253263076949e-10,"HLA-DQA1/HLA-DQB2/HLA-DQA2/SPI1/RHOH/HLA-G/NR4A3/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/LAPTM5/AIF1/FGL2/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/PPP3CA/PLA2G2A/IL1B/CD74/KLF4/CD209/IGF1/SOCS1/CITED2/TGFBR2/EPHA7/CCR7/CD83/DOCK8/EGR3/IRF1/HLA-DRB1/SOX4/SYK/DUSP10/TNFAIP8L2/LGALS9B/BCL6/FERMT3/CCL2/LGALS9C/SELENOK/FOXJ1/WNT4/RGCC/RUNX3/BMP2/DPP4/PRKG1/NLRP3/DAPL1/MAP3K8/VAV1/RASAL3/SMAD7/XBP1/CARD11/PELI1/B2M/LAG3/HLA-DMA/ALOX5/RASGRP1/TNF/CD24/TNFSF13B/SERPINF2/LCK/ZAP70/ZDHHC2/CD86/CD28/SOX2/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/LOXL3/ARG1/RPS3/CCL5/ITGB2/ZC3H12A/FOXA1/ZNF703/TNFRSF14/CEBPB/IL1A/FYN/ELANE/DUSP22/CORO1A/ITPKB/IGF2/SFTPD/ADTRP/HLA-DPA1/NOTCH4/HLA-DRA/GPNMB",106
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","71/1956","277/18888",0.256317689530686,2.47511683019202,8.40607447773024,2.85574562658146e-13,2.53898362969413e-10,2.00253263076949e-10,"HLA-DQA1/HLA-DQB2/HLA-DQA2/RHOH/HLA-G/NR4A3/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/AIF1/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/PPP3CA/IL1B/CD74/CD209/IGF1/SOCS1/TGFBR2/CCR7/CD83/DOCK8/EGR3/HLA-DRB1/SOX4/SYK/DUSP10/BCL6/CCL2/SELENOK/RUNX3/DPP4/NLRP3/MAP3K8/VAV1/RASAL3/XBP1/CARD11/B2M/HLA-DMA/ALOX5/RASGRP1/TNF/CD24/TNFSF13B/LCK/ZAP70/CD86/CD28/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/RPS3/CCL5/ITGB2/TNFRSF14/IL1A/FYN/ELANE/CORO1A/ITPKB/IGF2/HLA-DPA1/HLA-DRA",71
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","104/1956","485/18888",0.214432989690722,2.07065966732022,8.11876151635078,3.01695559461194e-13,2.53898362969413e-10,2.00253263076949e-10,"HLA-DQA1/HLA-DQB2/HLA-DQA2/RHOH/HLA-G/NR4A3/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/DAB2/AIF1/NFKBIZ/PTPN6/HES1/SASH3/HLA-A/PPP3CA/IL1B/CD74/CD209/IGF1/SOCS1/VAV3/CITED2/TGFBR2/CCR7/EGFLAM/CD83/VTN/DOCK8/EGR3/FN1/PREX1/COL8A1/HLA-DRB1/SOX4/SYK/DUSP10/ITGA6/CDK6/APBB1IP/BCL6/CCL2/SELENOK/CARMIL1/WNT4/RUNX3/NPNT/DPP4/NLRP3/MAP3K8/VAV1/RASAL3/SMAD7/EDIL3/XBP1/CARD11/B2M/CD36/HLA-DMA/ALOX5/FBLN2/RASGRP1/TNF/VIT/CD24/TNFSF13B/SFRP1/SERPINF2/LCK/ZFHX3/AGR2/SPOCK2/ZAP70/ARPC2/CD86/CD28/SOX2/ECM2/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/NEDD9/RPS3/CCL5/ITGB2/FOXA1/TNFRSF14/IL1A/RET/FYN/ELANE/CORO1A/ITPKB/ITGA2/IGF2/CDC42/HLA-DPA1/NID1/HLA-DRA",104
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","87/1956","380/18888",0.228947368421053,2.21081691959961,8.10405387309376,6.39480081056293e-13,4.234189542332e-10,3.33956573182168e-10,"HLA-DQA1/HLA-DQB2/MMP14/HLA-DQA2/SPI1/RHOH/HLA-G/MEF2C/NR4A3/ARID1B/HLA-DRB5/HLA-DQB1/PTPRC/NCKAP1L/AIF1/NFKBIZ/PLEK/PTPN6/HES1/SASH3/HLA-A/PPP3CA/IL1B/CTSC/CD74/CD209/IGF1/BTK/SOCS1/VAV3/TGFBR2/CCR7/CD83/DOCK8/GPR183/EGR3/HLA-DRB1/SOX4/SYK/DUSP10/CDKN1A/BCL6/PLA2G4A/CCL2/SELENOK/ACTA2/RUNX3/DPP4/NLRP3/MAP3K8/VAV1/RASAL3/XBP1/CARD11/PELI1/B2M/LILRA2/HLA-DMA/RASGRP1/TNF/CD24/TNFSF13B/INPP5D/LCK/ZAP70/CD86/CD28/HLA-DMB/TNFSF9/LEF1/CCR2/LGALS1/STAP1/RPS3/CCL5/THBS1/CAPN3/TNFRSF14/IL1A/FYN/CORO1A/ITPKB/IGF2/HLA-DPA1/MYD88/IL15RA/HLA-DRA",87
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","103/1956","484/18888",0.212809917355372,2.05498656391016,7.99144440680984,6.46880086250008e-13,4.234189542332e-10,3.33956573182168e-10,"CSF1R/MMP14/SPI1/RHOH/DOCK2/HLA-G/PRDM1/ARID1B/PTPRC/NCKAP1L/IRF8/FOS/FGL2/NFKBIZ/MAFB/PTPN6/SASH3/IKZF1/FES/ID2/IL1B/CD74/PLCL2/FOXP1/DOCK10/BTK/SOCS1/BLNK/TGFBR2/INHBA/CCR7/CD83/GPR183/EGR3/IRF1/PREX1/HLA-DRB1/SOX4/SYK/KLF6/PIK3R1/DUSP10/PTGER4/CDK6/BCL6/ITGB8/SEMA4A/TRPM2/HLA-B/ST3GAL1/FOXJ1/PIK3R3/LY6D/WNT4/RUNX3/MT1G/IRF7/TMEM176A/NLRP3/JUNB/BATF/VAV1/NFIL3/CHD7/SOCS3/SMAD7/XBP1/CARD11/B2M/LAG3/EGR1/RUNX2/PDE1B/RASGRP1/RSAD2/TNFSF13B/SFRP1/INPP5D/LCK/RORA/ZAP70/DNAJB9/FZD8/CD86/CD28/TNFSF9/LEF1/CCR2/LGALS1/LOXL3/HOXA7/GPR89B/ZC3H12A/IL6R/FCER1G/IKZF3/CD79A/CEBPB/IL1A/ITPKB/GPR18/IL15RA/HLA-DRA",103
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","31/1956","72/18888",0.430555555555556,4.15763462849352,9.12381052459982,7.47333474599984e-13,4.39215478587347e-10,3.46415517423465e-10,"HLA-DQA1/HLA-DQB2/HLA-DQA2/CTSS/HLA-G/HLA-F/HLA-DRB5/CLEC4M/HLA-DQB1/HLA-A/CD74/HLA-H/CD209/HLA-C/MARCHF1/HLA-DRB1/SLC11A1/HLA-B/MFSD6/TAPBPL/MPEG1/IFI30/B2M/HLA-DMA/CTSF/HLA-DMB/FCER1G/ERAP1/MICB/HLA-DPA1/HLA-DRA",31
