"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","47/1009","158/8542",0.29746835443038,2.51830989449386,7.04984049805486,8.12035750530989e-10,2.7121994067735e-07,2.34208205942622e-07,"ESPL1/MCM4/MAD1L1/SMAD3/MCM2/CDC20/CDC14B/ORC1/CDC6/PLK1/MCM3/TICRR/AURKB/CDK2/E2F2/MCM7/PRKDC/CDC25A/MCM6/ANAPC1/HDAC1/CDCA5/PKMYT1/RBL2/SMC1A/CDC25C/CDC25B/TFDP1/TRIP13/CDT1/CDC45/CCNA2/MCM5/BUB1B/ABL1/WAPL/CCNB1/RBL1/CCNB2/SKP2/PPP2R1B/E2F1/E2F4/FZR1/CDC27/CDC23/ZBTB17",47
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","33/1009","108/8542",0.305555555555556,2.58677458429688,6.0733215514281,1.35264356251297e-07,2.25891474939665e-05,1.95065440067659e-05,"NUP188/NUP205/RANGAP1/NUP98/XPO7/GLE1/EEF1A2/NUP160/XPO6/THOC5/KPNA6/NUP50/UPF1/XPO5/NUP93/IPO9/AHCTF1/XPOT/NUP133/NUP155/NUP214/TNPO1/SNUPN/IPO5/NUP62/XPO1/KPNA2/IPO7/NCBP1/NUP107/NDC1/XPO4/KPNA1",33
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","22/1009","73/8542",0.301369863013699,2.55133931601884,4.871560753593,2.1004838263864e-05,0.00233853866004353,0.00201941252080658,"MTMR4/PLCH1/ITPKA/PIK3CD/PLCG1/ALDH6A1/INPP4A/PI4KA/PLCD3/PIP5K1A/IPPK/OCRL/INPP5A/ITPK1/PIP4K2B/INPP5F/SYNJ2/PIP5K1C/PLCD1/PIKFYVE/PLCB3/IPMK",22
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","26/1009","98/8542",0.26530612244898,2.24603062235796,4.54029008634511,4.65237882636868e-05,0.00388473632001785,0.00335460999585532,"MTMR4/ITPKA/ITPR3/PIK3CD/PLCG1/INPP4A/PI4KA/PLCD3/PIP5K1A/IPPK/OCRL/INPP5A/ITPK1/DGKH/PIP4K2B/INPP5F/PRKCA/DGKE/SYNJ2/DGKD/PIP5K1C/PLCD1/PIKFYVE/PPIP5K1/PLCB3/IPMK",26
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","14/1009","39/8542",0.358974358974359,3.03900790322991,4.67069042901914,8.17766451344178e-05,0.00546267989497911,0.00471722121406958,"MTHFD1/GLDC/GART/ALDH7A1/TYMS/CBS/MTHFD1L/SHMT1/SHMT2/MAT2A/SARDH/AHCYL2/MTHFD2/MTHFR",14
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","47/1009","232/8542",0.202586206896552,1.71505587642254,4.04109835731945,0.000125465794963606,0.00652054858939249,0.00563072900565251,"VCL/PXN/F2R/MYLK/ARHGEF4/IQGAP3/ACTN1/SSH1/MYH14/IQGAP2/DIAPH1/MYH10/CHRM4/PIK3CD/FGFR4/DOCK1/IQGAP1/AKT3/BCAR1/ARHGAP35/PTK2/ITGAV/ARHGEF12/GIT1/SPATA13/SRC/MYH9/CYFIP1/WASF1/PIP5K1A/ITGA5/FGFR2/ACTN4/ARHGEF7/LIMK1/PIP4K2B/DIAPH3/MAP2K2/BAIAP2/AKT1/PIP5K1C/PIKFYVE/ARHGEF1/PAK4/ARPC1B/APC2/EGFR",47
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","13/1009","36/8542",0.361111111111111,3.05709723598723,4.52646682972591,0.000136658203969304,0.00652054858939249,0.00563072900565251,"POLE/MCM4/MCM2/POLD1/MCM3/MCM7/MCM6/RPA1/POLA1/FEN1/MCM5/LIG1/RFC1",13
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","31/1009","138/8542",0.22463768115942,1.90173941770443,3.90835078648047,0.000270639894460767,0.011299215593737,0.00975728040555923,"HK2/HKDC1/PRKAG2/PCK2/PHKA1/PIK3CD/HK1/TRIP10/AKT3/ACACA/PYGB/GYS1/PYGL/SH2B2/PRKAR2A/MTOR/SLC2A4/ACACB/INPP5A/PTPRF/SREBF1/SHC1/PHKA2/TSC2/RAPGEF1/MAP2K2/AKT1/MKNK2/INSR/PHKB/SHC4",31
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","20/1009","75/8542",0.266666666666667,2.25754872811364,4.00319397569116,0.000316291757480391,0.0117379385553834,0.0101361335145763,"PC/GOT2/CS/ALDH18A1/ACO2/PFKM/CBS/SHMT1/SHMT2/GPT2/PSAT1/PKM/TKT/MAT2A/PRPS2/ASS1/PFKP/PHGDH/CPS1/ASNS",20
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","27/1009","116/8542",0.232758620689655,1.97048973035781,3.85145804766976,0.000362016770514916,0.0120913601351982,0.0104413258022197,"PC/HK2/HKDC1/GLDC/GOT2/HK1/ACSS1/CS/ALDH6A1/H6PD/ACO2/PFKM/SHMT1/SHMT2/GPT2/PSAT1/GLUD1/PKM/TKT/OGDH/PRPS2/PFKP/PHGDH/G6PD/OGDHL/CPS1/ME2",27
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","19/1009","71/8542",0.267605633802817,2.26549784335348,3.91867461165235,0.000422279040213084,0.0128219272210155,0.0110721968438646,"HK2/HKDC1/SLC7A5/PIK3CD/HK1/AKT3/PFKM/MTOR/HIF1A/SLC1A5/FGFR2/PKM/PFKP/G6PD/MAP2K2/ERBB2/AKT1/EGFR/SLC16A3",19
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","48/1009","252/8542",0.19047619047619,1.61253480579546,3.61218293792692,0.000483480069206339,0.0134568619262431,0.0116204858739067,"ASAP1/CYTH3/CBLC/SMURF2/BIN1/SMAD3/PSD3/RAB11FIP4/AP2B1/WASHC2A/ASAP2/GRK3/PLD2/FGFR4/RAB11FIP1/ARFGEF2/GIT1/WASHC2C/ASAP3/GRK6/RAB11FIP5/WIPF3/GBF1/SRC/SMURF1/EHD1/PIP5K1A/CLTCL1/DNM2/FGFR2/CHMP7/CAV3/ACAP3/PARD3/AGAP3/IQSEC1/WWP1/NEDD4/LDLRAP1/CAV1/CLTC/PIP5K1C/HGS/MVB12B/RAB31/GRK2/ARPC1B/EGFR",48
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","20/1009","78/8542",0.256410256410256,2.1707199308785,3.80126762124862,0.000552014520877682,0.0141825269210112,0.0122471237830352,"VCL/PXN/PIK3CD/DOCK1/BCAR1/SEPTIN3/PTK2/ARHGEF26/SRC/WASF1/CLTCL1/DNM2/ITGA5/CAV3/SHC1/CAV1/CLTC/SEPTIN9/SHC4/ARPC1B",20
