"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","79/1086","141/8542",0.560283687943262,4.4069459138226,15.5677420503056,3.83977653030236e-35,1.2940046907119e-32,9.86216287782923e-33,"HLA-DQA1/HLA-DQB2/HLA-DQA2/HLA-DRB5/HLA-DQB1/C1QB/C4A/H4C2/H3C8/H2AC25/H2AC13/H2AC6/H2BC21/H3-5/H4C9/HLA-DRB1/H2BC15/C6/H4C11/H2BC4/H2BC17/C4B/H2BC3/H2AC16/H4C12/H2BC7/H3C13/H4C5/H4C13/H3C15/H2AC19/H2AC18/H3C10/H3C1/H2BC14/H2BC6/H4C1/H2AC17/H4C8/H2AC21/H2AC15/C1S/FCGR2A/H2BC18/H2BC5/HLA-DMA/H2AC4/H4C16/TNF/C1QA/H3-3A/H2BC11/H2AC12/C1R/H3C2/H3C7/CD86/CD28/H2AC7/H3-4/H2AC8/HLA-DMB/H4C3/H2AC11/H2BC13/H3C3/H4C14/H4C15/H2BC12/H3C11/H2BC26/H2AC14/ELANE/C3/H3C12/H3C14/HLA-DPA1/H2AC20/HLA-DRA",79
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","98/1086","238/8542",0.411764705882353,3.23876069764923,13.3680729314787,5.08846580417219e-29,8.57406488003014e-27,6.53466134851586e-27,"CYBB/RPL10L/FOS/C1QB/C3AR1/IL1B/RPS27/C4A/RPS29/PRKCB/RPS12/RPL31/RPL38/TLR2/RPL34/MX2/RPL35A/RPL37/RPL37A/RPS21/SYK/PIK3R1/RPL32/C6/CCL2/JUN/C4B/RPS24/PIK3R3/RPL26/RPS18/RPL41/TLR8/RPS23/NLRP3/RPS20/RPL27A/RPLP2/F13A1/RPL39/HBEGF/CASP1/RPL36AL/RPS15A/RPL35/RPL30/RPS25/RPL36/C1S/ISG15/FCGR2A/OAS1/RPL22L1/RPS14/RPL24/RPL11/RPS28/RPS26/RPS27L/RPL23/IFIH1/RPL27/TNF/RIGI/RPS16/RPL12/RPS27A/C1QA/RPLP1/C1R/RPL21/OAS3/STING1/UBA52/RPL9/RPS8/RPS6/RPL10A/RPS11/RPL26L1/RPS3/RPS19/IL6R/RPS15/RPS7/FAU/RPS13/RPL29/RPL28/RPS10/RPS3A/RPL18A/C3/OAS2/TLR7/MYD88/RPS9/MASP2",98
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","76/1086","193/8542",0.393782383419689,3.09731963091251,11.2471469567245,2.90244973780788e-21,3.26041853880419e-19,2.48490433693026e-19,"CYBB/NCF4/H4C2/PRKCB/H3C8/H2AC25/TLR2/H2AC13/NCF2/H2AC6/H2BC21/H3-5/H4C9/SYK/PIK3R1/H2BC15/H4C11/RAC2/H2BC4/H2BC17/H2BC3/PIK3R3/H2AC16/PLCB2/H4C12/H2BC7/H3C13/H4C5/H4C13/H3C15/TLR8/H2AC19/H2AC18/H3C10/H3C1/H2BC14/H2BC6/CASP1/H4C1/H2AC17/ITGAL/H4C8/H2AC21/H2AC15/FCGR2A/H2BC18/H2BC5/H2AC4/H4C16/H3-3A/H2BC11/H2AC12/H3C2/H3C7/H2AC7/H3-4/H2AC8/H4C3/H2AC11/H2BC13/H3C3/H4C14/H4C15/H2BC12/H3C11/ITGB2/H2BC26/PLCB1/H2AC14/CASP4/ELANE/C3/H3C12/H3C14/TLR7/H2AC20",76
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","72/1086","188/8542",0.382978723404255,3.01234277653697,10.6475569632912,2.19579596835202e-19,1.84995810333658e-17,1.40993214809972e-17,"FOSB/H4C2/H3C8/H2AC25/CREB5/H2AC13/GNG11/GNG2/H2AC6/H2BC21/H3-5/H4C9/H2BC15/H4C11/H2BC4/H2BC17/H2BC3/H2AC16/H4C12/H2BC7/GNAI1/PRKACG/H3C13/H4C5/H4C13/H3C15/H2AC19/H2AC18/H3C10/H3C1/SHC3/H2BC14/H2BC6/H4C1/H2AC17/H4C8/H2AC21/H2AC15/H2BC18/DDC/H2BC5/H2AC4/H4C16/CALM1/H3-3A/H2BC11/CREB3L2/H2AC12/H3C2/H3C7/H2AC7/H3-4/H2AC8/H4C3/H2AC11/H2BC13/H3C3/H4C14/H4C15/H2BC12/H3C11/GNB4/GNGT2/GNAI2/H2BC26/H2AC14/GNGT1/H3C12/BDNF/H3C14/GRIN2C/H2AC20",72
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","65/1086","172/8542",0.377906976744186,2.97245064028438,9.97295736322615,2.9181037241408e-17,1.9668019100709e-15,1.49898380776917e-15,"RPL10L/RPS27/RPS29/RPS12/RPL31/RPL38/RPL34/RPL35A/RPL37/RPL37A/RPS21/RPL32/RPS24/RPL26/RPS18/RPL41/RPS23/RPS20/RPL27A/RPLP2/RPL39/RPL36AL/RPS15A/RPL35/RPL30/RPS25/RPL36/MRPL18/RPL22L1/RPS14/RPL24/MRPS21/RPL11/RPS28/RPS26/RPS27L/RPL23/RPL27/RPS16/RPL12/RPS27A/RPLP1/RPL21/UBA52/RPL9/MRPL20/RPS8/RPS6/RPL10A/RPS11/RPL26L1/RPS3/RPS19/RPS15/RPS7/FAU/RPS13/MRPL33/MRPS6/RPL29/RPL28/RPS10/RPS3A/RPL18A/RPS9",65
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","23/1086","44/8542",0.522727272727273,4.11154361292483,7.89696460383438,2.8392020978099e-10,1.5946851782699e-08,1.21537774011512e-08,"HLA-DQA1/HLA-DQB2/HLA-DQA2/HLA-G/HLA-F/HLA-DRB5/HLA-DQB1/HLA-A/IL1B/CPE/HLA-C/ICA1/HLA-DRB1/HLA-B/HLA-DMA/GAD1/TNF/CD86/CD28/HLA-DMB/IL1A/HLA-DPA1/HLA-DRA",23
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","70/1086","278/8542",0.251798561151079,1.98053711726751,6.34318832784628,6.90207287233604e-09,3.32285508282464e-07,2.53248989601503e-07,"CYBB/HSPA6/HSPA1L/HSPA1B/HSPA1A/TUBA4A/ATP5F1E/NCF4/C1QB/PPP3CA/IL1B/NDUFA1/NDUFB1/CREB5/NCF2/PIK3R1/COX7B/C6/TUBA3C/NDUFA4/RAC2/PIK3R3/COX7C/DDIT3/COX6C/COX7A2/PRKACG/UQCRQ/NDUFB2/NDUFC1/COX5B/NDUFB3/HSPA5/COX6B1/EGR1/NDUFA2/NDUFA12/ATP5MC2/TUBB3/TNF/SEM1/C1QA/NDUFA6/ATP5PF/NDUFB4/CREB3L2/UQCR11/NDUFS5/TUBA1A/NDUFB6/NDUFB7/CACNA1C/COX6A1/CCL5/UQCRB/NDUFA4L2/NDUFB11/UQCR10/UQCRH/NDUFS4/CACNA1D/IL1A/FYN/NDUFA11/COX8A/NDUFA13/PSMA6/NDUFA3/GRIN2C/UQCRHL",70
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","42/1086","138/8542",0.304347826086957,2.3938666026103,6.29990582848373,2.73005294957759e-08,9.83838296182652e-07,7.49825220267272e-07,"ATP6V0A4/ATP5F1E/NDUFA1/NDUFB1/COX17/ATP5ME/COX7B/NDUFA4/COX7C/COX6C/COX7A2/UQCRQ/NDUFB2/NDUFC1/ATP5MF/ATP5MG/COX5B/NDUFB3/COX6B1/NDUFA2/NDUFA12/ATP5MC2/NDUFA6/ATP5PF/NDUFB4/UQCR11/NDUFS5/NDUFB6/NDUFB7/COX6A1/UQCRB/NDUFA4L2/NDUFB11/UQCR10/UQCRH/NDUFS4/ATP6V0A2/NDUFA11/COX8A/NDUFA13/NDUFA3/UQCRHL",42
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","55/1086","205/8542",0.268292682926829,2.11027264968782,6.14070161953108,2.91940147235208e-08,9.83838296182652e-07,7.49825220267272e-07,"HLA-G/HLA-F/EGR2/HLA-A/TBPL2/H4C2/HLA-C/CREB5/STAT5A/H2BC21/EGR3/H4C9/SYK/PIK3R1/CCND2/H2BC15/CDKN1A/CDK6/H4C11/HLA-B/H2BC4/JUN/H2BC17/H2BC3/PIK3R3/H4C12/H2BC7/PRKACG/IRF7/H4C5/H4C13/H2BC14/H2BC6/H4C1/PMAIP1/H4C8/H2BC18/H2BC5/MAPKAPK2/HPN/H4C16/CCR5/H2BC11/CREB3L2/H4C3/H2BC13/H4C14/H4C15/H2BC12/GSN/H2BC26/C3/CDC42/TBPL1/GTF2B",55
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","55/1086","205/8542",0.268292682926829,2.11027264968782,6.14070161953108,2.91940147235208e-08,9.83838296182652e-07,7.49825220267272e-07,"CYBB/COL1A2/COL3A1/ATP5F1E/NCF4/MMP2/NDUFA1/PRKCB/TGFBR2/NDUFB1/NCF2/PIK3R1/COX7B/NDUFA4/RAC2/PIK3R3/COX7C/PLCB2/COX6C/COX7A2/UQCRQ/NDUFB2/CAMK2D/NDUFC1/COX5B/NDUFB3/CD36/COX6B1/NDUFA2/NDUFA12/ATP5MC2/TGFB3/NDUFA6/ATP5PF/NDUFB4/UQCR11/NDUFS5/PDK2/NDUFB6/NDUFB7/COX6A1/UQCRB/NDUFA4L2/MPC1/NDUFB11/UQCR10/UQCRH/NDUFS4/ATP2A3/PLCB1/NDUFA11/COX8A/NDUFA13/NDUFA3/UQCRHL",55
