"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"ADM",34674.3333333333,4292.33333333333,30382,8.85063976119278,7.07797539273871,2.82333674610398,"0.0e+00","0.0e+00",0,0,4373,4212,4292,30219,30853,30074
"AKR1B1",13031.3333333333,11079,1952.33333333333,7.4390151097467,0.17620769553065,-2.50465116233467,"0.0e+00","0.0e+00",0,0,10760,11306,11171,1945,2026,1886
"ANO9",6504,5884,620,6.43683270722407,0.105435828226937,-3.24556290132725,"0.0e+00","0.0e+00",0,0,5861,6078,5713,659,619,582
"BIRC3",11100.6666666667,9604.66666666667,1496,7.20772727054921,0.155760760838385,-2.6825962586243,"0.0e+00","0.0e+00",0,0,9760,9319,9735,1475,1562,1451
"C3",14605.3333333333,12693.3333333333,1912,7.60347907460032,0.150670173131451,-2.73053424752233,"0.0e+00","0.0e+00",0,0,12607,12634,12839,2053,1791,1892
"CCL5",62949,52070,10879,9.71086146627112,0.208933486632475,-2.25888435726023,"0.0e+00","0.0e+00",0,0,51360,54358,50492,11020,10718,10899
"CD69",7882,7590,292,6.71393802914228,0.0384534173943015,-4.70074437211489,"0.0e+00","0.0e+00",0,0,7632,7294,7844,281,304,291
"CD82",10926.6666666667,9944.66666666667,982,7.18495290775217,0.0987929890919292,-3.33944752611449,"0.0e+00","0.0e+00",0,0,9964,10283,9587,1040,1029,877
"EBI3",10654.3333333333,9536.66666666667,1117.66666666667,7.14854957123185,0.11722411174463,-3.09265874768167,"0.0e+00","0.0e+00",0,0,9553,9982,9075,1162,1132,1059
"ICAM1",296457.333333333,272606.666666667,23850.6666666667,11.9463584472707,0.087491197990268,-3.51471830716733,"0.0e+00","0.0e+00",0,0,269518,280214,268088,23595,23490,24467
"LAMC2",109492,95299,14193,10.5093853295287,0.148935656051261,-2.74723891013976,"0.0e+00","0.0e+00",0,0,94055,94213,97629,14786,13693,14100
"LGALS3BP",8299,7412.66666666667,886.333333333333,6.78834869561795,0.119609952840123,-3.06359065254479,"0.0e+00","0.0e+00",0,0,7327,7661,7250,891,889,879
"MMP1",7588,6645.66666666667,942.333333333333,6.65904500024606,0.141772646711505,-2.81834888572542,"0.0e+00","0.0e+00",0,0,6517,6612,6808,931,968,928
"OLR1",2802.33333333333,2677.33333333333,125,5.22328998782197,0.0467464812277931,-4.41899841742197,"0.0e+00","0.0e+00",0,0,2666,2593,2773,119,121,135
"PLAU",264386,259710.666666667,4675.33333333333,11.7811797293295,0.0180033483936401,-5.79559093535054,"0.0e+00","0.0e+00",0,0,256980,260003,262149,4884,4596,4546
"SBSN",2331,2299.33333333333,31.6666666666667,4.95771228229718,0.0137833286811772,-6.18093184803841,"0.0e+00","0.0e+00",0,0,2324,2265,2309,35,21,39
"TOMM22",6633,865,5768,6.4651304958196,6.67000774895368,2.73768843747741,"0.0e+00","0.0e+00",0,0,889,879,827,5871,5631,5802
"MRFAP1",18641.3333333333,3092.33333333333,15549,7.95540203957699,5.02815927020177,2.33003034878209,"7.8e-312","1.2e-307",6.61325017955131e-309,1.19038503231924e-307,2911,3175,3191,15165,15860,15622
"CYP1B1",19310.6666666667,3625.33333333333,15685.3333333333,8.00628369501279,4.32675881426105,2.11328670311076,"1.1e-307","1.7e-303",9.16813102609133e-305,1.74194489495735e-303,3607,3636,3633,15086,15928,16042
"ANPEP",107060,86029.6666666667,21030.3333333333,10.4769884702753,0.244456438077439,-2.03235069379541,"1.3e-302","2.0e-298",9.78935389623865e-300,1.95787077924773e-298,85861,88326,83902,20928,20584,21579
"BZW1",24829.3333333333,20913.3333333333,3916,8.36885440123621,0.187268187533978,-2.41682225448978,"3.3e-299","5.0e-295",2.40637321764277e-296,5.05338375704982e-295,20937,20438,21365,4178,3910,3660
"MAP2K1",22691.6666666667,18899.3333333333,3792.33333333333,8.2390272512036,0.200696523602012,-2.31691246785088,"4.5e-295","6.8e-291",3.10535195268047e-292,6.83177429589704e-291,19481,18364,18853,3984,3820,3573
"SLCO4A1",22684,18311.3333333333,4372.66666666667,8.23850791708816,0.238806147736944,-2.06608811760024,"4.5e-289","6.9e-285",3.00676976014431e-286,6.91557044833192e-285,17859,18844,18231,4528,4299,4291
"SERPINE1",203099.666666667,163307,39792.6666666667,11.4007305481799,0.243669505278032,-2.03700238275494,"1.5e-288","2.3e-284",9.72143650206057e-286,2.33314476049454e-284,163361,164684,161876,41257,38157,39964
