"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","c-1","c-2","c-3","regulated"
"AASS",3064,1,3063,5.26685272693171,2987.07942626289,11.5445198839955,"0.0e+00","0.0e+00",0,0,0,3,0,3199,3172,2818,"up"
"ABCA1",3932.66666666667,66.6666666666667,3866,5.62186040216768,57.9114374224861,5.85577640136027,"0.0e+00","0.0e+00",0,0,61,81,58,3920,3928,3750,"up"
"ABCA3",3626.66666666667,3467.66666666667,159,5.4734062693762,0.0457371248641188,-4.45049051214603,"0.0e+00","0.0e+00",0,0,3704,3419,3280,139,149,189,"down"
"ABCG2",4232.66666666667,3955.66666666667,277,5.69897086898576,0.0699486595910726,-3.83755977812938,"0.0e+00","0.0e+00",0,0,3948,3850,4069,279,260,292,"down"
"ABLIM1",5012.66666666667,835,4177.66666666667,5.9646082994235,5.00326910898173,2.32287105212116,"0.0e+00","0.0e+00",0,0,847,821,837,4200,4145,4188,"up"
"ABR",25843,21362.3333333333,4480.66666666667,8.3196756348894,0.209729095297506,-2.25340107737421,"0.0e+00","0.0e+00",0,0,21835,21384,20868,4377,4501,4564,"down"
"ABTB2",9039.33333333333,7977.33333333333,1062,6.8007055938152,0.133097660122434,-2.90944288621783,"0.0e+00","0.0e+00",0,0,8208,7972,7752,1057,1032,1097,"down"
"AC008038.1",33803,27794,6009,8.70741925713833,0.216225090897746,-2.20939415084616,"0.0e+00","0.0e+00",0,0,28412,27324,27646,6139,5890,5998,"down"
"AC093010.2",1395.66666666667,0,1395.66666666667,4.15448183859043,11162.3332066948,13.4463509975681,"0.0e+00","0.0e+00",0,0,0,0,0,1327,1449,1411,"up"
"AC140479.4",4007.33333333333,4003.33333333333,4,5.61722223454601,0.000960662136176269,-10.023683253616,"0.0e+00","0.0e+00",0,0,4698,3271,4041,0,4,8,"down"
"ACACA",4010.66666666667,437,3573.66666666667,5.64705508064438,8.17149134818761,3.03059940325296,"0.0e+00","0.0e+00",0,0,430,453,428,3610,3396,3715,"up"
"ACP7",20040.6666666667,20031.6666666667,9,7.95128310151399,0.000468404732726285,-11.0599567267542,"0.0e+00","0.0e+00",0,0,20047,20107,19941,11,11,5,"down"
"ACTN4",137496.666666667,119890.333333333,17606.3333333333,10.732369700169,0.146848165722661,-2.76760284978537,"0.0e+00","0.0e+00",0,0,123941,120495,115235,17392,17268,18159,"down"
"ADAM10",11245.3333333333,1643.33333333333,9602,7.12532146754257,5.84274916180685,2.54664735349905,"0.0e+00","0.0e+00",0,0,1637,1610,1683,9821,9552,9433,"up"
"ADAM23",1660.66666666667,10,1650.66666666667,4.39861058375654,164.543261763743,7.36232313742157,"0.0e+00","0.0e+00",0,0,7,8,15,1639,1636,1677,"up"
"ADAMTS15",3706.66666666667,3157.33333333333,549.333333333333,5.50894813468279,0.174112286942152,-2.52191007865865,"0.0e+00","0.0e+00",0,0,3093,3216,3163,552,563,533,"down"
"ADD2",2844.66666666667,0,2844.66666666667,5.16118007979096,22755.5208968057,14.4739289909769,"0.0e+00","0.0e+00",0,0,0,0,0,2747,2853,2934,"up"
"ADD3",6351.66666666667,279.666666666667,6072,6.30673431033829,21.6983963356455,4.43951651616979,"0.0e+00","0.0e+00",0,0,304,271,264,6087,6096,6033,"up"
"ADM",5793,5785,8,6.15357066925803,0.00148382642470745,-9.39646194665204,"0.0e+00","0.0e+00",0,0,5910,5663,5782,14,4,6,"down"
"ADORA2B",17267.6666666667,15810.6666666667,1457,7.73658791272308,0.0921743371814782,-3.43949105272667,"0.0e+00","0.0e+00",0,0,15730,15705,15997,1475,1454,1442,"down"
"ADRM1",18750.3333333333,15822.3333333333,2928,7.85614052651554,0.185034536327272,-2.43413352285987,"0.0e+00","0.0e+00",0,0,16365,15945,15157,2918,2807,3059,"down"
"AEN",20937,18106,2831,8.0153978264531,0.156341863038543,-2.67722396011065,"0.0e+00","0.0e+00",0,0,17436,18677,18205,2781,2818,2894,"down"
"AFAP1-AS1",3627.33333333333,3584,43.3333333333333,5.47266666583216,0.0121465066432246,-6.36331473793224,"0.0e+00","0.0e+00",0,0,3564,3703,3485,39,56,35,"down"
"AFF1",4654.66666666667,351,4303.66666666667,5.86094879718565,12.2510816546299,3.61483722606458,"0.0e+00","0.0e+00",0,0,332,388,333,4399,4174,4338,"up"
"AFF3",3159.66666666667,68.6666666666667,3091,5.30975135201795,44.8125794771123,5.4858318673883,"0.0e+00","0.0e+00",0,0,50,70,86,2988,3226,3059,"up"
"AFF4",7747,1055.66666666667,6691.33333333333,6.58985134185324,6.33532052652239,2.6634176123142,"0.0e+00","0.0e+00",0,0,1028,1009,1130,6608,6600,6866,"up"
"AGR2",8596,8596,0,6.72618175940545,1.45406277377394e-05,-16.0695509208207,"0.0e+00","0.0e+00",0,0,8312,8640,8836,0,0,0,"down"
