"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","c-1","c-2","c-3","d-1","d-2","d-3"
"SERPINB2",5710.33333333333,4609.33333333333,1101,6.24543045914038,0.238962056801529,-2.06514653446367,"1.4e-185","2.8e-181",2.77433033249224e-181,2.77433033249224e-181,4657,4476,4695,1061,1126,1116
"PTX3",3486,2827.33333333333,658.666666666667,5.53558177881145,0.233462764606903,-2.09873562461253,"3.4e-132","6.8e-128",3.39717125894195e-128,6.7943425178839e-128,2898,2829,2755,657,612,707
"DHRS2",11263,8290.33333333333,2972.66666666667,7.223464857649,0.358300446709057,-1.4807582526657,"1.3e-100","2.6e-96",8.56392508053393e-97,2.56917752416018e-96,8353,8320,8198,3171,2963,2784
"IL24",2024.66666666667,1620.66666666667,404,4.75451491663648,0.249411464717725,-2.00340031171155,"1.0e-87","2.0e-83",5.00388962561724e-84,2.0015558502469e-83,1563,1712,1587,429,379,404
"CD24",9636.66666666667,2851.66666666667,6785,6.99710755132123,2.37923092082025,1.25049530209281,"4.7e-83","9.4e-79",1.87652881481955e-79,9.38264407409776e-79,2829,2959,2767,6571,6841,6943
"TAGLN",12195.3333333333,3495.66666666667,8699.66666666667,7.33666185417002,2.48826398830618,1.31513955396385,"1.3e-68","2.5e-64",4.16418888545694e-65,2.49851333127417e-64,3518,3446,3523,9531,8200,8368
"F13A1",10395.3333333333,3343.33333333333,7052,7.10645183186134,2.1096052999302,1.07697310078108,"4.3e-67","8.5e-63",1.21308535033682e-63,8.49159745235774e-63,3332,3321,3377,6789,7163,7204
"GDF15",9393,6855.33333333333,2537.66666666667,6.9617712287179,0.369846548815287,-1.43500128139812,"9.2e-64","1.8e-59",2.2720007870728e-60,1.81760062965824e-59,6757,6789,7020,2634,2749,2230
"UCA1",3066.66666666667,2481.66666666667,585,5.35067776548265,0.234884639890365,-2.0899757224421,"9.1e-63","1.8e-58",1.99814769071569e-59,1.79833292164412e-58,2534,2345,2566,636,650,469
"AL160236.2",142.333333333333,0,142.333333333333,0.885483906478404,1139.38761794288,10.1540429178813,"2.6e-56","5.2e-52",5.16560431238771e-53,5.16560431238771e-52,0,0,0,149,140,138
"KRT17",4086.66666666667,1181,2905.66666666667,5.75880806078275,2.45925913949008,1.29822376403493,"6.5e-56","1.3e-51",1.17089520072008e-52,1.28798472079209e-51,1145,1259,1139,3050,2943,2724
"IFIT3",17486.3333333333,11373.6666666667,6112.66666666667,7.85751321063143,0.537465771197217,-0.895755216085634,"1.6e-55","3.2e-51",2.68398989554724e-52,3.22078787465669e-51,11437,11273,11411,6118,6087,6133
"EDIL3",16712.3333333333,5743.33333333333,10969,7.79151520108047,1.91019010072926,0.933716221366769,"2.3e-54","4.6e-50",3.50388635661614e-51,4.55505226360098e-50,5779,5741,5710,10668,10850,11389
"MEG3",5464,3749,1715,6.18094579825668,0.457128339878287,-1.12932883264095,"4.4e-54","8.8e-50",6.27172165754257e-51,8.78041032055959e-50,3885,3560,3802,1782,1713,1650
"TENM2",3703.66666666667,1048.33333333333,2655.33333333333,5.61675001768884,2.53235884118114,1.34048185251951,"2.4e-53","4.8e-49",3.21413422030919e-50,4.82120133046378e-49,1026,978,1141,2773,2671,2522
"KYNU",6113.66666666667,4292.33333333333,1821.33333333333,6.34306976675065,0.424831873679068,-1.23503608422158,"2.9e-48","5.7e-44",3.56917683078663e-45,5.7106829292586e-44,4402,4134,4341,1851,1628,1985
"IER3",4071,2770,1301,5.75719069780228,0.469283122367144,-1.0914695197014,"1.9e-47","3.7e-43",2.16448942595738e-44,3.67963202412755e-43,2846,2825,2639,1325,1327,1251
"STC1",1374.66666666667,1044.66666666667,330,4.19820832310024,0.315589141818481,-1.66388052614598,"2.5e-47","5.0e-43",2.76303789985815e-44,4.97346821974467e-43,998,1034,1102,331,346,313
"GPAT3",3236.33333333333,2216,1020.33333333333,5.42690227189366,0.460266262625108,-1.11945939755097,"3.5e-45","6.9e-41",3.63484133492258e-42,6.9061985363529e-41,2125,2266,2257,1026,1050,985
"CD22",1777.66666666667,1288.66666666667,489,4.56655086211306,0.37988113207488,-1.3963800368407,"2.1e-44","4.3e-40",2.12902546190571e-41,4.25805092381142e-40,1318,1293,1255,454,509,504
"IFIT2",5335,3513.33333333333,1821.66666666667,6.14633908960842,0.51827551292787,-0.948208862870471,"5.6e-41","1.1e-36",5.29760812551155e-38,1.11249770635743e-36,3507,3619,3414,1772,1913,1780
"OLFML3",3630.33333333333,1059,2571.33333333333,5.58797886254457,2.42570097079898,1.27840171264503,"7.0e-41","1.4e-36",6.2722654757304e-38,1.37989840466069e-36,1153,967,1057,2502,2790,2422
"ABLIM1",13081.3333333333,4814.33333333333,8267,7.43816993875746,1.71720243909063,0.780060127083946,"1.3e-40","2.5e-36",1.09897882564552e-37,2.5276512989847e-36,4833,4776,4834,8273,8139,8389
"MMP1",1010,834.666666666667,175.333333333333,3.76063693795419,0.2115270332964,-2.24108604236774,"3.8e-39","7.6e-35",3.17956381233814e-36,7.63095314961153e-35,850,840,814,169,140,217
"CCDC80",7619.33333333333,2539.33333333333,5080,6.6580308232298,1.99967713144686,0.999767080768686,"1.8e-37","3.5e-33",1.40549256517985e-34,3.51373141294964e-33,2543,2523,2552,5443,5202,4595
"COL3A1",1240.66666666667,276.666666666667,964,4.03734832457411,3.49207220645787,1.80408339024504,"3.0e-36","5.9e-32",2.25357251335088e-33,5.85928853471228e-32,232,286,312,937,922,1033
"ITGA2",17385.6666666667,10919,6466.66666666667,7.84914769133402,0.592240111426934,-0.755745889753512,"3.5e-36","7.0e-32",2.60199467170965e-33,7.02538561361605e-32,11043,10920,10794,6218,6661,6521
"FDCSP",254,227.333333333333,26.6666666666667,1.81156553145311,0.116779278371284,-3.09814379364164,"5.6e-36","1.1e-31",3.99377086456458e-33,1.11825584207808e-31,222,234,226,29,25,26
"CDKN1A",25712.6666666667,16313.3333333333,9399.33333333333,8.41350567516769,0.576070012005403,-0.795683936284138,"1.6e-35","3.1e-31",1.06549162396522e-32,3.08992570949914e-31,15973,16354,16613,9814,9512,8872
"CXCL8",2047,1504.33333333333,542.666666666667,4.76965889220201,0.361437958232219,-1.46818006882397,"2.4e-35","4.8e-31",1.61232329605531e-32,4.83696988816592e-31,1611,1468,1434,566,460,602
"DUSP6",5898.66666666667,3752,2146.66666666667,6.29089813339827,0.572134972352745,-0.8055725615664,"1.7e-34","3.4e-30",1.09806237498082e-31,3.40399336244054e-30,3828,3796,3632,2120,2174,2146
"LBH",2618,719.666666666667,1898.33333333333,5.11620752260438,2.63722007454781,1.39901796832449,"6.3e-34","1.3e-29",3.91831795135581e-31,1.25386174443386e-29,711,820,628,2029,1739,1927
"DUSP4",3143.66666666667,2075.33333333333,1068.33333333333,5.38503576005332,0.515460911602472,-0.956065065500375,"3.0e-33","6.0e-29",1.8126672160684e-30,5.9818018130257e-29,2046,2074,2106,1081,1010,1114
"AP001931.2",1688.66666666667,0.333333333333333,1688.33333333333,4.47220753040203,3904.47642772283,11.9309133872495,"5.1e-33","1.0e-28",2.99525660709215e-30,1.01838724641133e-28,0,0,1,3485,544,1036
"EPAS1",12693.3333333333,8177.66666666667,4515.66666666667,7.3954701804141,0.551883357245296,-0.857564715032163,"9.6e-33","1.9e-28",5.45695036086485e-30,1.9099326263027e-28,8320,7978,8235,4724,4691,4132
"IGFN1",770,604.333333333333,165.666666666667,3.37071553459386,0.273501536731039,-1.87037915573417,"1.1e-32","2.2e-28",6.08987209038214e-30,2.19235395253757e-28,620,596,597,180,173,144
"OASL",2388.66666666667,1617.33333333333,771.333333333333,4.98994072397097,0.475977877469843,-1.07103357346808,"7.6e-32","1.5e-27",4.0972555642123e-29,1.51598455875855e-27,1670,1577,1605,814,787,713
"LINC00973",1588.33333333333,1109.66666666667,478.666666666667,4.40417355825028,0.431100079353631,-1.21390526681058,"7.9e-32","1.6e-27",4.10959067219604e-29,1.5616444554345e-27,1136,1121,1072,457,508,471
"BIRC3",1927.66666666667,1318.66666666667,609,4.6821314056898,0.462725486822357,-1.11177153045666,"1.0e-31","2.0e-27",5.19541436222863e-29,2.02621160126917e-27,1280,1339,1337,587,592,648
"LRRN1",9524,3271.66666666667,6252.33333333333,6.98015639883418,1.91048474974116,0.933938741568433,"1.1e-31","2.1e-27",5.35994375867215e-29,2.14397750346886e-27,3403,3288,3124,5888,6883,5986
"FILIP1L",23433,8129,15304,8.27911151508018,1.88233601699418,0.912524187460856,"1.2e-31","2.3e-27",5.62496389161961e-29,2.30623519556404e-27,8112,8345,7930,14945,16898,14069
"ACTA2",4196.33333333333,1431.66666666667,2764.66666666667,5.79745668886508,1.92957410095328,0.948282448401102,"1.7e-31","3.3e-27",7.87841475953833e-29,3.3089341990061e-27,1458,1391,1446,2861,2903,2530
"NDRG1",10644,6690.33333333333,3953.66666666667,7.14157509832632,0.590714540240264,-0.759466971035174,"8.9e-31","1.8e-26",4.11774656933137e-28,1.77063102481249e-26,6654,6670,6747,4175,3939,3747
"IGFBP5",11346.3333333333,4165.66666666667,7180.66666666667,7.23280326498681,1.72344876261113,0.785298408640994,"1.7e-30","3.5e-26",7.85863186746487e-28,3.45779802168454e-26,4055,4161,4281,7629,7114,6799
"HKDC1",1630.33333333333,1128,502.333333333333,4.44116112235361,0.444531764002557,-1.16964158442244,"2.0e-30","3.9e-26",8.6428321709978e-28,3.88927447694901e-26,1134,1079,1171,518,509,480
"IL6",1477.66666666667,1075,402.666666666667,4.30088126287237,0.373511166140638,-1.42077672176595,"2.0e-30","4.0e-26",8.72702248098393e-28,4.01443034125261e-26,1041,1058,1126,440,422,346
"PDPN",31678,12016.6666666667,19661.3333333333,8.71411566409894,1.63607468352031,0.710238605911178,"2.8e-30","5.5e-26",1.18072474399777e-27,5.54940629678951e-26,11753,12021,12276,19471,20599,18914
"TMEM156",352,304,48,2.26244927362215,0.156551259498698,-2.67529297947871,"4.4e-30","8.8e-26",1.83345655263649e-27,8.80059145265514e-26,280,288,344,45,58,41
"CSF1",13752,8633.66666666667,5118.33333333333,7.51091298487589,0.592637740110467,-0.75477759255623,"1.3e-29","2.6e-25",5.36558391583492e-27,2.62913611875911e-25,8343,8854,8704,5131,5385,4839
"LAMB3",10569,6671,3898,7.13148697017116,0.584196192449756,-0.775475139581887,"1.7e-29","3.4e-25",6.87787939390229e-27,3.43893969695115e-25,6470,6724,6819,4170,3757,3767
"KRT75",2785.33333333333,1835.33333333333,950,5.21061838227397,0.517547147847192,-0.950237798716028,"2.5e-29","5.0e-25",9.80975511392664e-27,5.00297510810259e-25,1788,1770,1948,945,974,931
"BMF",5956.66666666667,2208,3748.66666666667,6.30321126955959,1.6970413259937,0.763021697514769,"1.2e-28","2.3e-24",4.45806817248788e-26,2.3181954496937e-24,2205,2196,2223,3937,3734,3575
"PSAT1",4967.33333333333,3177.33333333333,1790,6.04333785994233,0.563298464217661,-0.828028556682143,"1.3e-28","2.5e-24",4.75872027282853e-26,2.52212174459912e-24,3152,3185,3195,1926,1687,1757
"LINC00520",2323.66666666667,1565.66666666667,758,4.95030952990958,0.483633419509014,-1.04801415531674,"2.2e-28","4.3e-24",7.92341619273512e-26,4.27864474407697e-24,1695,1484,1518,760,784,730
"HTRA1",27993,10777,17216,8.5357596596103,1.59755908839024,0.675869292643982,"2.5e-28","4.9e-24",8.95119776957526e-26,4.92315877326639e-24,10998,10802,10531,16867,16789,17992
"RND3",8971,5774,3197,6.89529068181987,0.553722585311784,-0.852764726978265,"3.5e-28","7.0e-24",1.25735374755513e-25,7.04118098630872e-24,6060,6051,5211,3175,3144,3272
"ID1",7188.33333333333,4445,2743.33333333333,6.57577150164887,0.616988548138393,-0.696684382979892,"3.8e-28","7.4e-24",1.30972206984797e-25,7.46541579813341e-24,4363,4567,4405,2748,2778,2704
"ABCA1",6760,4455.33333333333,2304.66666666667,6.48762980419509,0.517864112586693,-0.94935451013385,"5.5e-28","1.1e-23",1.88905748977981e-25,1.09565334407229e-23,4512,4526,4328,2086,2242,2586
"PTGES",643.666666666667,529.333333333333,114.333333333333,3.11541353827407,0.215505002887038,-2.21420673343126,"8.4e-28","1.7e-23",2.83929553411865e-25,1.67518436513e-23,431,560,597,128,114,101
