ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0019221,cytokine-mediated signaling pathway,116/2398,394/13444,0.29441624365482233,1.6505971558362933,6.106961536825935,7.101609409002178e-9,3.9399729001144085e-5,3.716758103321982e-5,TNFRSF1B/IRF1/IFITM3/CX3CL1/CCL5/BIRC3/CSF1/TRAF1/EBI3/IL4R/IL6ST/NFKBIA/IFNGR2/TNIP2/STAT5A/MYD88/CCL20/IFNAR2/OAS3/CSF2/TNFRSF14/IL2RG/CXCL2/TNF/CD74/CASP4/CXCL8/CCL2/SH2B3/CLDN18/SPPL2A/IFITM2/FAS/TBK1/PARP14/STING1/EREG/IFIH1/PPARG/CSF3/MST1R/ADAM17/IFNGR1/BIRC2/EDN1/OAS1/CYLD/IL15RA/LYN/H2BC11/NFKBIZ/PYCARD/TANK/CACTIN/PTK2B/HIF1A/IKBKE/OXSR1/SAMHD1/IL22RA1/TNFRSF25/CCL22/SOCS1/CD24/PTPN11/BIRC7/LIFR/EDN2/LAPTM5/CEACAM1/INHBA/VRK2/ECM1/CASP1/F3/IL12RB1/IRF5/JAK2/CCRL2/IL17RB/HDAC4/SOCS5/NLRC5/CCR10/FZD4/PARP9/IL1B/IL15/CCL3L1/DICER1/JAK3/IL1A/IFNL4/CARD16/FER/IL3RA/IL12A/IFITM1/IL1RAP/IL2RB/IL36G/DUOX2/TNFRSF18/CCL17/IL18R1/CXCL3/CSF2RB/CCR7/CARD14/TFF2/LILRB4/CCL26/IL7R/GREM2/NAIP/TREX1,116
BP,GO:0034341,response to type II interferon,42/2398,107/13444,0.3925233644859813,2.2006188958088124,5.809491982425227,1.3986012934625622e-7,3.8797199880651474e-4,3.6599187532083467e-4,IRF1/IFITM3/CX3CL1/CCL5/ACTG1/IFNGR2/CXCL16/CDC42/CCL20/CD47/TNF/CD74/CCL2/IFITM2/PARP14/SHFL/PPARG/IFNGR1/EDN1/MEFV/CCL22/GBP3/GBP4/KIF5B/CASP1/IL12RB1/TLR2/RAB20/JAK2/STXBP3/CYP27B1/CAMK2A/NLRC5/PARP9/CCL3L1/UBD/IFITM1/TLR3/CCL17/CITED1/CCL26/HLA-DPA1,42
BP,GO:0009617,response to bacterium,125/2398,483/13444,0.2587991718426501,1.4509157907642152,4.702403842333182,4.559840288489635e-6,0.008432664640180165,0.007954921373463321,TNFRSF1B/ADM/CX3CL1/C3/HLA-B/C15orf48/SERPINE1/ZC3H12A/NFKBIB/SHC1/HMGB2/NFKBIA/TNIP2/MYD88/CCL20/IL23A/LITAF/OAS3/CSF2/TNFRSF14/BNIP3/PTAFR/PRDX2/PAF1/CXCL2/TNF/SELE/NOTCH2/CASP4/CXCL8/CCL2/ADAM9/CYRIB/MMP9/TAP2/ANKRD1/MR1/CYBA/TBK1/OCIAD2/CYP1A1/CSF3/LRG1/SLC17A5/ADAM17/EDN1/OAS1/SCARB1/LYN/H2BC11/NFKBIZ/ERAP1/THBD/SYT11/NLRP1/GSDMD/PYCARD/CACTIN/CASP7/CASP3/DHX58/FKBP5/IL22RA1/GBP3/PYGL/CD24/GBP4/TMEM229B/CASP1/SLAMF8/TLR2/ITGAM/IRF5/ARG2/PDCD4/JAK2/FOS/TMF1/CYP27B1/PI3/NLRP3/NLRC5/IL1B/PDCD1LG2/IGHE/CMPK2/PTGER1/IL1A/GJB6/CARD16/WFDC5/PTGS2/FER/ACP5/CCDC186/IGHA1/IL12A/CEP192/NOD2/PGC/LTA/IL36G/TAB3/PGLYRP2/ALPL/CD274/TLR3/C5AR1/SCNN1B/CXCL3/CSF2RB/CCR7/LYZ/PTGIR/TENT5A/HTN3/CITED1/LY96/WFDC2/RBPJ/HPGD/IL7R/B3GALT5/IGHM/NAIP,125
BP,GO:0001819,positive regulation of cytokine production,102/2398,383/13444,0.26631853785900783,1.4930719028258972,4.561331087276219,9.367943914834524e-6,0.012993338209875485,0.012257215038041383,ZCCHC3/IRF1/CX3CL1/C3/SERPINE1/TSC22D1/EBI3/CYP1B1/IL4R/IL6ST/HSPD1/HMGB2/CD83/MYD88/IL23A/OAS3/CSF2/TNFRSF14/PTAFR/GPRC5B/TNF/CD74/POLR3D/CYRIB/G3BP1/UAP1/CYBA/TBK1/SORL1/STING1/HYAL2/EREG/IFIH1/KPNA6/ADAM17/IFNGR1/EIF2AK2/OAS1/HLA-F/MEFV/NLRP1/GSDMD/RAB2B/HEG1/PYCARD/BTN3A1/TANK/HIF1A/IKBKE/DHX58/PIK3CD/PTPN11/GPSM3/LAPTM5/RGCC/RFTN1/CASP1/F3/IL12RB1/TLR2/IRF5/LACC1/LTB/JAK2/TMF1/ZNF580/NLRP3/WNT11/SERPINB7/IL1B/IL15/SETD4/MCOLN2/IL1A/PTGS2/IL12A/PANX2/LURAP1/NOD2/IL1RAP/ADAM8/LTA/PIBF1/CD34/CD274/TLR3/C5AR1/LUM/IL18R1/CCR7/IFI16/PAEP/CLEC7A/HGF/FERMT1/LY96/FCGR2A/TNFRSF8/PLA2R1/HLA-DPA1/TRIM15/NAIP,102
BP,GO:0071346,cellular response to type II interferon,32/2398,87/13444,0.367816091954023,2.0621015597288928,4.630643841206447,2.0370308496325206e-5,0.022602894307522447,0.021322352388153457,IRF1/CX3CL1/CCL5/ACTG1/IFNGR2/CDC42/CCL20/CD47/TNF/CCL2/PARP14/PPARG/IFNGR1/EDN1/CCL22/GBP3/GBP4/KIF5B/CASP1/IL12RB1/TLR2/RAB20/JAK2/STXBP3/CAMK2A/NLRC5/PARP9/CCL3L1/TLR3/CCL17/CCL26/HLA-DPA1,32
BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,65/2398,225/13444,0.28888888888888886,1.6196089333704011,4.3669658699316205,2.7479701672499294e-5,0.025409564146504346,0.023970013458888856,CCL5/EFNB1/EBI3/IL4R/IL6ST/HSPD1/SART1/CD83/IL23A/TNFRSF14/CD47/PTAFR/IL2RG/TNF/CD74/SELE/ETS1/CCL2/TGFBR2/CYRIB/SOX4/GP1BA/SMARCE1/SHH/PPP3CA/CYLD/LYN/FUT4/NFKBIZ/PYCARD/NFAT5/YES1/THY1/MAP3K8/IL4I1/HAS2/SOCS1/CD24/PTPN11/IGF2/KLHL25/IL12RB1/PIK3CA/JAK2/SOCS5/NLRP3/IL1B/PDCD1LG2/IL15/VNN1/IL1A/ITGB2/HLA-DOB/TNFSF14/IL12A/NOD2/ADAM8/CD274/EFNB3/CCR7/LILRB4/HLA-DPA1/IL7R/RHOH/HLA-DQB1,65
BP,GO:0035456,response to interferon-beta,15/2398,29/13444,0.5172413793103449,2.899830318368756,4.771870440434875,3.496607376790548e-5,0.026174182083420316,0.02469131281424616,IRF1/IFITM3/IFNAR2/UBE2G2/IFITM2/STING1/SHFL/OAS1/IKBKE/CAMK2A/XAF1/IFITM1/TLR3/IFI16/TREX1,15
BP,GO:0022409,positive regulation of cell-cell adhesion,73/2398,263/13444,0.27756653992395436,1.5561320111499761,4.2437692089971835,4.0002288155844286e-5,0.026174182083420316,0.02469131281424616,CX3CL1/FSTL3/CCL5/EFNB1/EBI3/IL4R/IL6ST/HSPD1/SART1/CD83/IL23A/PODXL/TNFRSF14/PLAUR/CD47/PTAFR/IL2RG/TNF/CD74/SELE/CITED2/ETS1/CCL2/TGFBR2/CYRIB/SOX4/GP1BA/SMARCE1/ADAM19/SHH/PPP3CA/CYLD/LYN/FUT4/NFKBIZ/PYCARD/NFAT5/YES1/THY1/MAP3K8/IL4I1/HAS2/SOCS1/CD24/PTPN11/IGF2/KLHL25/IL12RB1/PIK3CA/JAK2/SOCS5/NLRP3/IL1B/PDCD1LG2/IL15/VNN1/CEACAM6/IL1A/ITGB2/HLA-DOB/TNFSF14/IL12A/NOD2/ADAM8/CD274/SOX2/EFNB3/CCR7/LILRB4/HLA-DPA1/IL7R/RHOH/HLA-DQB1,73
BP,GO:0045785,positive regulation of cell adhesion,101/2398,392/13444,0.2576530612244898,1.4444903065479735,4.1613760612137325,4.469927032036563e-5,0.026174182083420316,0.02469131281424616,ITGA5/CX3CL1/FSTL3/CCL5/EFNB1/CSF1/FLNA/EBI3/IL4R/IL6ST/HSPD1/ADGRG1/SART1/CD83/CDC42/IL23A/CALR/ITGAV/PODXL/ITGA2/TNFRSF14/PLAUR/CD47/LAMB2/PTAFR/IL2RG/TNF/CD74/SELE/CITED2/ETS1/CCL2/TGFBR2/ADAM9/CYRIB/WNT4/ITGA6/SOX4/LAMB1/TPM1/GP1BA/SMARCE1/ADAM19/EPB41L4B/SHH/EFEMP2/PPP3CA/CYLD/LYN/FUT4/NFKBIZ/PYCARD/PTK2B/ITGB3/NFAT5/YES1/THY1/MAP3K8/IL4I1/HAS2/SOCS1/CD24/PTPN11/IGF2/KLHL25/IL12RB1/PIK3CA/JAK2/SOCS5/NLRP3/IL1B/PDCD1LG2/IL15/VNN1/ROCK1/CEACAM6/IL1A/FUT1/ITGB2/HLA-DOB/LIMS2/TNFSF14/IL12A/NOD2/ADAM8/SPOCK2/CD274/SOX2/EFNB3/TNFRSF18/EDIL3/CCR7/PRSS2/FERMT1/LILRB4/DISC1/HLA-DPA1/IL7R/RHOH/ALOX15/HLA-DQB1,101
BP,GO:0050729,positive regulation of inflammatory response,38/2398,114/13444,0.3333333333333333,1.8687795385043091,4.3402735686463005,4.7177689407751114e-5,0.026174182083420316,0.02469131281424616,CX3CL1/C3/SERPINE1/IL6ST/NFKBIA/IL23A/CD47/GPRC5B/TNF/CASP4/ETS1/KARS1/FEM1A/HYAL2/NMI/CAMK2N1/MEFV/NFKBIZ/NLRP1/GSDMD/PYCARD/GPSM3/ALOX5AP/CASP1/TLR2/PDCD4/NLRP3/IL1B/IL15/SETD4/PTGS2/CREB3L3/ADAM8/LTA/VAMP7/TLR3/CCR7/NAIP,38
