category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,42/1107,119/8538,0.35294117647058826,2.7221425155428025,7.301551201141618,3.189281307529651e-10,1.0843556445600813e-7,8.527131074868752e-8,TNFRSF1B/MAP2K1/IRF1/ICAM1/CX3CL1/CCL5/BIRC3/CSF1/TRAF1/NFKBIA/CCL20/CSF2/CXCL2/TNF/SELE/CCL2/MMP9/FAS/ADAM17/BIRC2/EDN1/CYLD/MLKL/CASP7/CASP3/PIK3CD/MAP3K8/MMP14/PIK3CA/MAP2K4/FOS/AKT3/IL1B/IL15/PTGS2/CREB3L3/NOD2/CASP10/LTA/TAB3/IL18R1/CXCL3,42
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,52/1107,182/8538,0.2857142857142857,2.203639179248935,6.334839480550191,1.3724693538020391e-8,1.958082923447441e-6,1.5397927633301861e-6,ITGA5/C3/HLA-B/CCL5/TAPBP/BIRC3/NFKBIA/IFNGR2/MYD88/IFNAR2/CALR/TAP1/OAS3/PML/TNFRSF14/TNF/CD74/SRSF4/CCL2/HLA-C/TAP2/FAS/TBK1/STING1/IFIH1/NECTIN1/IFNGR1/BIRC2/EIF2AK2/OAS1/HLA-F/ALYREF/ITGB3/CASP3/IKBKE/PIK3CD/PTPN11/TLR2/PIK3CA/APAF1/JAK2/IRF9/AKT3/IL1B/HLA-DOB/TNFSF14/IL12A/NXF3/LTA/TLR3/HLA-DPA1/HLA-DQB1,52
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,50/1107,173/8538,0.28901734104046245,2.2291147766969,6.303551992541912,1.7277202265712715e-8,1.958082923447441e-6,1.5397927633301861e-6,MAP2K1/ICAM1/CCL5/NFKBIB/TNFRSF10B/ACTG1/VDAC1/NFKBIA/TRIM25/IFNGR2/MYD88/IFNAR2/OAS3/PML/TNF/CXCL8/CCL2/FAS/TBK1/IFIH1/KPNA6/IFNGR1/EIF2AK2/OAS1/NXT2/PYCARD/CASP3/IKBKE/PIK3CD/CASP1/PIK3CA/APAF1/JAK2/IRF9/NLRP3/AKT3/IL1B/TMPRSS2/IL1A/HLA-DOB/PRSS1/IL12A/TMPRSS4/NXF3/KPNA7/TLR3/PRSS2/HLA-DPA1/TNFSF10/HLA-DQB1,50
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,30/1107,93/8538,0.3225806451612903,2.487979718506862,5.568541742566274,1.0186267585658053e-6,8.658327447809345e-5,6.808715701992488e-5,LAMC2/CDKN1A/LAMB3/BIRC3/TRAF1/CCND1/LAMA5/NFKBIA/CKS2/ITGAV/ITGA2/LAMB2/COL4A2/MYC/ITGA6/ZBTB17/LAMB1/CDKN1B/E2F1/BIRC2/CASP3/PIK3CD/BIRC7/POLK/PIK3CA/APAF1/LAMA4/AKT3/PTGS2/CCNE2,30
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,30/1107,95/8538,0.3157894736842105,2.435601198117244,5.430627826651085,1.6862032300108758e-6,1.1466181964073955e-4,9.016749903637106e-5,MMP1/ICAM1/CCL5/CSF1/CCL20/IL23A/CSF2/CXCL2/TNF/CXCL8/TCIRG1/CCL2/ATP6V1C1/TLR2/LTB/FOS/TNFSF13/IL1B/IL15/CCL3L1/IL1A/ATP6V1G2/ITGB2/HLA-DOB/ACP5/ATP6V0D2/CXCL3/TGFB3/HLA-DPA1/HLA-DQB1,30
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,20/1107,56/8538,0.35714285714285715,2.7545489740611693,5.084089590304728,1.1731087174482319e-5,6.64761606553998e-4,5.227537091786859e-4,C3/HSPD1/NFKBIA/MYD88/BNIP3/CXCL2/TNF/CXCL8/PYCARD/CASP7/CASP3/CASP1/TLR2/ITGAM/APAF1/IL1B/ITGB2/IL12A/CXCL3/NAIP,20
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,48/1107,204/8538,0.23529411764705882,1.814761677028535,4.54591959084871,2.1117324163426738e-5,9.565160480100354e-4,7.521828984351363e-4,WNT9A/MAP2K1/ITGA5/ITPR3/CDKN1A/PLAU/CCND1/FLNA/ACTG1/WNT7B/PXN/CTTN/CDC42/ITGAV/ITGA2/PLAUR/MSN/MYC/TNF/MMP9/WNT4/FAS/MDM2/SHH/ANK1/HIF1A/ITGB3/CASP3/KRAS/PIK3CD/NUDT16L1/PTPN11/IGF2/MRAS/TLR2/PIK3CA/PDCD4/TFAP4/CAMK2A/WNT11/FZD4/AKT3/ROCK1/TWIST2/TIMP3/LUM/HOXD10/HGF,48
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,64/1107,298/8538,0.21476510067114093,1.6564267656099378,4.451779319570813,2.2506259953177305e-5,9.565160480100354e-4,7.521828984351363e-4,TNFRSF1B/CX3CL1/CCL5/TNFRSF9/CSF1/IL32/EBI3/TNFRSF10B/IL4R/IL6ST/IFNGR2/CXCL16/CCL20/IL23A/IFNAR2/CSF2/TNFRSF14/IL2RG/CXCL2/TNF/CXCL8/TNFRSF12A/CCL2/TGFBR2/FAS/CSF3/IFNGR1/IL15RA/IL22RA1/TNFRSF25/CCL22/LIFR/INHBA/IL12RB1/BMP5/LTB/IL17RB/TNFSF13/CCR10/IL1B/IL15/CCL3L1/ACVRL1/IL1A/IL3RA/TNFSF14/IL12A/IL1RAP/LTA/IL2RB/IL36G/TNFRSF18/CCL17/IL18R1/CXCL3/CSF2RB/CCR7/TGFB3/TNFRSF6B/TNFRSF8/CCL26/IL7R/TNFSF10/GDF9,64
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,24/1107,79/8538,0.3037974683544304,2.3431100133786145,4.628800258984124,3.7216398186492314e-5,0.0014059528203785986,0.0011056099578209413,C3/NFKBIB/NFKBIA/IFNGR2/MYD88/MARCKSL1/TNF/CYBA/IFNGR1/TLR2/ITGAM/JAK2/FOS/IL1B/IL1A/ITGB2/PTGS2/HLA-DOB/IL12A/TGFB3/NCF4/FCGR2A/HLA-DPA1/HLA-DQB1,24
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,44/1107,189/8538,0.2328042328042328,1.7955578497583917,4.268627494110919,6.052403265049713e-5,0.0020578171101169026,0.001618221504550134,ITPR3/CCL5/NFKBIB/BIRC3/VDAC1/NFKBIA/MYD88/IFNAR2/OAS3/TRPV2/CXCL2/TNF/CASP4/CXCL8/CCL2/ANTXR2/CYBA/TBK1/NEK7/STING1/BIRC2/OAS1/MEFV/NLRP1/GSDMD/PYCARD/TANK/ANTXR1/IKBKE/GBP3/GPSM3/GBP4/CASP1/TRPM7/IRF9/NLRP3/IL1B/CARD16/NOD2/TRIP6/TAB3/CXCL3/IFI16/NAIP,44
