category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,79/4046,119/8538,0.6638655462184874,1.4009105372252706,4.1796161934493705,2.0007859628869044e-5,0.00690271157195982,0.005560078886338345,TNFRSF1B/LIF/ATF4/PGAM5/MAP2K1/JUNB/JUN/RELA/IRF1/ICAM1/FRMD8/CX3CL1/MAP3K14/CCL5/CREB3L2/CREB3/AKT3/CCL20/AKT2/BIRC3/CSF1/MAP3K7/JAG1/SOCS3/TRAF1/MMP14/NFKBIA/TAB2/DNM1L/MAPK11/CSF2/TAB3/FADD/RHBDF2/CEBPB/ATF2/RPS6KA4/ADAM17/FAS/PIK3R1/CCL2/NFKB1/MAPK1/TRAF2/IKBKG/MAP3K5/PIK3CD/MMP9/IL6/BAG4/BCL3/PIK3CA/TNF/TNFAIP3/CXCL1/EDN1/MAPK14/SELE/CREB1/RPS6KA5/CREB5/IL1B/MAP2K4/TRAF5/CXCL2/MAP3K8/CREB3L4/CREB3L1/TRADD/CASP10/IL18R1/LTA/CXCL10/PTGS2/MAP2K6/MAPK10/IFNB1/VEGFD/MMP3,79
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,69/4046,105/8538,0.6571428571428571,1.386724101405268,3.783994918387257,1.0721849737262979e-4,0.01119054293827406,0.00901389271000565,RELB/RELA/ICAM1/UBE2I/GADD45A/MAP3K14/BCL10/IRAK1/PLAU/CXCL8/TRIM25/BCL2L1/BIRC3/MAP3K7/BCL2A1/NFKB2/TRAF1/TNFRSF11A/ATM/NFKBIA/TAB2/EDARADD/PPP1R13L/TAB3/CSNK2B/GADD45B/MYD88/TICAM1/NFKB1/SYK/TRAF2/IKBKG/IL1R1/PIAS4/LYN/ERC1/TNF/MALT1/TNFAIP3/CXCL1/LTBR/LTB/IL1B/TIRAP/TRAF6/TRAF5/CXCL2/PRKCB/BCL2/EDA/TRADD/CARD10/EDA2R/TLR4/GADD45G/TNFSF13B/LTA/LY96/TICAM2/PTGS2/PRKCQ/BLNK/CARD14/LCK/CCL4L2/CCL4/TNFSF11/BTK/TNFRSF13C,69
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,65/4046,98/8538,0.6632653061224489,1.3996438911699132,3.776249663099807,1.112642251535517e-4,0.01119054293827406,0.00901389271000565,PDGFB/GSTP1/ATF4/HSP90B1/MAP2K1/RELA/PLAT/FGFR1/CDKN1A/MDM2/CREB3L2/CREB3/AKT3/PLAU/AKT2/RB1/GRB2/HSP90AA1/GSK3B/CCND1/HRAS/NFKBIA/MAP2K2/ZEB1/CCNE1/PDGFRB/ETV5/TGFA/PDGFC/SOS2/EP300/SPINT1/PIK3R1/NFKB1/MAPK1/IKBKG/BAD/CDKN1B/CDK2/TCF7/PIK3CD/MMP9/SOS1/CASP9/PIK3CA/TMPRSS2/PDGFA/LEF1/CREB1/CREB5/MTOR/E2F2/BCL2/CREB3L4/CREB3L1/NKX3-1/EGF/PDGFRA/ERG/FOXO1/AR/FGFR2/CCNE2/IL1R2/MMP3,65
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,112/4046,184/8538,0.6086956521739131,1.2844892432676396,3.7023138547268126,1.4061189733046857e-4,0.01119054293827406,0.00901389271000565,MYL12A/NTN4/NEO1/RAC2/CFL1/MET/ARHGEF12/NRP1/ENAH/SEMA4C/EFNA1/ILK/ABLIM1/PTPN11/ROCK1/EPHA2/EFNB1/PRKCZ/GSK3B/PAK4/ITGB1/EPHB6/HRAS/SEMA7A/NGEF/BMPR2/CAMK2D/SEMA4F/RRAS/MYL12B/EFNB3/WNT4/SHH/SEMA3B/PIK3R1/SEMA3C/SEMA3A/RAC3/MAPK1/NFATC4/ABLIM3/RASA1/PAK1/SEMA5A/PLXNC1/EPHA4/PIK3CD/UNC5B/MYL9/PRKCA/PAK2/UNC5C/ROBO1/PIK3CA/NFATC3/PARD6B/PPP3CA/SEMA4D/PPP3R1/SSH3/PLXNB1/SRGAP1/EFNB2/BOC/SEMA3F/SEMA6B/EFNA4/PARD6A/PARD3/WNT5B/PLXNB3/SRGAP3/RHOD/CDK5/LRIG2/ROBO2/UNC5D/BMPR1B/FZD3/PAK3/EFNA3/NTNG1/TRPC3/DPYSL5/SEMA6A/SEMA6D/TRPC4/UNC5A/EPHB1/CXCR4/PLXNA4/EPHA7/EPHA6/EFNA2/EPHA5/LRRC4C/EPHA3/SLIT2/NFATC2/PAK6/SEMA4A/PAK5/DCC/SEMA3D/BMP7/ABLIM2/RGMA/LRRC4/TRPC5/SMO/SEMA3G/TRPC6,112
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,173/4046,300/8538,0.5766666666666667,1.216900642609985,3.6295792077153566,1.78077008739469e-4,0.01119054293827406,0.00901389271000565,CACNA1H/PDGFB/RAC2/TAOK1/ATF4/MAP2K1/RELB/DUSP5/JUN/RELA/MET/ARRB1/FGFR1/TGFBR1/IL1RAP/ELK1/MAP3K2/GADD45A/MAP3K14/MYC/MAP3K11/CDC25B/RAPGEF2/EFNA1/IRAK1/AKT3/MAP4K2/AKT2/EPHA2/GRB2/CACNG6/HSPA1B/CSF1/MAP4K4/MAP3K7/DUSP1/NFKB2/HSPA1A/FLNA/HRAS/TAB2/MAP2K2/MAPK11/DDIT3/MAP3K20/GNG12/RRAS2/PDGFRB/ELK4/TGFA/DUSP8/ARRB2/RRAS/GADD45B/PDGFC/SOS2/DAXX/MYD88/ATF2/RPS6KA4/NFATC1/TAOK2/FAS/DUSP4/RPS6KA3/NFKB1/RAC3/MAPK1/RASA1/TRAF2/PAK1/TAOK3/IKBKG/MAP3K4/IL1R1/CACNA2D1/RAP1B/EREG/MAP3K5/TGFB2/DUSP2/DUSP7/PRKCA/PAK2/HSPA6/SRF/SOS1/KITLG/TNF/NFATC3/PPP3CA/NR4A1/MAPK7/IGF2/PGF/MAP3K1/CACNA1A/MEF2C/MAP3K21/PDGFA/ERBB3/CACNB4/PPP3R1/DUSP16/MAPK14/AREG/GNA12/MRAS/MKNK1/MAPK8IP2/PLA2G4A/ANGPT1/PPM1A/RPS6KA5/IL1B/CACNG7/EFNA4/FGF1/TRAF6/RASGRF1/MAP2K4/DUSP9/MECOM/TGFB3/PRKCB/CACNG4/MAP3K8/KIT/CACNA1C/TRADD/FGF18/INSR/NLK/CACNA2D4/CACNB2/EFNA3/EGF/IL1A/GADD45G/RASA2/PDGFRA/BDNF/CACNA1E/NTRK2/RPS6KA6/FGF10/MAP2K6/GDNF/PRKCG/PTPRR/KDR/CACNA1G/MAPK10/EFNA2/PLA2G4B/FGFR2/RASGRP1/FGF7/FLT4/NTF3/ANGPT2/TEK/CACNA1I/ARTN/HSPA1L/FGF9/FLT3/ERBB4/VEGFD/FGF21/PTPN7/NRTN/CACNA1B,173
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,46/4046,66/8538,0.696969696969697,1.4707679863389207,3.643607792158067,1.9461813805694017e-4,0.01119054293827406,0.00901389271000565,HLA-DPA1/STAT1/IFNGR2/IL18/JUN/RELA/IL4R/SMAD3/IL2RG/IL23A/IFNGR1/HLA-DMA/NFATC1/NFKB1/SMAD2/RORA/TGFB2/IL6/TNF/HLA-DMB/IL1B/TLR2/HLA-DPB1/HLA-DRA/TGFB3/RORC/GATA3/IL18R1/TLR4/IL1A/HLA-DOA/HLA-DRB1/IL12RB1/STAT4/IL12A/MAF/HLA-DRB5/IL12RB2/HLA-DOB/TLR5/IL12B/IL21R/HLA-DQB1/IL18RAP/HLA-DQA2/TBX21,46
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,51/4046,75/8538,0.68,1.4349579831932773,3.590554090879953,2.3648727999475428e-4,0.011655444514027176,0.009388367205806786,CD82/SESN2/EI24/GADD45A/CDKN1A/THBS1/SFN/BID/AIFM2/MDM2/SERPINE1/BCL2L1/CCND1/ATM/CDK6/RRM2B/TNFRSF10A/PPP1R13L/CDK4/CCNB1/CCND2/ZMAT3/CCNE1/SESN1/GADD45B/MDM4/FAS/SESN3/CDK2/SHISA5/CCND3/BBC3/CASP9/CCNB2/GTSE1/TP53I3/ZNF385A/RRM2/COP1/SIVA1/APAF1/CCNG2/PPM1D/BCL2/GORAB/GADD45G/TP73/CDKN2A/CCNE2/SERPINB5/RPRM,51
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,80/4046,128/8538,0.625,1.31889520514088,3.4498537340509987,3.794083866187804e-4,0.016361986672934904,0.013179449219389214,PNP/NT5E/AMPD3/PDE5A/PDE6D/AK3/NME2/NME1/ENTPD6/RRM2B/PAICS/NME3/ENTPD4/PAPSS2/PDE8A/IMPDH1/NUDT2/ADA/PAPSS1/CANT1/HPRT1/AK6/PRPS1/HDDC2/AK4/ENTPD1/ITPA/PGM1/RRM1/GUK1/DGUOK/PRPS2/PGM2/PDE7A/NUDT5/GMPR2/PDE3B/AK1/RRM2/PDE10A/NME6/ADCY1/ADCY2/LACC1/NME1-NME2/GUCY1A2/PPAT/PDE4A/ENPP4/ENTPD5/GDA/PDE1C/NPR1/XDH/NPR2/PDE1B/PDE3A/GUCY1B1/AK9/PDE11A/ENTPD8/ENTPD2/FHIT/PDE7B/PDE1A/PDE8B/GUCY1A1/AK5/ENTPD3/PDE2A/ENPP3/PDE6B/PDE6C/GMPR/NT5M/PDE9A/ADCY10/ADA2/NT5C1A/ADCY8,80
NA,NA,hsa04820,Cytoskeleton in muscle cells,135/4046,232/8538,0.5818965517241379,1.2279369151311639,3.340476350880819,5.298313052961766e-4,0.017675040777396372,0.014237103784081292,JUP/ITGA5/TPM1/EMD/COL4A1/SDC4/AMPD3/CAPZB/ENO1/ACTG1/THBS1/ITGA1/PDLIM1/CAPZA1/DSG2/FHL2/LMNA/COL5A1/CSRP1/ITGB5/ITGB1/DSP/ITGB3/SUN1/DAAM1/NID2/PLEC/MYH9/COL5A2/SDC2/TPM3/ITGB4/ENO2/TNNT1/ANK2/COL4A5/TMOD2/COL27A1/FBLN1/COL6A3/NID1/ZYX/PDLIM5/TTN/SNTB2/SPTBN2/COL9A3/DAAM2/DSC2/PDLIM7/COL5A3/DMD/DIAPH3/MYL9/LMNB1/LBR/SGCB/PDLIM2/PDLIM4/MYH10/COL6A2/COL11A2/FMN2/TMOD1/ENO3/TLN2/PKP2/SSPN/SGCE/ITGA4/COL3A1/ITGA7/TNNI3/COL4A6/SPTBN5/COL11A1/SNTB1/ACTN2/FN1/THBS2/PDLIM3/ACTG2/NEB/BGN/CAPN3/OBSCN/ATP1A2/ANK3/THBS4/TRIM63/VCAN/CSRP3/DTNA/SYNPO2/SGCZ/MYOM2/MYOZ2/LMOD1/MYH13/ATP1B2/ITGA11/COL4A3/NEBL/COL9A2/SGCD/SGCG/XIRP2/MYH8/MYH15/COL6A5/FBN3/LAMA2/SGCA/MYBPC1/MYH1/TNNC1/MYH2/MYBPH/MYL1/TRIM54/COL24A1/MYOZ3/ANKRD2/COL6A6/ITGB7/LDB3/MYBPHL/DCN/MYH3/MYL4/TRIM55/MYH4/LMOD2/ITGB6/DES,135
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,95/4046,157/8538,0.6050955414012739,1.2768921731300238,3.3232138699606746,5.857657301348536e-4,0.017675040777396372,0.014237103784081292,ABCA1/UQCRFS1/TMEM30A/ODC1/BSG/MAP2K1/DUSP5/DOCK1/MFGE8/CX3CL1/THBS1/PTPN11/ADAM10/ITGB5/CPT1A/HIF1A/SIRPA/ITGB3/MAP2K2/XKR8/ANO9/MAPK11/CASP1/ATP11A/SPHK1/ATP2A3/CAMK2D/CD24/ADAM9/DUSP8/SLC16A1/AXL/CEBPB/SCARF1/ATP11B/NFATC1/ADAM17/VPS18/DUSP4/GAS6/JAK2/ANO6/MAPK1/NFATC4/LRP1/SLC2A1/PTPN6/PANX1/DUSP2/EPOR/VPS41/DUSP7/NFATC3/TYRO3/ATP11C/VPS8/SLC66A1/HAVCR2/SIRPB1/DUSP16/MAPK14/PPARG/CREB1/MERTK/PROS1/PECAM1/MEGF10/ANO5/ANO7/P2RY2/RAB7B/ANO3/ELMO1/RAB17/PTGS2/S1PR1/HAVCR1/PBX1/CD36/ANO4/CPT1B/ATP2A1/NFATC2/AGER/XKR6/XKR9/XKR4/SIRPG/P2RY12/MEGF11/CX3CR1/CH25H/ALOX15/XKR7/P2RY6,95
