ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002237,response to molecule of bacterial origin,18/180,304/14849,0.05921052631578947,4.88453947368421,7.580353270337446,3.102350730892512e-8,7.901687311583227e-5,7.390126004220794e-5,CD24/IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/FMO1/MMP3/CD180/GBP5/MAOB/IL36B/S100A8/PTGS2/MMP8/LOXL1/BMP6,18
BP,GO:0032496,response to lipopolysaccharide,17/180,289/14849,0.058823529411764705,4.852614379084968,7.326452745288642,8.410003567994399e-8,1.0710139543840867e-4,1.0016756881248066e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/FMO1/MMP3/CD180/GBP5/MAOB/IL36B/S100A8/PTGS2/MMP8/LOXL1/BMP6,17
BP,GO:0030198,extracellular matrix organization,16/180,279/14849,0.05734767025089606,4.730864197530864,6.968699612886722,2.902653632822518e-7,1.6282970200265598e-4,1.522879819940944e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP24/MMP3/OLFML2A/ECM2/COL4A3/MMP8/LOXL1/DPT,16
BP,GO:0043062,extracellular structure organization,16/180,280/14849,0.05714285714285714,4.713968253968254,6.9498000348570415,3.0463641033243e-7,1.6282970200265598e-4,1.522879819940944e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP24/MMP3/OLFML2A/ECM2/COL4A3/MMP8/LOXL1/DPT,16
BP,GO:0045229,external encapsulating structure organization,16/180,281/14849,0.05693950177935943,4.6971925662317116,6.930989523800352,3.1964998430046326e-7,1.6282970200265598e-4,1.522879819940944e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP24/MMP3/OLFML2A/ECM2/COL4A3/MMP8/LOXL1/DPT,16
BP,GO:0071222,cellular response to lipopolysaccharide,12/180,184/14849,0.06521739130434782,5.380072463768116,6.622457060773973,2.488825867885273e-6,9.298979692151222e-4,8.696956602540954e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/MMP3/CD180/GBP5/IL36B/MMP8/BMP6,12
BP,GO:0071216,cellular response to biotic stimulus,13/180,218/14849,0.05963302752293578,4.919393476044852,6.457732998967018,2.555667759915923e-6,9.298979692151222e-4,8.696956602540954e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/MMP3/CD180/GBP5/IL36B/CLEC7A/MMP8/BMP6,13
BP,GO:0071219,cellular response to molecule of bacterial origin,12/180,193/14849,0.06217616580310881,5.129188255613125,6.395957768087592,4.087379454344552e-6,0.0013013194337769469,0.0012170710138397003,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/MMP3/CD180/GBP5/IL36B/MMP8/BMP6,12
BP,GO:0008544,epidermis development,13/180,300/14849,0.043333333333333335,3.5747592592592596,4.990575862341895,7.587973746744126e-5,0.02147396570328588,0.020083724665359015,KRT17/COL17A1/LAMC2/DKK1/APCDD1/GLI1/KRT7/KRT15/KRT79/HLA-DRB1/SFRP4/ALOXE3/FOXQ1,13
BP,GO:0006953,acute-phase response,5/180,39/14849,0.1282051282051282,10.576210826210826,6.633129110756946,1.0205996790112464e-4,0.025994673824416444,0.024311758669499483,IL6/PTGES/SAA2/SAA1/PTGS2,5
BP,GO:0030574,collagen catabolic process,5/180,40/14849,0.125,10.311805555555555,6.532373457224595,1.1550326593611076e-4,0.026736881670003997,0.02500591540893065,MMP1/MMP13/MMP24/MMP3/MMP8,5
BP,GO:0032963,collagen metabolic process,7/180,92/14849,0.07608695652173914,6.276751207729469,5.623820764709247,1.2596881823323438e-4,0.026736881670003997,0.02500591540893065,MMP1/IL6/MMP13/MMP24/MMP3/SERPINB7/MMP8,7
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,11/180,245/14849,0.044897959183673466,3.703832199546485,4.727122353654306,2.0067141654586874e-4,0.03931616138017906,0.03677080288609724,TENM2/HMCN1/MMP24/PCDHB14/PSG2/HMCN2/PCDHB11/LRRC4C/PCDHB10/PCDHGB2/PCDHGC5,11
BP,GO:0022617,extracellular matrix disassembly,5/180,52/14849,0.09615384615384616,7.93215811965812,5.546937504412342,4.0570435575403604e-4,0.0738092138646807,0.06903074865198372,MMP1/IL6/MMP13/MMP3/MMP8,5
BP,GO:0150077,regulation of neuroinflammatory response,4/180,32/14849,0.125,10.311805555555555,5.841154923838711,5.759576852585944e-4,0.09779761495690933,0.0914661222273824,IL6/MMP3/PTGS2/MMP8,4
BP,GO:0032732,positive regulation of interleukin-1 production,5/180,58/14849,0.08620689655172414,7.111590038314177,5.165821795237191,6.746197159751651e-4,0.1073910260367966,0.10043844850340782,IL6/SAA1/GBP5/AIM2/CLEC7A,5
BP,GO:0050727,regulation of inflammatory response,12/180,335/14849,0.03582089552238806,2.955024875621891,4.009138960389773,8.031448499003079e-4,0.12032999604094612,0.11253973964856948,IER3/IL6/BIRC3/PTGES/MAPK13/MMP3/SAA1/S100A8/PTGS2/HLA-DRB1/AIM2/MMP8,12
