ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0019221,cytokine-mediated signaling pathway,116/2435,322/11187,0.36024844720496896,1.6550716135038965,6.291223103121071,2.096755032723405e-9,1.0829739744016388e-5,1.0015867724735593e-5,BIRC3/CCL5/EBI3/IFITM3/TNFRSF1B/CX3CL1/IL6ST/TRAF1/IL4R/CSF1/IRF1/STAT5A/MYD88/IFNAR2/CCL20/CSF2/TNFRSF14/OAS3/TNIP2/CD74/IL2RG/NFKBIA/TNF/CXCL2/CASP4/IFNGR2/CXCL8/CLDN18/CCL2/SH2B3/FAS/IFITM2/SPPL2A/CSF3/STING1/TBK1/PARP14/PPARG/IFIH1/EREG/MST1R/ADAM17/IFNGR1/EDN1/OAS1/BIRC2/CYLD/IL15RA/H2BC11/NFKBIZ/LYN/TANK/EDN2/CACTIN/PYCARD/PTK2B/OXSR1/HIF1A/IKBKE/SAMHD1/TNFRSF25/IL22RA1/SOCS1/CCL22/CD24/PTPN11/CASP1/IL12RB1/LAPTM5/INHBA/CEACAM1/BIRC7/LIFR/JAK2/VRK2/ECM1/IL1B/F3/IRF5/CCRL2/CCR10/IL17RB/NLRC5/PARP9/HDAC4/SOCS5/CCL3L1/IL1A/IL15/CARD16/FZD4/JAK3/IL3RA/IFITM1/IFNL4/DICER1/CCL17/FER/IL36G/IL12A/IL18R1/DUOX2/IL1RAP/CCR7/IL2RB/CCL26/LILRB4/TNFRSF18/CXCL3/IL7R/CARD14/NAIP/CSF2RA/GPR35/RBM47/IL7,116
BP,GO:0009617,response to bacterium,122/2435,373/11187,0.32707774798927614,1.50267711160412,5.208151153029355,4.419073040836135e-7,5.853082340892855e-4,5.413213973194431e-4,ADM/C3/SERPINE1/TNFRSF1B/CX3CL1/C15orf48/HLA-B/ZC3H12A/HMGB2/NFKBIB/IL23A/MYD88/CCL20/CSF2/TNFRSF14/OAS3/SHC1/LITAF/TNIP2/PRDX2/NFKBIA/TNF/PTAFR/CXCL2/SELE/CASP4/MMP9/SLAMF8/BNIP3/NOTCH2/CXCL8/ADAM9/CCL2/CYRIB/MR1/PAF1/CSF3/TBK1/CYP1A1/ANKRD1/TAP2/LRG1/CYBA/ADAM17/SYT11/SLC17A5/OCIAD2/EDN1/OAS1/SCARB1/NLRP1/H2BC11/ERAP1/NFKBIZ/LYN/THBD/GSDMD/CACTIN/PYCARD/CASP7/DHX58/CASP3/FKBP5/IL22RA1/IGHE/GBP3/CD24/PYGL/CASP1/TMEM229B/GBP4/TLR2/JAK2/ITGAM/PDCD1LG2/IL1B/NLRP3/PI3/IRF5/PDCD4/ARG2/CYP27B1/NLRC5/TMF1/FOS/PTGER1/WFDC5/IL1A/CARD16/GJB6/CMPK2/IGHA1/NOD2/CCDC186/ACP5/LTA/FER/PTGS2/ALPL/IL36G/CEP192/IL12A/CD274/PGLYRP2/CCR7/C5AR1/TAB3/IGHM/WFDC3/PTGIR/RBPJ/CXCL3/IL7R/WFDC2/LY96/CITED1/RNASE4/LYG1/NAIP/B3GALT5/SLPI/HERC6,122
BP,GO:0050900,leukocyte migration,81/2435,224/11187,0.36160714285714285,1.6613138017013787,5.273514257004136,4.729287582661006e-7,5.853082340892855e-4,5.413213973194431e-4,CCL5/ICAM1/SERPINE1/CX3CL1/CXCL16/CSF1/IL23A/MYD88/CCL20/CDC42/TNFRSF14/CD47/ITGA2/CD74/TNF/PTAFR/CXCL2/MYH9/SELE/SLAMF8/CXCL8/CALR/MSN/CCL2/ITGA6/RAC2/GP1BA/PODXL2/ADAM17/EDN1/THY1/SWAP70/LYN/EDN2/FUT4/ITGB3/PYCARD/PTK2B/OXSR1/PIK3CD/YES1/GPSM3/ITGA1/CCL22/PGF/BST1/MMP14/TRPM4/HSD3B7/ECM1/IL1B/BMP5/TNFAIP6/CCL3L1/ZNF580/IL1A/MCOLN2/SCG2/CH25H/ROCK1/CCL17/NOD2/ITGB2/GREM1/FER/TNFSF14/IL12A/ADTRP/CD34/CCN3/CCR7/ADAM8/C5AR1/CCL26/TNFRSF18/CXCL3/MMP28/ADORA1/ADGRE2/SMPD3/APOD,81
BP,GO:0034341,response to type II interferon,41/2435,91/11187,0.45054945054945056,2.0699370444750325,5.405413628542155,5.780494402563554e-7,5.853082340892855e-4,5.413213973194431e-4,CCL5/IFITM3/CX3CL1/CXCL16/IRF1/CCL20/CDC42/CD47/CD74/TNF/IFNGR2/ACTG1/CCL2/IFITM2/PARP14/SHFL/PPARG/MEFV/IFNGR1/EDN1/CCL22/GBP3/CASP1/IL12RB1/GBP4/TLR2/JAK2/RAB20/KIF5B/CAMK2A/CYP27B1/NLRC5/PARP9/STXBP3/CCL3L1/IFITM1/CCL17/UBD/CCL26/CITED1/HLA-DPA1,41
BP,GO:0002685,regulation of leukocyte migration,56/2435,140/11187,0.4,1.8377002053388092,5.260944236524912,7.354432085711505e-7,5.853082340892855e-4,5.413213973194431e-4,CCL5/ICAM1/SERPINE1/CX3CL1/CSF1/IL23A/MYD88/CCL20/TNFRSF14/CD47/ITGA2/CD74/TNF/PTAFR/SELE/SLAMF8/CXCL8/CALR/MSN/CCL2/RAC2/GP1BA/ADAM17/EDN1/THY1/SWAP70/LYN/EDN2/FUT4/ITGB3/PYCARD/PTK2B/OXSR1/GPSM3/PGF/BST1/MMP14/ECM1/BMP5/TNFAIP6/ZNF580/IL1A/NOD2/GREM1/TNFSF14/IL12A/ADTRP/CCN3/CCR7/ADAM8/C5AR1/TNFRSF18/MMP28/ADORA1/SMPD3/APOD,56
BP,GO:0022409,positive regulation of cell-cell adhesion,76/2435,209/11187,0.36363636363636365,1.6706365503080083,5.162166222705486,8.252230666185646e-7,5.853082340892855e-4,5.413213973194431e-4,CCL5/EBI3/FSTL3/CX3CL1/IL6ST/EFNB1/IL4R/CD83/SART1/HSPD1/IL23A/TNFRSF14/CD47/PODXL/CD74/IL2RG/TNF/PTAFR/SELE/PLAUR/TGFBR2/CITED2/CCL2/CYRIB/ETS1/GP1BA/SOX4/SMARCE1/PPP3CA/ADAM19/SHH/CYLD/THY1/NFKBIZ/LYN/FUT4/PYCARD/YES1/NFAT5/IL4I1/MAP3K8/SOCS1/CD24/PTPN11/HAS2/IL12RB1/JAK2/PDCD1LG2/IL1B/IGF2/NLRP3/KLHL25/PIK3CA/SOCS5/IL1A/VNN1/IL15/HLA-DOB/CEACAM6/SOX2/NOD2/ITGB2/TNFSF14/IL12A/CD274/CCR7/ADAM8/EFNB3/LILRB4/IL7R/HLA-DQA1/RHOH/HLA-DQB1/HLA-DPA1/MFSD2B/IL7,76
BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,67/2435,178/11187,0.37640449438202245,1.729296541540733,5.17336898535973,8.889086565369117e-7,5.853082340892855e-4,5.413213973194431e-4,CCL5/EBI3/IL6ST/EFNB1/IL4R/CD83/SART1/HSPD1/IL23A/TNFRSF14/CD47/CD74/IL2RG/TNF/PTAFR/SELE/TGFBR2/CCL2/CYRIB/ETS1/GP1BA/SOX4/SMARCE1/PPP3CA/SHH/CYLD/THY1/NFKBIZ/LYN/FUT4/PYCARD/YES1/NFAT5/IL4I1/MAP3K8/SOCS1/CD24/PTPN11/HAS2/IL12RB1/JAK2/PDCD1LG2/IL1B/IGF2/NLRP3/KLHL25/PIK3CA/SOCS5/IL1A/VNN1/IL15/HLA-DOB/NOD2/ITGB2/TNFSF14/IL12A/CD274/CCR7/ADAM8/EFNB3/LILRB4/IL7R/HLA-DQA1/RHOH/HLA-DQB1/HLA-DPA1/IL7,67
BP,GO:0050729,positive regulation of inflammatory response,38/2435,83/11187,0.4578313253012048,2.1033918012914077,5.32184606077705,9.065761612225138e-7,5.853082340892855e-4,5.413213973194431e-4,C3/SERPINE1/CX3CL1/IL6ST/IL23A/CD47/GPRC5B/NFKBIA/TNF/CASP4/ETS1/KARS1/FEM1A/MEFV/HYAL2/NMI/CAMK2N1/NLRP1/NFKBIZ/GSDMD/PYCARD/GPSM3/CASP1/TLR2/IL1B/NLRP3/ALOX5AP/PDCD4/CREB3L3/IL15/SETD4/VAMP7/LTA/PTGS2/CCR7/ADAM8/NAIP/GPR4,38
BP,GO:0007159,leukocyte cell-cell adhesion,87/2435,250/11187,0.348,1.5987991786447637,5.050511100952126,1.1919813106258887e-6,6.840648299314128e-4,6.326562792538342e-4,CCL5/EBI3/ICAM1/OLR1/ITGA5/IL6ST/EFNB1/ZC3H12A/IL4R/IRF1/CD83/SART1/HSPD1/IL23A/TNFRSF14/CD47/CD74/MAD1L1/PRDX2/IL2RG/TNF/PTAFR/SELE/TGFBR2/MSN/NT5E/CCL2/CYRIB/RAC2/ETS1/GP1BA/SOX4/SMARCE1/LRG1/PODXL2/PPP3CA/SHH/CYLD/THY1/NFKBIZ/LYN/FUT4/PYCARD/CASP3/YES1/NFAT5/IL4I1/MAP3K8/LRRC32/SOCS1/CD24/PTPN11/HAS2/IL12RB1/LAPTM5/JAK2/PDCD1LG2/IL1B/IGF2/NLRP3/KLHL25/ARG2/PIK3CA/SOCS5/IL1A/VNN1/IL15/JAK3/ROCK1/HLA-DOB/NOD2/ITGB2/TNFSF14/IL12A/ADTRP/CD274/CCR7/ADAM8/EFNB3/LILRB4/IL7R/HLA-DQA1/RHOH/ADORA2A/HLA-DQB1/HLA-DPA1/IL7,87
BP,GO:0042742,defense response to bacterium,52/2435,129/11187,0.40310077519379844,1.8519459433646912,5.1333613623233045,1.3736260656162153e-6,7.094778628907751e-4,6.561594827122509e-4,SERPINE1/HMGB2/IL23A/MYD88/CCL20/TNFRSF14/OAS3/SHC1/TNF/CASP4/SLAMF8/NOTCH2/MR1/TBK1/CYBA/ADAM17/SYT11/OAS1/NLRP1/H2BC11/NFKBIZ/GSDMD/PYCARD/CASP7/IL22RA1/IGHE/GBP3/CASP1/GBP4/TLR2/IL1B/PI3/ARG2/TMF1/WFDC5/IGHA1/NOD2/ACP5/LTA/IL12A/PGLYRP2/C5AR1/TAB3/IGHM/WFDC3/RBPJ/IL7R/WFDC2/RNASE4/LYG1/NAIP/SLPI,52
