category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,42/1123,119/8538,0.35294117647058826,2.683358650673092,7.1962596068366995,5.0173026610133e-10,1.7109002074055352e-7,1.367875146528889e-7,BIRC3/CCL5/ICAM1/MAP2K1/TNFRSF1B/CX3CL1/TRAF1/CSF1/IRF1/CCL20/CSF2/NFKBIA/TNF/CXCL2/SELE/MMP9/CCL2/FAS/ADAM17/EDN1/BIRC2/CYLD/MLKL/CASP7/PIK3CD/CASP3/MAP3K8/MMP14/IL1B/PIK3CA/FOS/MAP2K4/CREB3L3/IL15/AKT3/NOD2/LTA/PTGS2/CASP10/IL18R1/TAB3/CXCL3,42
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,51/1123,182/8538,0.2802197802197802,2.1304688188036365,5.99904344910455,6.137998864301869e-8,8.78364568209237e-6,7.0225782733814585e-6,BIRC3/C3/CCL5/ITGA5/HLA-B/TAPBP/MYD88/IFNAR2/TNFRSF14/OAS3/CD74/NFKBIA/TNF/PML/IFNGR2/TAP1/SRSF4/CALR/CCL2/FAS/HLA-C/STING1/TBK1/TAP2/IFIH1/NECTIN1/IFNGR1/OAS1/EIF2AK2/BIRC2/HLA-F/ITGB3/PIK3CD/CASP3/IKBKE/ALYREF/PTPN11/TLR2/JAK2/IL1B/APAF1/PIK3CA/IRF9/AKT3/HLA-DOB/LTA/TNFSF14/IL12A/HLA-DQA1/HLA-DQB1/HLA-DPA1,51
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,49/1123,173/8538,0.2832369942196532,2.1534082427848613,5.964308113614731,7.727547520902377e-8,8.78364568209237e-6,7.0225782733814585e-6,CCL5/ICAM1/MAP2K1/NFKBIB/VDAC1/TNFRSF10B/MYD88/IFNAR2/OAS3/NFKBIA/TNF/TRIM25/PML/IFNGR2/CXCL8/ACTG1/CCL2/FAS/TBK1/IFIH1/KPNA6/IFNGR1/OAS1/EIF2AK2/NXT2/PYCARD/PIK3CD/CASP3/IKBKE/CASP1/JAK2/IL1B/NLRP3/APAF1/PRSS2/PIK3CA/PRSS1/IRF9/IL1A/TMPRSS4/AKT3/HLA-DOB/TMPRSS2/IL12A/KPNA7/TNFSF10/HLA-DQA1/HLA-DQB1/HLA-DPA1,49
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,32/1123,95/8538,0.3368421052631579,2.5609598350283544,5.953770331140071,2.034066940266295e-7,1.7340420665770165e-5,1.3863772040236063e-5,CCL5/ICAM1/MMP1/CSF1/IL23A/CCL20/CSF2/TNF/CXCL2/CXCL8/TCIRG1/CCL2/ATP6V1C1/TLR2/IL1B/LTB/FOS/CCL3L1/ATP6V1G2/IL1A/TNFSF13/IL15/HLA-DOB/ITGB2/ACP5/ATP6V0D2/TGFB3/CXCL3/HLA-DQA1/HLA-DQB1/HLA-DPA1/ATP6V0A4,32
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,30/1123,93/8538,0.3225806451612903,2.452532100077557,5.480930906188006,1.3842488171211947e-6,9.440576932766549e-5,7.547798813355567e-5,BIRC3/LAMC2/CDKN1A/LAMB3/TRAF1/CCND1/LAMA5/ITGAV/ITGA2/CKS2/NFKBIA/LAMB2/MYC/COL4A2/ITGA6/ZBTB17/LAMB1/CDKN1B/E2F1/BIRC2/PIK3CD/CASP3/BIRC7/POLK/LAMA4/APAF1/PIK3CA/AKT3/PTGS2/CCNE2,30
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,49/1123,204/8538,0.24019607843137256,1.8261746372636323,4.6477968283685955,1.4208994698355569e-5,7.100202887751166e-4,5.676655495994912e-4,PLAU/MAP2K1/CDKN1A/ITGA5/ITPR3/WNT9A/CCND1/WNT7B/FLNA/CDC42/ITGAV/CTTN/ITGA2/TNF/PXN/MMP9/PLAUR/ACTG1/MYC/MSN/WNT4/FAS/MDM2/SHH/ANK1/ITGB3/HIF1A/PIK3CD/KRAS/CASP3/NUDT16L1/PTPN11/WNT5B/TLR2/MRAS/IGF2/CAMK2A/PDCD4/TFAP4/WNT11/PIK3CA/AKT3/FZD4/ROCK1/HOXD10/TWIST2/TIMP3/WNT6/VTN,49
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,20/1123,56/8538,0.35714285714285715,2.715303396514438,5.01155808370216,1.4575196543770722e-5,7.100202887751166e-4,5.676655495994912e-4,C3/HSPD1/MYD88/NFKBIA/TNF/CXCL2/BNIP3/CXCL8/PYCARD/CASP7/CASP3/CASP1/TLR2/ITGAM/IL1B/APAF1/ITGB2/IL12A/CXCL3/NAIP,20
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,24/1123,79/8538,0.3037974683544304,2.309726433490763,4.551154375469808,4.71504802328182e-5,0.0020097892199238757,0.0016068387342499885,C3/NFKBIB/MYD88/NFKBIA/TNF/MARCKSL1/IFNGR2/CYBA/IFNGR1/TLR2/JAK2/ITGAM/IL1B/FOS/IL1A/HLA-DOB/ITGB2/PTGS2/IL12A/TGFB3/HLA-DQA1/NCF4/HLA-DQB1/HLA-DPA1,24
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,47/1123,204/8538,0.23039215686274508,1.7516368969671572,4.2284711103931,6.506573917449994e-5,0.002156890461809319,0.0017244470739577514,ICAM1/HDAC1/CDKN1A/PSMC3/HLA-B/TAPBP/CCND1/NFKBIB/MYD88/IFNAR2/NFKBIE/OAS3/NFKBIA/TNF/TAP1/MYC/CALR/FAS/HLA-C/TBK1/CDKN1B/TAP2/E2F1/MDM2/OAS1/EIF2AK2/HLA-F/LYN/NEDD4/PIK3CD/CASP3/IKBKE/TLR2/POLK/APAF1/PIK3CA/MAP2K4/IRF9/AKT3/JAK3/HLA-DOB/ENTPD3/RBPJ/CCNE2/HLA-DQA1/HLA-DQB1/HLA-DPA1,47
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,63/1123,298/8538,0.21140939597315436,1.6073138226347212,4.152834590153456,6.661669620081069e-5,0.002156890461809319,0.0017244470739577514,CCL5/EBI3/TNFRSF9/TNFRSF1B/IL32/CX3CL1/IL6ST/IL4R/CXCL16/CSF1/IL23A/TNFRSF10B/IFNAR2/CCL20/CSF2/TNFRSF14/IL2RG/TNF/CXCL2/IFNGR2/CXCL8/TGFBR2/CCL2/FAS/TNFRSF12A/CSF3/IFNGR1/IL15RA/TNFRSF25/IL22RA1/CCL22/IL12RB1/INHBA/LIFR/IL1B/LTB/BMP5/CCR10/IL17RB/CCL3L1/IL1A/TNFSF13/IL15/ACVRL1/IL3RA/CCL17/LTA/TNFSF14/IL36G/IL12A/IL18R1/IL1RAP/CCR7/TGFB3/IL2RB/CCL26/TNFRSF18/CXCL3/IL7R/TNFRSF8/TNFSF10/CSF2RA/IL7,63
