ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007600,sensory perception,291/8516,363/12810,0.8016528925619835,1.2058681955987562,5.603438953926646,3.627342508411594e-9,2.0222434484394637e-5,1.898436521244468e-5,ABLIM1/ARRB1/CCN3/COL18A1/DISC1/DLL4/EPAS1/EPS8L2/EYA1/EYA4/F2R/FGFR1/GJB2/GRIN2D/HOXB8/ITPR3/KCNQ3/MME/NDN/NIPBL/NTSR1/OR51B5/PIEZO2/POMK/RORB/SCARB2/SERPINE2/SLC1A3/SLC52A3/SPNS2/SPRY2/TIMP3/TNF/MGLL/TMPRSS3/LXN/PDE6D/PAX2/WDR36/TMEM120A/P2RX7/HPS1/TIMM10/NOB1/CYP4V2/USP53/TGFBI/LARGE1/DDIT3/OR51B4/UNC119/FFAR4/LUM/GNB1/EFEMP1/ALDH7A1/TRPV2/GPX1/SOD1/CRYBG3/EYA3/MBP/FABP5/WDR1/CACNB2/CST1/TUB/BACE1/DHRS3/RP2/PTGES/EML2/ZIC2/TBX1/CCL2/BBS2/CHD7/TTC8/ATF6/CLN8/CLN6/CDKN1B/OPA1/ALOXE3/PGAP1/HMCN1/RPE65/GLRB/ACP3/DIAPH3/SCN9A/CHRNA7/NMB/CHM/DNAJC19/AXIN1/THRB/RGS16/CCL3/ANO1/ATXN7/GJC1/SLITRK6/TMEM150C/HEXA/MECP2/NR2F6/OPA3/RABGGTB/LCTL/CNNM4/RETREG1/COCH/CACNB4/FZD2/TPRN/SCNN1D/ATP8B1/COL11A2/AZGP1/ADORA1/TMEM63B/FZD4/COL11A1/OR2W3/CFAP69/CNTN5/CACNA2D4/HOXA1/CHRNA9/OPRL1/SIX1/RPL38/TECTA/RPGR/NDP/OR51E2/LEF1/KIT/MYO7A/KCNA2/PDE4A/OR51B2/CCDC66/ROR1/BBS10/SLC26A4/RGS9/CDK5/ARL6/LRP2/BBS7/CD36/GABRR2/KCNQ4/WDR47/GRM7/HOMER2/SLC24A1/LHFPL5/SCNN1G/WHRN/GRM8/EPHB1/MIR762/IMPG2/MYO3A/RDH12/VN1R1/RABGGTA/GUCA1B/TMEM100/OR2I1P/VSX1/LRIG2/DRD2/MYO7B/FAM161A/LRAT/GRIN2A/OR1F1/BBS9/AOC2/COL4A3/PRR4/OR2H2/LHFPL3/POU6F2/OR2T8/ATP2B2/TAS2R4/LHFPL4/RDH10/P2RX2/ADORA2A/EYS/NRL/CST2/NPR2/KCNA1/CST4/REEP2/VAX2/CDKN2D/TMIE/OR1E1/USH2A/KCND2/RIMS1/CXCR4/OR6C70/SCN11A/BBS1/PCDH15/NPY1R/GJB4/GJA3/MYO3B/STRC/ABCC6/GRIK2/RBP4/ATP6V0A4/ESPNL/ROM1/OPRK1/POU3F4/CDH3/REEP6/GRM1/PJVK/RAB3A/OR3A3/OR6C2/SIX3/ZFHX2/OR2M4/RRH/NAV2/OR2A42/PRPH2/OR3A2/ARR3/OR7C1/GFY/OR51B6/CLIC5/CRYGS/HTR2A/SLC4A10/GNAT2/TAS2R14/OR2A1/CRYBB3/PDE6C/AQP1/OR2A7/CRYBB2/LAMC3/FSCN2/RIPOR2/PDE6B/GPR179/DRGX/TAS2R31/LRIT3/PIGR/GIP/ASIC3/PRCD/HOXD1/MIR324/IRX5/OR2B6/NR2E3/OR10A6/OTOF/OR10H5/RLBP1/CHRNA10/RGS9BP/TAS1R3/OTOA/PDE6G/TMC1/TSPEAR/CRYM/KCNJ10/CEMIP/MYO15A/TAS2R5,291
BP,GO:0003013,circulatory system process,333/8516,431/12810,0.7726218097447796,1.1621988472088571,4.823786036309776,4.339397140569773e-7,0.0012096069529338243,0.0011355517148901534,ABCG2/ADD3/ADM/ADORA2B/AKAP9/ATP2B1/BMP6/CACNA1H/CALM2/CELF2/CPS1/DLG1/DSG2/EHD3/EPAS1/F2R/F2RL1/FOXC2/GATA4/GLRX3/GRIP2/GSN/GSTO1/HEG1/HSP90AA1/IER3/ITGA1/ITGA4/ITGB1/JUP/KCNK6/MMP2/NTSR1/OLR1/PDE5A/PDGFB/PIK3C2A/PTAFR/ROCK1/RYR2/SCN2A/SH3GL2/SLC16A2/SLC1A3/SLC1A4/SLC1A5/SLC29A1/SLC2A3/SLC44A1/SLC5A3/SLC7A5/STAT1/TBC1D8/TFRC/TNF/ZC3H12A/ZEB2/WNK1/ZDHHC21/ABCC1/MYOF/SLC7A2/ADRA1B/PPP1R13L/FLNA/DSP/SERPING1/ATP2A3/GATA6/SLC6A1/AGTRAP/BIN1/ACTA2/MDM2/SLC6A9/HTR1D/C3AR1/CBS/BMPR2/ARHGAP35/FERMT2/FKBP1B/SLC9A1/LRP5/SMAD3/SVEP1/ADM2/DNM1L/TJP1/CAMK2D/ADA/TPM1/NEDD4L/GPX1/LNPEP/CXADR/AKAP13/SOD1/ANK2/KAT2B/GRK2/PLEC/FABP5/CACNB2/KCNMB1/GNA13/EMILIN2/CYP2J2/GAS6/SMAD5/NUP155/PDE3A/ADRB2/SLC1A1/CYP4F2/SHOX2/EDNRA/PTPRO/BBS2/CHD7/ABAT/CACNA2D1/SLC16A1/GUCY1B1/SMAD7/YES1/TTN/VSTM4/TBX5/PCSK5/RGS4/DOCK5/BDKRB2/CDC42/DSC2/SLC4A8/ATP6AP2/SLC2A1/ACSM3/SLC27A4/CACNA1C/AR/TGFB2/SCN9A/DMD/RHOA/SLC38A1/FGF13/LRP1/AGT/SLC16A12/C2CD4A/THRB/KCNMA1/TRPV4/GJC1/SLC16A7/THRA/PIK3CG/GCH1/MECP2/PIK3CA/ATP2B4/MEF2A/ANGPT1/RNF207/HBEGF/EDNRB/SLC5A6/P2RY2/PTP4A3/PPARG/KCNJ8/ERAP1/ADRB1/HTR1B/GPR37L1/KCNH2/SLC12A2/ATG5/HRH2/RAP1GDS1/NKX2-5/NCALD/SCNN1D/RANGRF/FLI1/EDN2/POSTN/EDN1/KCNE3/ADORA1/FAAH/PRKG1/GNA12/DLL1/KCNMB4/DOCK4/TBXA2R/CLIC2/CSRP3/SLC4A4/APOE/OPRL1/CNR1/LEPR/PKP2/OR51E2/OXTR/SLC7A8/P2RY1/TMEM161B/SLC24A3/PLN/TNNI3/RNLS/TRPM4/SGCZ/CORIN/ABCC9/LRP2/SLC19A1/SLC6A17/FGF12/SLC8A3/NDST2/CD36/F5/MFSD2A/SLC22A3/SLIT2/ATP1A2/SCNN1G/TMEM38A/ADRA2C/ABCC2/NPR1/KCNN2/SCN5A/ID2/BVES/IRX3/SLC29A2/GPD1L/SCN8A/MAP2K6/PTGS1/NPR3/SCN1B/NOX4/LRP3/DRD2/KCNMB2/SLC6A20/KCNJ2/INSR/SLC22A1/GUCY1A1/CXCL10/COL4A3/SOD3/SGCG/KLF2/ATP2B2/GSTM2/CORO2B/P2RX2/SMTNL1/ADORA2A/SCN4B/HTR7/NPR2/GJA5/SLCO1C1/SLC4A5/KCND2/CXCR4/HTR2B/SCN11A/TEK/SGCD/NPY1R/PTGS2/SLC29A4/CYP4F12/KEL/APLN/CACNA1G/PER2/NPPA/KCNIP2/TAC3/ATP2A1/ATP1B2/NAV2/IMMP2L/ADAMTS16/SLC38A5/SLC8A1/BRS3/GPER1/SCN3B/KCNJ12/HTR2A/HEY2/SLC8A2/SLC13A3/AGER/AZU1/S100A1/POPDC2/WNK4/SLC1A2/PDE2A/HSD11B2/KLK1/ENPEP/CD38/ADCY10/TJP3/TNNC1/GNB3/DES/ADM5/SLC6A4/TACR2/NOS1/TREX1/SLC2A4/SCN3A/SLC15A2/GPR4/MYLK2,333
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,158/8516,194/12810,0.8144329896907216,1.2250923670664802,4.448823869207326,2.3175751934009513e-6,0.004306827234403434,0.0040431522321366774,AJUBA/CADM3/CDH11/CDH13/CDH8/CLDN1/CLDN4/CLDN7/CX3CL1/DSG2/ESAM/FAT1/GATA5/GPC4/ICAM1/ITGA5/ITGB1/KLF4/LRFN4/PKD1/PTPRM/RIC8A/SELE/TENM3/WNK1/IL1RAP/PVR/UNC5D/SCARF1/TENM1/NECTIN2/PTK7/PCDHGA11/CLDN18/CXADR/NECTIN3/ADGRL3/CDH2/MBP/TENM2/FAT4/CNTN6/PTPRD/FXYD5/CLDN12/PTPN23/CDH4/CEACAM6/NTNG1/DSC2/ALCAM/HMCN1/TGFB2/PCDH1/PSG5/CLSTN2/SELL/CDH19/MPZL2/CNTN4/FAT3/MAPK7/ROBO1/LRFN3/CLSTN3/MPZ/DSCAM/SLITRK2/TENM4/ATP2C1/TRO/IGSF11/LRRC4B/CDHR1/PCDHB5/ROBO2/CPLANE2/NEXN/PCDH12/ITGAM/FLRT3/KIFAP3/PECAM1/MDGA1/PCDHB13/PCDHB14/PCDH18/PSG2/NECTIN1/PCDHB12/CDH12/DAB1/PCDHGA2/SDK2/CDH10/LRRC4C/PCDH17/CELSR2/PCDHGA6/SDK1/PLXNB3/CELSR3/PCDHGA10/PCDHGC5/PCDHB15/PCDH10/IL1RAPL1/PCDHA4/PCDHGB4/CLDN3/PCDHB16/SCARF2/PCDHB4/CDH20/IGSF9/PCDHB2/AMIGO1/KIRREL3/LGALS7B/PCDHB7/PCDHB8/PCDHA10/PCDHB10/ROBO4/PCDHGB2/PCDHAC1/PCDH15/ITGB2/GRID2/PCDH19/CLDN6/PCDHA9/PCDHB3/CDH3/PCDHA7/PCDHGA4/CLDN9/PCDH11X/PCDHB11/NECTIN4/PCDH9/PCDHGA9/PCDHGB3/CDHR5/CD177/PCDHGA5/PCDHB6/PCDHGA1/FAT2/DCHS1/PCDHGB7/CLDN16/CDH1/CLDN10/PCDHA12/MIR221/CDH6/CLDN14,158
BP,GO:0007610,behavior,351/8516,462/12810,0.7597402597402597,1.1428220675519876,4.403139169233715,3.974875573166344e-6,0.005539982830100591,0.005200810881521858,APBA2/C1QL1/CHRNB1/CLN3/CPT1A/CSF2/CSTB/DERL2/DKK1/DPP4/EIF2AK4/FOSL1/FOXA2/GDF15/GM2A/GPR157/GRIN2D/HIF1A/HOXB8/ITGA5/ITGB1/ITPR3/KCNQ3/MAFG/MAP1A/MME/NLGN4X/NTSR1/PARK7/PCM1/POMK/PRKCZ/PTN/RAPGEF3/RIC8A/SCN2A/SELENOP/SERPINE2/SLC1A3/THBS1/TPBG/UBE2Q1/VWA1/NPAS2/DYNLRB1/DVL1/NFATC4/LDLR/TANC1/CTNS/NCOA1/SLC6A1/CAPN2/MAN2B1/TMOD2/EPHA4/HTR1D/LARGE1/NPC1/ORMDL3/HTRA2/NTAN1/PIAS1/EGR1/FADD/SPG11/PJA2/ARRB2/PER3/SYT11/CCND2/NR1D2/SLC25A46/CHD8/ADM2/CHST10/MMP17/ADA/GPI/EFNB3/PICALM/SRPX2/TSPO/GIT1/TMBIM4/PDE1B/SOD1/GLI3/KAT2B/FXR1/TUBA1A/STRN/RPS6KB1/UBA6/NPTX2/ABHD12/EIF4A3/EP300/HPRT1/B3GAT1/SLC1A1/HTT/TBX1/C12orf57/ALDH1A3/PRKAR2B/PRKAA1/INPP5F/ASTN1/NLGN4Y/BBS2/YTHDF1/UBE3A/RCAN1/CHD7/HIPK2/CNTNAP2/ABAT/SLC16A1/ARF4/NRXN3/BCHE/S100B/CLN8/SPTBN2/PUM1/CLN6/DDHD2/SGIP1/CLCN3/NETO1/TSC1/NCOR1/GLS/GLRB/MBD5/SCN9A/CHL1/CHRNA7/PREX2/FGF13/GAL/MAPK1/CLSTN2/B4GALT2/PTPRZ1/CAMK2N1/THRB/LYPD1/OXR1/SRF/CCL3/EIF4G1/SLITRK5/NR1D1/SLITRK6/TACO1/ATP7A/HEXA/THRA/EPS8/BTG2/MECP2/RGS14/AAAS/EDNRB/SHANK2/APBA1/HMGCR/DLG4/TLR2/ZNF385A/DSCAM/ADRB1/HTR1B/GIGYF2/DDO/CACNB4/GABRA5/USP46/AHI1/MDK/ARCN1/RNF180/RPTOR/FBXL20/TMOD1/MEF2C/ADORA1/C3orf70/MAPK8IP2/FZD4/CIART/NTRK2/CFAP20/MTA1/CFAP69/AGTPBP1/RASGRF1/GDNF/JPH3/NEDD9/JPH4/TRMT1L/PI3/THBS4/HOXA1/APOE/NMU/RELN/IDO1/OPRL1/DACH1/ATXN1/CNR1/LEPR/NDP/OXTR/P2RY1/FIG4/MEIS1/KIT/PAX5/KCNA2/PRKCE/ADCY1/LRRC66/MCOLN3/DAB1/ALS2/FOXB1/USP2/ADGRF1/GPR83/CDK5/GNG7/AFF2/FGF12/KCNK2/SLC8A3/AIM2/ETV1/MFSD2A/BAIAP3/WDR47/HOMER2/ATP1A2/PCDH17/GRPR/SYNJ1/BRINP1/NMUR2/ATXN1L/SDK1/VLDLR/PYY/ID2/RASD2/ARC/HOXD10/TBR1/BCL2/GAD1/DRD2/ADGRB3/INSR/GRIN2A/PRKAR1B/ATXN3/ARMCX5-GPRASP2/RMI1/CNTFR/TBCE/P2RX2/ADORA2A/GRID1/KIRREL3/NTF3/EN1/PRKCG/CHRNA5/MORC1/KCND2/ADAM11/BBS12/HTR2B/SCN11A/SNAP25/BBS1/KLK8/NPY1R/GJB4/PTGS2/NPAS1/APLN/CCK/GRIK2/NLGN3/BDNF/OPRK1/SLC18A2/GRM1/PDE8B/PAK5/ATP1B2/PAK6/ZFHX2/GRIN2B/SORCS3/OPRD1/GNG8/NAV2/GABRG2/BRS3/CALB1/HTR2A/ACVR2A/SLC4A10/MRAP2/STRA6/GNAT2/ALK/SLC8A2/AGER/CX3CR1/RAG1/SLC12A5/SLC1A2/NPAS4/GIP/SLC24A2/NEGR1/DMRTA1/HAND2/DMBX1/TMEM74/FZD9/SLC6A4/TACR2/DNAAF4/SLC2A4/KCNJ10/MYO15A/SCN3A/LGI4/NTF4/TAS2R5/CRHBP/TAFA2/LRRN4/SEPTIN5,351
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,99/8516,117/12810,0.8461538461538461,1.2728077465043177,4.174571541593474,7.469257092516964e-6,0.008328221658156415,0.007818346581893548,CADM3/CDH11/CDH13/CDH8/DSG2/ESAM/FAT1/ITGB1/PKD1/PTPRM/TENM3/PVR/NECTIN2/PTK7/PCDHGA11/NECTIN3/CDH2/FAT4/CNTN6/PTPN23/CDH4/CEACAM6/DSC2/HMCN1/PCDH1/CLSTN2/CDH19/MPZL2/CNTN4/FAT3/ROBO1/CLSTN3/DSCAM/TRO/IGSF11/CDHR1/PCDHB5/ROBO2/NEXN/PCDH12/PECAM1/PCDHB13/PCDHB14/PCDH18/NECTIN1/PCDHB12/CDH12/PCDHGA2/SDK2/CDH10/PCDH17/CELSR2/PCDHGA6/SDK1/PLXNB3/CELSR3/PCDHGA10/PCDHGC5/PCDHB15/PCDH10/PCDHA4/PCDHGB4/PCDHB16/PCDHB4/CDH20/IGSF9/PCDHB2/AMIGO1/KIRREL3/PCDHB7/PCDHB8/PCDHA10/PCDHB10/ROBO4/PCDHGB2/PCDHAC1/PCDH15/PCDH19/PCDHA9/PCDHB3/CDH3/PCDHA7/PCDHGA4/PCDH11X/PCDHB11/NECTIN4/PCDH9/PCDHGA9/PCDHGB3/CDHR5/PCDHGA5/PCDHB6/PCDHGA1/FAT2/DCHS1/PCDHGB7/CDH1/PCDHA12/CDH6,99
BP,GO:0008015,blood circulation,280/8516,365/12810,0.7671232876712328,1.1539278199939516,4.201559514357528,1.0042711464467787e-5,0.009184956011973437,0.008622629462644686,ADD3/ADM/ADORA2B/AKAP9/ATP2B1/BMP6/CACNA1H/CALM2/CELF2/CPS1/DLG1/DSG2/EHD3/EPAS1/F2R/F2RL1/FOXC2/GATA4/GLRX3/GRIP2/GSN/GSTO1/HSP90AA1/IER3/ITGA1/ITGA4/ITGB1/JUP/KCNK6/MMP2/NTSR1/OLR1/PDE5A/PDGFB/PIK3C2A/PTAFR/ROCK1/RYR2/SCN2A/SH3GL2/STAT1/TBC1D8/TNF/ZC3H12A/ZEB2/WNK1/ZDHHC21/MYOF/ADRA1B/PPP1R13L/FLNA/DSP/SERPING1/ATP2A3/GATA6/AGTRAP/BIN1/ACTA2/MDM2/HTR1D/C3AR1/CBS/BMPR2/ARHGAP35/FERMT2/FKBP1B/SLC9A1/LRP5/SMAD3/SVEP1/ADM2/DNM1L/TJP1/CAMK2D/ADA/TPM1/NEDD4L/GPX1/LNPEP/CXADR/SOD1/ANK2/KAT2B/GRK2/PLEC/CACNB2/KCNMB1/GNA13/EMILIN2/CYP2J2/GAS6/SMAD5/NUP155/PDE3A/ADRB2/SLC1A1/CYP4F2/SHOX2/EDNRA/PTPRO/BBS2/CHD7/ABAT/CACNA2D1/GUCY1B1/SMAD7/YES1/TTN/VSTM4/TBX5/PCSK5/RGS4/DOCK5/BDKRB2/CDC42/DSC2/ATP6AP2/ACSM3/CACNA1C/AR/TGFB2/SCN9A/DMD/RHOA/FGF13/AGT/C2CD4A/THRB/KCNMA1/TRPV4/GJC1/THRA/PIK3CG/GCH1/MECP2/PIK3CA/ATP2B4/MEF2A/ANGPT1/RNF207/HBEGF/EDNRB/P2RY2/PTP4A3/PPARG/KCNJ8/ERAP1/ADRB1/HTR1B/GPR37L1/KCNH2/ATG5/HRH2/RAP1GDS1/NKX2-5/NCALD/SCNN1D/RANGRF/FLI1/EDN2/POSTN/EDN1/KCNE3/ADORA1/FAAH/PRKG1/GNA12/DLL1/KCNMB4/DOCK4/TBXA2R/CLIC2/CSRP3/APOE/OPRL1/CNR1/PKP2/OR51E2/OXTR/P2RY1/TMEM161B/PLN/TNNI3/RNLS/TRPM4/SGCZ/CORIN/ABCC9/FGF12/SLC8A3/NDST2/F5/SLIT2/ATP1A2/SCNN1G/TMEM38A/ADRA2C/NPR1/KCNN2/SCN5A/ID2/BVES/IRX3/GPD1L/SCN8A/MAP2K6/PTGS1/NPR3/SCN1B/DRD2/KCNMB2/KCNJ2/GUCY1A1/CXCL10/COL4A3/SOD3/SGCG/KLF2/ATP2B2/GSTM2/CORO2B/P2RX2/SMTNL1/ADORA2A/SCN4B/HTR7/NPR2/GJA5/SLC4A5/KCND2/CXCR4/HTR2B/SCN11A/TEK/SGCD/NPY1R/PTGS2/CYP4F12/KEL/APLN/CACNA1G/PER2/NPPA/KCNIP2/TAC3/ATP2A1/ATP1B2/NAV2/IMMP2L/ADAMTS16/SLC8A1/BRS3/GPER1/SCN3B/KCNJ12/HTR2A/HEY2/SLC8A2/AGER/AZU1/S100A1/POPDC2/WNK4/PDE2A/HSD11B2/KLK1/ENPEP/CD38/ADCY10/TJP3/TNNC1/GNB3/DES/ADM5/SLC6A4/TACR2/NOS1/SCN3A/GPR4/MYLK2,280
BP,GO:0042391,regulation of membrane potential,241/8516,311/12810,0.77491961414791,1.1656552674066143,4.164781575621206,1.1532680194406109e-5,0.009184956011973437,0.008622629462644686,AKAP9/BAK1/BCL2L1/BOK/CACNA1H/CHRNB1/CLIC1/CLN3/DLG1/DSG2/EHD3/GABRB3/GNA15/GRIN2D/IFI6/JUP/KCNK6/KCNQ3/NLGN4X/NTSR1/P2RX5/PARK7/PIEZO2/PPIF/PRELID1/PRKCZ/PYCR1/RACK1/RYR2/SCN2A/SLC25A33/SLC29A1/SLC4A11/TNF/TUSC2/UBB/VCP/ZMYND8/DVL1/MLLT11/FLNA/DSP/CTNS/GABRE/GSK3B/BID/BIN1/GNAQ/P2RX7/KCNAB2/USP53/SPART/BNIP3/ARRB2/FKBP1B/SLC9A1/SLC8B1/DYNLL1/SLC25A36/CAMK2D/STX1A/NEDD4L/KIF5B/RAB3GAP1/CXADR/TSPO/SOD1/ANK2/ABCD1/WDR1/CACNB2/HTR3A/BAD/EIF4A3/MUL1/NUP155/ADRB2/GABBR1/BNIP3L/ABAT/CACNA2D1/KCNN4/GABRA3/SMAD7/CFTR/TBX5/RGS4/NETO1/DSC2/SLC4A8/GLRB/CACNA1C/MFN1/SLC25A27/SCN9A/CHRNA7/DMD/PANK2/ATP5IF1/ANK3/FGF13/KCNMA1/GJC1/KCNK15/INSYN2B/MTLN/MECP2/TMEM108/FMR1/PIEZO1/RNF207/SLMAP/AKAP6/DLG4/PPP3CA/PTPN3/KCNJ8/ADRB1/KCNH2/IGSF11/TMEM25/CACNB4/GABRA5/HCN3/RANGRF/UNC13B/GABRG3/EDN1/MEF2C/KCNE3/ADORA1/NNT/KCNK1/MAPK8IP2/POPDC3/RIMS2/CHRNA1/GABRQ/NTRK2/KCNMB4/SLC4A4/RELN/CHRNA9/RIMS4/CNR1/PKP2/NDP/BCO2/TMEM161B/PLN/KCNA2/TRPM4/KCNH1/CDK5/ABCC9/ABCB5/FGF12/KCNK2/SLC8A3/CD36/GABRR2/GABRD/PIP5KL1/ACTN2/ATP1A2/RTL10/KCNN2/SCN5A/BVES/GPD1L/NRCAM/CHCHD10/SCN8A/SCN1B/KCTD7/BCL2/DRD2/KCNMB2/KCNJ2/GRIN2A/PRKAR1B/KCNH4/S1PR2/KCNK13/GRIN3B/P2RX2/KCNJ11/ADORA2A/GRID1/SCN4B/NPR2/KCNA1/GJA5/KDR/CHRNA5/KCND2/RIMS1/CELF4/SCN11A/CHRNA6/CLCN1/KCNH8/GRID2/GABRG1/GRIK2/CACNA1G/NLGN3/MPP2/NPPA/GRM1/KCNIP2/ATP1B2/GRIN2B/CACNA1I/OPRD1/GABRG2/SLC8A1/GPER1/SCN3B/STOX1/GRIK4/NALCN/KCNK5/P2RX6/SLC8A2/INSYN1/HCN2/GRIK1/KCNH3/POPDC2/KCNMB3/CHRM1/NPAS4/ADCY10/KCNC1/NPFF/FZD9/CHRNA10/SLC6A4/KCNJ10/SCN3A,241
BP,GO:0050906,detection of stimulus involved in sensory perception,73/8516,84/12810,0.8690476190476191,1.3072451855331142,3.978535055480291,1.681398124056903e-5,0.011717243177021542,0.010999883516856476,DISC1/NTSR1/OR51B5/PIEZO2/SERPINE2/TNF/LXN/TMEM120A/OR51B4/FFAR4/CST1/BACE1/RPE65/SCN9A/ANO1/NR2F6/CACNB4/AZGP1/ADORA1/COL11A1/OR2W3/CACNA2D4/CHRNA9/OR51E2/KIT/OR51B2/CCDC66/WDR47/LHFPL5/WHRN/EPHB1/OR2I1P/OR1F1/OR2H2/OR2T8/TAS2R4/EYS/CST2/KCNA1/CST4/OR1E1/CXCR4/OR6C70/SCN11A/STRC/GRIK2/ROM1/REEP6/PJVK/OR3A3/OR6C2/OR2M4/OR2A42/PRPH2/OR3A2/OR7C1/OR51B6/HTR2A/GNAT2/TAS2R14/OR2A1/OR2A7/TAS2R31/PIGR/ASIC3/OR2B6/OR10A6/OR10H5/CHRNA10/RGS9BP/TAS1R3/TMC1/TAS2R5,73
BP,GO:0050878,regulation of body fluid levels,213/8516,274/12810,0.7773722627737226,1.1693446085170722,3.990355450695477,2.5398336722077856e-5,0.01573285858062045,0.014769652652885509,ADM/AGR2/AKAP11/ANXA5/CCND1/CD59/CD9/CLIC1/CYBA/DDR1/F13A1/F2R/F2RL1/F2RL2/FBLN1/FOXA2/FUNDC2/HEG1/HIF1A/ILK/JMJD1C/MED1/NME1/OAS2/PDGFB/PDPN/PEAR1/PLAT/PLAU/PLAUR/PRKCD/PROCR/RAP2B/SERPINB2/SERPINE1/SERPINE2/SLC29A1/SOCS2/STAT5A/SYK/THBS1/TLR4/UBASH3B/VAMP8/WNK1/VKORC1/FLNA/SERPING1/PLSCR1/CSRP1/CTNS/NCOA1/FIBP/AK3/GNAQ/F11R/ITGB3/XBP1/MYL12A/ACTG1/LNPK/SVEP1/PTPN6/PAPSS2/ADA/SHH/GPI/F12/IL6/BLOC1S6/TRAF3IP2/DGKA/GGCX/DTNBP1/AXL/GNA13/EMILIN2/LYN/JAK2/GAS6/ZBTB7B/DGKD/ENTPD1/INPP5K/CYP4F2/F3/STXBP3/PTPRO/NFE2L2/KCNN4/IL6ST/AP3B1/DGKH/ANO6/MYH9/CFTR/DGKZ/FZD6/VAV3/RAB27A/VDR/USF2/TFPI2/ACTB/HPS5/TYRO3/SRF/ANO1/USF1/COPA/TRPV4/MYO5B/PLA2G4A/ATP7A/PRKCQ/NFE2/PIK3CG/TXK/PIK3CA/MYL9/CYP4F11/ST3GAL4/EDNRB/P2RY2/DGKQ/ZNF385A/PPP3CA/METAP1/STAT5B/PDGFA/ATG5/GP1BA/ANXA8/FLI1/MTX1/EDN1/BTC/ADORA1/UMPS/PAFAH2/PRKG1/GNA12/HPS6/BLOC1S3/DGKI/TBXA2R/ADAMTS18/WNK3/SERPINA1/APOE/TSPAN18/OPRL1/OXTR/HYAL2/COL3A1/P2RY1/MERTK/C1GALT1C1/PRKCE/FGF10/FOXB1/TPH1/ENTPD2/CD36/F5/THBD/ADTRP/VPS33B/SCNN1G/ADRA2C/CELSR2/NPR1/DGKE/XDH/PRLR/DGKG/ENPP4/NPR3/GUCA1B/C4BPB/PDGFRA/DRD2/TEC/CORO2B/ADORA2A/GJA5/LCK/SLC4A5/PDIA2/HAS2/SERPINA10/CYP4F12/APLN/DMTN/P2RY12/OPRK1/CEL/TSPAN8/SERPIND1/GP6/FERMT3/PRICKLE1/SERPINC1/AQP1/WNK4/ERBB4/CHRM1/HSD11B2/PROC/SPINK1/SLC6A4/VTN/MFSD2B,213
BP,GO:0050953,sensory perception of light stimulus,108/8516,131/12810,0.8244274809160306,1.240126353984776,3.8902489374916547,3.287060135355637e-5,0.018325360254607678,0.01720343472946129,ABLIM1/ARRB1/COL18A1/DLL4/EPAS1/EYA4/RORB/TIMP3/PDE6D/PAX2/WDR36/HPS1/NOB1/CYP4V2/TGFBI/UNC119/LUM/EFEMP1/CRYBG3/EYA3/CACNB2/DHRS3/RP2/EML2/ZIC2/BBS2/ATF6/CLN8/CLN6/OPA1/HMCN1/RPE65/GLRB/CHM/DNAJC19/RGS16/ATXN7/GJC1/SLITRK6/OPA3/RABGGTB/LCTL/CNNM4/CACNB4/COL11A1/CACNA2D4/RPGR/NDP/MYO7A/CCDC66/BBS10/RGS9/ARL6/BBS7/GABRR2/SLC24A1/WHRN/GRM8/IMPG2/MYO3A/RDH12/RABGGTA/GUCA1B/VSX1/FAM161A/LRAT/BBS9/AOC2/PRR4/POU6F2/RDH10/EYS/NRL/VAX2/USH2A/RIMS1/BBS1/PCDH15/GJA3/MYO3B/ABCC6/RBP4/ROM1/CDH3/REEP6/SIX3/RRH/PRPH2/ARR3/CLIC5/CRYGS/SLC4A10/GNAT2/CRYBB3/PDE6C/CRYBB2/LAMC3/FSCN2/PDE6B/GPR179/LRIT3/PRCD/IRX5/NR2E3/RLBP1/RGS9BP/PDE6G/KCNJ10,108
