category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,77/3916,119/8538,0.6470588235294118,1.4107732980832783,4.153406541758808,2.3938521995145378e-5,0.008258790088325155,0.006526397049202792,AKT2/ATF4/BIRC3/CCL20/CCL5/CREB3/CREB3L2/CSF1/CSF2/CX3CL1/CXCL2/FRMD8/ICAM1/IRF1/JAG1/JUN/LIF/MAP2K1/MAP3K14/MAP3K7/MMP14/NFKBIA/PGAM5/RELA/SELE/SOCS3/TNF/TNFRSF1B/TRAF1/AKT3/MAPK11/JUNB/TAB3/TAB2/RHBDF2/FADD/DNM1L/IL6/RPS6KA4/ATF2/TRAF2/PIK3R1/CEBPB/FAS/IKBKG/CCL2/ADAM17/NFKB1/PIK3CD/MAP3K5/MAPK1/MMP9/BCL3/TNFAIP3/CXCL1/BAG4/PIK3CA/EDN1/RPS6KA5/CREB5/IL1B/LTA/RHBDF1/MAP2K4/TRADD/MAPK10/CREB3L4/TRAF5/MAP3K8/MAP2K6/CREB3L1/CASP10/IFNB1/IL18R1/CXCL10/PTGS2/MMP3,77
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,110/3916,184/8538,0.5978260869565217,1.3034318514899854,3.829850794753603,8.812337998557757e-5,0.01345613030424623,0.010633524786574443,ABLIM1/ARHGEF12/EFNA1/EFNB1/ENAH/EPHA2/EPHB6/ILK/ITGB1/MET/NEO1/NRP1/PAK4/PRKCZ/PTPN11/RAC2/RHOD/ROCK1/SEMA4C/WNT4/NGEF/HRAS/NFATC4/GSK3B/SEMA5A/EPHA4/SEMA7A/MYL12A/UNC5D/BMPR2/CFL1/SEMA4F/NTN4/CAMK2D/SHH/SEMA3B/EFNB3/RRAS/UNC5C/PIK3R1/PAK3/SEMA3A/RAC3/MYL12B/DPYSL5/PAK1/RASA1/PLXNC1/PIK3CD/NTNG1/CDC42/SEMA3C/ABLIM3/RHOA/MAPK1/UNC5B/BOC/PIK3CA/MYL9/SEMA6D/ROBO1/PAK2/NFATC3/PPP3CA/FZD3/TRPC4/PARD6B/SEMA4D/PLXNB1/PPP3R1/ROBO2/SSH3/SRGAP3/TRPC3/SEMA3F/SRGAP1/PARD6A/EPHA5/EFNB2/EFNA4/SEMA6B/WNT5B/CDK5/EPHA6/EPHA3/LRRC4C/SLIT2/EPHB1/EPHA7/PLXNB3/SEMA6A/UNC5A/EFNA3/PPP3CC/LRIG2/SEMA3D/BMPR1B/PLXNA4/DCC/NFATC2/CXCR4/PAK5/SEMA4A/PAK6/EFNA2/ABLIM2/SMO/RGMA/SEMA3G/FES,110
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,67/3916,105/8538,0.638095238095238,1.3912301181964102,3.7127430339420697,1.4934124343812463e-4,0.01345613030424623,0.010633524786574443,ATM/BCL10/BCL2A1/BCL2L1/BIRC3/CXCL2/EDARADD/GADD45A/ICAM1/IRAK1/LTBR/MAP3K14/MAP3K7/NFKB2/NFKBIA/PLAU/RELA/RELB/SYK/TLR4/TNF/TNFRSF11A/TRAF1/TRIM25/UBE2I/PPP1R13L/CXCL8/TAB3/TAB2/PRKCB/GADD45B/TICAM1/CSNK2B/MYD88/TRAF2/LYN/IKBKG/PIAS4/EDA2R/EDA/NFKB1/IL1R1/ERC1/TNFAIP3/CXCL1/PRKCQ/MALT1/LTB/TIRAP/TICAM2/IL1B/LTA/TNFSF13B/CARD10/TRAF6/TRADD/GADD45G/TRAF5/BCL2/BLNK/LY96/LCK/CCL4L2/PTGS2/CCL4/CARD14/TNFRSF13C,67
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,79/3916,128/8538,0.6171875,1.3456452694075587,3.626574604424976,2.0332240644567058e-4,0.01345613030424623,0.010633524786574443,AMPD3/ENTPD6/NME1/NME2/NME3/PDE1C/PDE5A/PNP/RRM2B/PDE6D/AK3/NUDT2/PDE8A/PAPSS2/NT5E/ADA/IMPDH1/PAICS/PDE1B/AK6/ENTPD4/PAPSS1/HPRT1/PDE3A/ENTPD1/AK4/PRPS1/HDDC2/CANT1/ITPA/GUCY1B1/PGM1/ADCY2/DGUOK/PRPS2/GUK1/PGM2/PDE7A/AK1/RRM1/NUDT5/GUCY1A2/NME6/PDE3B/NME1-NME2/PDE10A/PDE11A/PDE4A/ADCY1/ENTPD2/LACC1/PPAT/ENTPD8/NPR1/FHIT/XDH/NT5C/GDA/ENPP4/ENTPD5/GUCY1A1/PDE7B/AK9/PDE1A/NPR2/ENTPD3/PDE8B/AK5/PDE6C/PDE6B/PDE2A/GMPR/ADCY10/ADA2/PDE9A/NT5M/NT5C1B/PDE6G/NT5DC4,79
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,168/3916,300/8538,0.56,1.2209601634320737,3.586102739957289,2.153597225254239e-4,0.01345613030424623,0.010633524786574443,AKT2/ARRB1/ATF4/CACNA1H/CACNG6/CSF1/DUSP1/DUSP2/DUSP5/EFNA1/EPHA2/EREG/FGFR1/GADD45A/GRB2/HSPA1A/HSPA1B/IRAK1/JUN/MAP2K1/MAP3K14/MAP3K2/MAP3K7/MAP4K2/MET/MYC/NFATC1/NFKB2/PDGFB/PDGFRB/RAC2/RAPGEF2/RELA/RELB/TGFBR1/TNF/HRAS/AKT3/FLNA/MAPK11/IL1RAP/IGF2/MAP4K4/TAOK1/ELK1/CDC25B/MAP3K11/TGFA/DDIT3/DUSP8/TAB2/KITLG/PRKCB/ARRB2/MAP2K2/ELK4/SOS2/PDGFC/GADD45B/RRAS/RRAS2/RPS6KA4/ATF2/MYD88/DUSP4/CACNB2/TRAF2/FAS/TAOK2/EGF/MAP3K20/IKBKG/DAXX/GNG12/RAC3/TAOK3/MAP3K4/PAK1/RASA1/CACNA2D1/RPS6KA3/NFKB1/DUSP7/IL1R1/CDC42/CACNA1A/CACNA1C/TGFB2/MAP3K5/RAP1B/MAPK1/HSPA6/SRF/CACNA1E/PLA2G4A/SOS1/MECOM/MAPK7/ANGPT1/PAK2/NFATC3/PPP3CA/NR4A1/PDGFA/CACNB4/MKNK1/PGF/MAP3K1/PPP3R1/DUSP16/MEF2C/FGF1/GNA12/MAPK8IP2/ERBB3/AREG/MAP3K21/RPS6KA6/NTRK2/RASGRF1/RPS6KA5/GDNF/CACNA2D4/CACNG7/MRAS/KIT/IL1B/EFNA4/FGF10/DUSP9/FGF18/MAP2K4/TRAF6/TRADD/CACNG4/MAPK10/GADD45G/TGFB3/MAP3K8/MAP2K6/EFNA3/PPP3CC/PDGFRA/INSR/NLK/NTF3/IL1A/PRKCG/KDR/FGF7/TEK/CACNA1G/BDNF/FLT4/PTPRR/ARTN/RASGRP3/CACNA1I/PLA2G4B/ANGPT2/EFNA2/RASGRP1/FGFR2/ERBB4/HSPA1L/PTPN7/NRTN/NTF4,168
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,143/3916,252/8538,0.5674603174603174,1.2372257891920813,3.518428401237883,2.823055483528855e-4,0.01345613030424623,0.010633524786574443,ARFGEF1/ARPC1B/ARPC4/ARRB1/CAV2/CHMP4C/CLTA/CLTB/CLTC/CYTH4/EEA1/EHD1/EHD3/EHD4/GRK6/HLA-E/HSPA1A/HSPA1B/IST1/KIF5C/PRKCZ/SH3GL2/SNX12/TFRC/TGFBR1/VPS37B/WASHC4/WIPF1/HRAS/AP2A2/CAPZA1/LDLR/SNF8/CAPZB/SPG21/SNX3/ARPC1A/BIN1/MDM2/ARF1/RAB35/CYTH1/IL2RG/AMPH/ZFYVE16/ARF3/SPART/ARFGEF2/PLD2/ARRB2/HGS/VPS28/USP8/SMAD3/CHMP2A/SMURF1/PDCD6IP/NEDD4L/ARFGAP2/RAB11FIP5/KIF5B/AP2M1/CHMP4B/GIT1/EPS15/SNX2/GRK2/ASAP2/CHMP6/VPS45/GIT2/WASHC5/SMAP2/RAB11FIP2/RAB11B/EPN2/VPS36/RAB10/ACAP2/RABEP1/ARF4/ARF5/RNF41/AGAP3/PLD1/ARFGAP1/CDC42/SNX6/VPS29/HLA-F/VPS26B/RHOA/SMAD2/HSPA6/ARAP3/GRK5/RAB22A/MVB12B/ARAP1/PSD3/CHMP4A/ASAP1/WIPF2/RUFY2/VPS37C/WWP1/PARD6B/PML/WASHC2C/DNM3/PIP5K1B/SH3GL3/SNX32/AGAP6/RAB11FIP4/AGAP4/ARFGAP3/PARD6A/AGAP5/CLTCL1/GRK3/CBLB/VPS37D/TRAF6/PIP5KL1/ZFYVE27/RAB11FIP1/PSD/ASAP3/PDGFRA/KIF5A/ACTR3C/FOLR1/CXCR4/AGAP9/IL2RB/ACTR3B/FGFR2/HSPA1L/PSD2/WIPF3/ACAP1/RNF103-CHMP3,143
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,62/3916,98/8538,0.6326530612244898,1.3793646161222406,3.4766233878378126,3.6822460651605673e-4,0.01345613030424623,0.010633524786574443,AKT2/ATF4/CCND1/CDKN1A/CREB3/CREB3L2/FGFR1/GRB2/HSP90AA1/HSP90B1/MAP2K1/NFKBIA/PDGFB/PDGFRB/PLAT/PLAU/RELA/RB1/HRAS/AKT3/GSTP1/GSK3B/ZEB1/MDM2/CCNE1/TGFA/MAP2K2/SOS2/PDGFC/ETV5/SPINT1/PIK3R1/BAD/EP300/EGF/IKBKG/NFKB1/CDKN1B/PIK3CD/CDK2/CASP9/AR/TCF7/MAPK1/MMP9/SOS1/PIK3CA/TMPRSS2/PDGFA/ERG/CREB5/LEF1/E2F2/CREB3L4/CREB3L1/PDGFRA/BCL2/NKX3-1/FGFR2/CCNE2/MMP3/IL1R2,62
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,128/3916,224/8538,0.5714285714285714,1.24587771778783,3.432394395527722,3.9166555107016045e-4,0.01345613030424623,0.010633524786574443,AKT2/ANAPC11/ATF4/ATM/BCL2L1/CCND1/CDC27/CDKN1A/CDKN2B/CREB3/CREB3L2/CSF2/DLG1/ETS2/FOSL1/HLA-DPA1/HLA-DRA/HLA-E/ICAM1/JUN/LTBR/MAP2K1/MAP3K14/MYC/NFATC1/NFKB2/NFKBIA/NRP1/RELA/RELB/STAT5A/TERT/TGFBR1/TNF/VDAC2/ZFP36/RB1/HRAS/AKT3/NFATC4/ELK1/CCNE1/IL2RG/KAT5/EGR1/MAP2K2/ELK4/CCND2/SMAD3/ANAPC16/HLA-DPB1/HLA-DMA/CDK4/IL6/SLC25A5/ATF2/TSPO/KAT2B/SMAD4/PIK3R1/CCNA1/EP300/IKBKG/HLA-DMB/RAN/CD4/NFKB1/IL1R1/PIK3CD/CDC20/BUB1B/ADCY2/SLC2A1/CDK2/TRRAP/CRTC2/HLA-F/TGFB2/CCND3/MAPK1/SMAD2/ANAPC4/XPO1/SRF/CCNA2/CDKN2A/PIK3CA/CCNB2/ANAPC7/NFATC3/PPP3CA/STAT5B/CRTC3/MSX2/MAP3K1/PPP3R1/MSX1/GPS2/HLA-DOA/NFYB/TBP/TLN2/CREB5/LTA/CDC26/ADCY1/E2F2/MAP2K4/HLA-DRB1/MAPK10/TGFB3/CREB3L4/HLA-DQA2/HLA-DRB5/CREB3L1/PPP3CC/LCK/NFATC2/ITGB2/JAK3/IL2RB/MMP7/HLA-DOB/CD3D/HLA-DQB1/CCNE2/IL1R2/TNFRSF13C,128
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,59/3916,93/8538,0.6344086021505376,1.383192197436489,3.419930783682342,4.557372933741251e-4,0.01345613030424623,0.010633524786574443,DLL3/DLL4/HLA-DPA1/HLA-DRA/IFNGR2/IL4R/JAG1/JUN/MAF/NFATC1/NFKBIA/NFKBIB/NFKBIE/RELA/STAT1/STAT5A/MAPK11/IL2RG/RBPJ/HLA-DPB1/HLA-DMA/GATA3/MAML2/NOTCH2/JAK2/IFNGR1/IKBKG/HLA-DMB/CD4/NFKB1/JAG2/MAML1/MAPK1/PRKCQ/NFATC3/PPP3CA/STAT5B/PPP3R1/STAT4/HLA-DOA/DLL1/NOTCH3/HLA-DRB1/MAPK10/HLA-DQA2/HLA-DRB5/PPP3CC/IL12RB1/IL12RB2/LCK/NFATC2/JAK3/IL12A/IL12B/IL2RB/HLA-DOB/RUNX3/CD3D/HLA-DQB1,59
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,59/3916,93/8538,0.6344086021505376,1.383192197436489,3.419930783682342,4.557372933741251e-4,0.01345613030424623,0.010633524786574443,AKT2/BAK1/BCL2L1/BIRC3/CCND1/CDK6/CDKN1A/CDKN2B/CKS1B/COL4A1/FN1/GADD45A/ITGB1/LAMA4/LAMA5/LAMB1/LAMC2/MYC/NFKBIA/RELA/TRAF1/TRAF4/RB1/AKT3/BIRC7/CCNE1/LAMC1/GADD45B/CDK4/SKP2/TRAF2/PIK3R1/LAMB3/RARB/IKBKG/COL4A5/NFKB1/CDKN1B/PIK3CD/CDK2/CASP9/PIK3CA/POLK/RXRA/ZBTB17/APAF1/E2F2/TRAF6/COL4A6/GADD45G/TRAF5/FHIT/BCL2/COL4A3/PTGS2/LAMC3/LAMA2/CCNE2/RXRG,59
