ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002237,response to molecule of bacterial origin,22/256,254/12700,0.08661417322834646,4.296875,7.612532930608919,8.885471571916943e-9,1.6974768181757026e-5,1.568188015550809e-5,IL24/CD24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/FMO1/CD180/MMP3/MAOB/IL36B/S100A8/GBP5/PTGS2/CSF2/MMP8/BMP6/LOXL1/ALPL/CXCL5/PTAFR,22
BP,GO:0009617,response to bacterium,29/256,431/12700,0.06728538283062645,3.337985788863109,7.0827296003827245,1.1984436702809956e-8,1.6974768181757026e-5,1.568188015550809e-5,IL24/CD24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/FMO1/C15orf48/HMCN1/CCL20/CD180/MMP3/MAOB/IL36B/S100A8/GBP5/JCHAIN/PTGS2/HLA-DRB1/CSF2/MMP8/BMP6/LOXL1/ALPL/CD160/EPX/CXCL5/PTAFR,29
BP,GO:0032496,response to lipopolysaccharide,21/256,241/12700,0.08713692946058091,4.322808609958506,7.4695940272276165,1.7651405388308868e-8,1.6974768181757026e-5,1.568188015550809e-5,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/FMO1/CD180/MMP3/MAOB/IL36B/S100A8/GBP5/PTGS2/CSF2/MMP8/BMP6/LOXL1/ALPL/CXCL5/PTAFR,21
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,18/256,196/12700,0.09183673469387756,4.555963010204082,7.195906818300895,8.610855096484404e-8,6.210579238339377e-5,5.737548711657503e-5,TENM2/HMCN1/MMP24/HMCN2/PCDHB14/PSG2/LRRC4C/PCDHB11/CDH5/PCDHB10/PCDHA1/LRFN5/PCDHGB7/PCDHGB2/PCDHGC5/ICAM1/PCDHGA5/CD177,18
BP,GO:0071222,cellular response to lipopolysaccharide,15/256,153/12700,0.09803921568627451,4.863664215686274,6.896041796454323,4.5470217067604685e-7,2.62363152480079e-4,2.4238018866352647e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/CD180/MMP3/IL36B/GBP5/CSF2/MMP8/BMP6/CXCL5/PTAFR,15
BP,GO:0071219,cellular response to molecule of bacterial origin,15/256,159/12700,0.09433962264150944,4.680129716981132,6.697617604620122,7.473773436094146e-7,3.5936393938552685e-4,3.3199288316123466e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/CD180/MMP3/IL36B/GBP5/CSF2/MMP8/BMP6/CXCL5/PTAFR,15
BP,GO:0071216,cellular response to biotic stimulus,16/256,184/12700,0.08695652173913043,4.313858695652174,6.494337632109623,9.56712918857526e-7,3.943023958434232e-4,3.642702421875572e-4,IL24/CXCL8/IL6/CXCL1/CMPK2/IRAK2/CD180/MMP3/IL36B/GBP5/CLEC7A/CSF2/MMP8/BMP6/CXCL5/PTAFR,16
BP,GO:0030198,extracellular matrix organization,18/256,242/12700,0.0743801652892562,3.6899535123966944,6.059726698606279,1.9584253761664796e-6,6.355282412076537e-4,5.871230527183359e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP3/MMP24/OLFML2A/COL4A3/ECM2/DPT/MMP8/LOXL1/COL8A2/AEBP1,18
BP,GO:0043062,extracellular structure organization,18/256,243/12700,0.07407407407407407,3.674768518518518,6.038198008820359,2.0773955673712934e-6,6.355282412076537e-4,5.871230527183359e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP3/MMP24/OLFML2A/COL4A3/ECM2/DPT/MMP8/LOXL1/COL8A2/AEBP1,18
BP,GO:0045229,external encapsulating structure organization,18/256,244/12700,0.07377049180327869,3.6597079918032787,6.016782529856748,2.2028708534060788e-6,6.355282412076537e-4,5.871230527183359e-4,PTX3/MMP1/COL3A1/IL6/COL17A1/HMCN1/MMP13/COL4A6/MMP3/MMP24/OLFML2A/COL4A3/ECM2/DPT/MMP8/LOXL1/COL8A2/AEBP1,18
