category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,12/138,95/8538,0.12631578947368421,7.815102974828375,8.56127349778786,3.419840342505475e-8,4.155106016144152e-6,3.617831099176845e-6,MMP1/CXCL8/IL6/CXCL1/CCL20/MMP13/MAPK13/MMP3/S100A8/PTGS2/CSF2/CXCL5,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,12/138,95/8538,0.12631578947368421,7.815102974828375,8.56127349778786,3.419840342505475e-8,4.155106016144152e-6,3.617831099176845e-6,MMP1/CXCL8/IL6/CXCL1/CCL20/ATP6V0D2/MMP3/HLA-DRB1/CSF2/HLA-DRB5/ICAM1/CXCL5,12
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,10/138,119/8538,0.08403361344537816,5.199123127511875,5.912271593096324,2.0880157077954867e-5,0.0016912927233143442,0.0014726005518136593,BIRC3/IL6/CXCL1/CCL20/MAPK13/MMP3/PTGS2/CSF2/ICAM1/CXCL5,10
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,9/138,103/8538,0.08737864077669903,5.406078514140988,5.766082362831074,4.018855999766677e-5,0.0024414550198582565,0.0021257633051397426,COL3A1/CXCL8/IL6/CXCL1/LAMC2/COL4A6/SERPINB3/COL4A3/CSF2,9
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,8/138,101/8538,0.07920792079207921,4.900559621179509,5.054126687635935,2.1705960202982993e-4,0.009410922054111263,0.008194045193313251,COL3A1/CXCL8/IL6/MAPK13/COL4A6/NOX4/COL4A3/ICAM1,8
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,8/138,102/8538,0.0784313725490196,4.852514919011083,5.016821747985439,2.32368445780525e-4,0.009410922054111263,0.008194045193313251,KRT17/C4A/KRT34/KRT15/HLA-DRB1/HLA-DRB5/ICAM1/PTAFR,8
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,14/138,298/8538,0.04697986577181208,2.9066238692734174,4.294000520857139,3.1400284894194286e-4,0.010900384613270302,0.009490913178545944,IL24/GDF15/CXCL8/IL6/CXCL1/ACKR3/CCL20/IL36B/INHBE/GDF6/TNFRSF8/CSF2/BMP6/CXCL5,14
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,7/138,100/8538,0.07,4.330869565217392,4.294280478051713,0.0011346854189834587,0.029454020988643987,0.02564547636438138,IL24/CXCL8/IL6/CXCL1/ACKR3/CCL20/CXCL5,7
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,7/138,100/8538,0.07,4.330869565217392,4.294280478051713,0.0011346854189834587,0.029454020988643987,0.02564547636438138,CD24/CD22/IL6/HLA-DRB1/ANPEP/CSF2/HLA-DRB5,7
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,5/138,50/8538,0.1,6.186956521739131,4.714628370446519,0.001212099629162304,0.029454020988643987,0.02564547636438138,IL6/HLA-DRB1/HLA-DRB5/PIGR/ICOS,5
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,7/138,115/8538,0.06086956521739131,3.7659735349716446,3.8275077712132815,0.0025428848276203785,0.05617463755561381,0.04891099046427714,MAOA/HTR3A/MAOB/PLA2G4B/PTGS2/KCNJ6/HTR1D,7
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,5/138,63/8538,0.07936507936507936,4.9102829537612145,3.9926491334489556,0.0034016423808141804,0.06888325821148715,0.0599763261880395,PTGES/PLA2G4B/PTGS2/CYP4F3/ALOXE3,5
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,6/138,93/8538,0.06451612903225806,3.991584852734923,3.7178812466770776,0.0038563139110930566,0.0720834061842779,0.06276267984855906,BIRC3/LAMC2/COL4A6/COL4A3/PTGS2/RXRG,6
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,9/138,196/8538,0.04591836734693878,2.8409494232475603,3.341852989223142,0.0044189921834784755,0.07670107861323354,0.06678326532926118,CXCL8/IL6/CXCL1/MAPK13/PTGS2/MAP1LC3C/CSF2/ANGPT2/ICAM1,9
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,4/138,45/8538,0.08888888888888889,5.499516908212561,3.8787708567373915,0.005827712370266275,0.09440894039831364,0.0822014165911243,IL6/HLA-DRB1/KLRD1/HLA-DRB5,4
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,6/138,105/8538,0.05714285714285714,3.5354037267080742,3.35045095212042,0.006959417032081658,0.09947872581152017,0.08661565470268814,CXCL8/BIRC3/CXCL1/PTGS2/ZAP70/ICAM1,6
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,6/138,105/8538,0.05714285714285714,3.5354037267080742,3.35045095212042,0.006959417032081658,0.09947872581152017,0.08661565470268814,COL3A1/COL17A1/COL4A6/COL4A3/PRSS3/COL8A2,6
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,6/138,109/8538,0.05504587155963303,3.405664140406861,3.2397593912168623,0.008311629149782018,0.10783419203359346,0.0938907195094316,IL6/MAPK13/HLA-DRB1/ZAP70/RXRG/HLA-DRB5,6
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,5/138,78/8538,0.0641025641025641,3.965997770345596,3.37276032856876,0.00843148003554846,0.10783419203359346,0.0938907195094316,CXCL8/IL6/C4A/MAPK13/CXCL5,5
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,8/138,182/8538,0.04395604395604396,2.7195413282369802,3.0053955396644185,0.009226696779399222,0.11210436586970055,0.09760873961364441,IL6/IRAK2/MAPK13/ATP6V0D2/HLA-DRB1/CLEC7A/LSP1/HLA-DRB5,8
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,4/138,52/8538,0.07692307692307693,4.759197324414716,3.484960194306741,0.009710128550869598,0.11236005894577678,0.09783137036214483,PLA2G4B/PTGS2/BMP6/HSD17B2,4
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,8/138,189/8538,0.042328042328042326,2.6188175753393144,2.884457359801118,0.01143111962673006,0.1262619122407002,0.1099356480848202,CXCL8/BIRC3/IL6/CXCL1/MAPK13/GBP5/MAP1LC3C/AIM2,8
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,7/138,158/8538,0.04430379746835443,2.7410566868464503,2.831209367281697,0.013991763418917143,0.14734726289025624,0.12829456288040506,CD22/LRRC4C/HLA-DRB1/CDH5/HLA-DRB5/ICAM1/ICOS,7
Human Diseases,Immune disease,hsa05310,Asthma,3/138,32/8538,0.09375,5.800271739130435,3.486829117119568,0.014552816087926542,0.14734726289025624,0.12829456288040506,HLA-DRB1/HLA-DRB5/EPX,3
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,4/138,60/8538,0.06666666666666667,4.12463768115942,3.1130143721344528,0.01584736710206863,0.1540364082321071,0.13411877000066502,MAPK13/PLA2G4B/SH2D2A/PTGS2,4
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,5/138,93/8538,0.053763440860215055,3.326320710612436,2.891104404354608,0.017148178317774654,0.1602695127392016,0.13954590452925936,MAPK13/HLA-DRB1/ZAP70/STAT4/HLA-DRB5,5
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,6/138,130/8538,0.046153846153846156,2.8555183946488296,2.7323927831724735,0.018628406661888558,0.16765565995699702,0.14597698787678753,MMP1/COL3A1/MMP13/MAPK13/COL4A6/COL4A3,6
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,4/138,66/8538,0.06060606060606061,3.749670619235837,2.8741683870325954,0.021758343373347575,0.18883133713298075,0.16441454955048357,IL6/HLA-DRB1/STAT4/HLA-DRB5,4
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,8/138,216/8538,0.037037037037037035,2.2914653784219,2.4640432632929277,0.02366274331653422,0.198277469859235,0.17263925250901557,MMP1/CXCL8/IL6/CXCL1/MAPK13/MMP3/RXRG/ICAM1,8
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism,2/138,16/8538,0.125,7.733695652173913,3.455375508279418,0.026836809639912154,0.20740850248721376,0.1805895993066059,MAOA/MAOB,2
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,5/138,105/8538,0.047619047619047616,2.9461697722567286,2.5717980524197244,0.027369221083455263,0.20740850248721376,0.1805895993066059,IL6/MAPK13/PTGS2/CLEC7A/LSP1,5
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,4/138,71/8538,0.056338028169014086,3.4856093080220454,2.6955649578215453,0.027591507108345934,0.20740850248721376,0.1805895993066059,CXCL8/CXCL1/MAPK13/ATP6V0D2,4
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",3/138,41/8538,0.07317073170731707,4.527041357370096,2.9014975772175404,0.028166586757522857,0.20740850248721376,0.1805895993066059,MAOA/MAOB/GLDC,3
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,6/138,144/8538,0.041666666666666664,2.5778985507246377,2.447532017577568,0.029044908186145243,0.20758566733039102,0.18074385589520728,CXCL8/IL6/CXCL1/C4A/MAPK13/NOX4,6
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,3/138,42/8538,0.07142857142857142,4.419254658385093,2.8470912163554343,0.02998370598300578,0.20817258725344015,0.18125488428824546,KYNU/MAOA/MAOB,3
NA,NA,hsa04820,Cytoskeleton in muscle cells,8/138,232/8538,0.034482758620689655,2.1334332833583205,2.243347393875648,0.0342085482043151,0.22862694818475904,0.19906439932915992,COL3A1/BGN/LMOD1/COL4A6/SYNE3/COL4A3/MYBPC2/LDB3,8
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,5/138,112/8538,0.044642857142857144,2.7620341614906834,2.4058311786495095,0.03481151062895508,0.22862694818475904,0.19906439932915992,BIRC3/LAMC2/MAPK13/HLA-DRB1/HLA-DRB5,5
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,4/138,79/8538,0.05063291139240506,3.1326362135388,2.440750312457974,0.038699619716371036,0.24224371399781658,0.2109204527336415,MAPK13/PTGS2/HLA-DRB1/HLA-DRB5,4
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,8/138,238/8538,0.03361344537815126,2.0796492510047497,2.165133406985939,0.038878620765081674,0.24224371399781658,0.2109204527336415,F13A1/MMP1/CXCL8/IL6/C4A/MAPK13/MMP3/CSF2,8
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,6/138,157/8538,0.03821656050955414,2.3644419828302405,2.2116149683311144,0.04163357377979615,0.25292396071226164,0.22021969288786916,BIRC3/AREG/GDF6/TP73/BMP6/WNT6,6
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,3/138,50/8538,0.06,3.712173913043478,2.4652013222837708,0.04667478786026651,0.27663349878157956,0.24086347522242801,CXCL8/IL6/ICAM1,3
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,2/138,22/8538,0.09090909090909091,5.624505928853756,2.783629276433828,0.04852069998221294,0.2807269070399463,0.24442758637656145,MAOA/MAOB,2
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,6/138,173/8538,0.03468208092485549,2.1457652676551895,1.951363929292298,0.06126781838451668,0.34030229448011245,0.29629959363440594,CXCL8/IL6/HLA-DRB1/PRSS3/HLA-DRB5/ICAM1,6
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,3/138,56/8538,0.05357142857142857,3.3144409937888195,2.2271195658442022,0.061618522457304314,0.34030229448011245,0.29629959363440594,CXCL8/IL6/CXCL1,3
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,10/138,370/8538,0.02702702702702703,1.672150411280846,1.6941895829994416,0.076360717988612,0.41234787713850485,0.3590293407183863,SPX/ADM2/KISS1/PRSS3/S1PR5/GABRG1/HTR1D/ADCYAP1R1/PAQR9/PTAFR,10
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,3/138,65/8538,0.046153846153846156,2.8555183946488296,1.9246682410330884,0.08762615709482818,0.4530458760434734,0.39446489532050316,GPAT3/DGKG/PNLIPRP3,3
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,3/138,65/8538,0.046153846153846156,2.8555183946488296,1.9246682410330884,0.08762615709482818,0.4530458760434734,0.39446489532050316,KCNJ6/KISS1/CACNA1I,3
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,3/138,69/8538,0.043478260869565216,2.6899810964083173,1.8065203850503877,0.1004479544879584,0.49441180335344664,0.4304820120166462,MAPK13/PLA2G4B/CSF2,3
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,6/138,198/8538,0.030303030303030304,1.8748353096179184,1.596351093801584,0.10133709871057746,0.49441180335344664,0.4304820120166462,CXCL8/BIRC3/IL6/MMP3/CSF2/RXRG,6
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,5/138,153/8538,0.032679738562091505,2.0218812162546183,1.6347341643291284,0.10176300358443438,0.49441180335344664,0.4304820120166462,KYNU/CMPK2/NMNAT2/ALPL/NMNAT3,5
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,3/138,70/8538,0.04285714285714286,2.651552795031056,1.7782941406220976,0.10376544020998263,0.49441180335344664,0.4304820120166462,HLA-DRB1/HLA-DRB5/ICAM1,3
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,7/138,250/8538,0.028,1.7323478260869565,1.5063124676868211,0.11013826354838384,0.5101137197681729,0.44415359615942274,CXCL8/HKDC1/MAPK13/FOXO6/CYTH4/MAP1LC3C/CSF2,7
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,3/138,73/8538,0.0410958904109589,2.5425848719475876,1.69648317815353,0.11397324340378834,0.5101137197681729,0.44415359615942274,MAOA/FMO1/MAOB,3
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,2/138,36/8538,0.05555555555555555,3.43719806763285,1.8781663966292876,0.11454422363055287,0.5101137197681729,0.44415359615942274,MAOA/MAOB,2
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",4/138,115/8538,0.034782608695652174,2.151984877126654,1.5940973453918628,0.11545783780761114,0.5101137197681729,0.44415359615942274,MMP13/MMP24/CYP24A1/RXRG,4
