ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa05164,Influenza A,141,-0.5283039252646026,-1.9593515861297088,2.9543510578785095e-7,5.738194608993397e-5,4.341944357072044e-5,4651,"tags=53%, list=26%, signal=40%",HLA-DMA/IRAK4/BAK1/TICAM1/OAS2/HLA-DOA/STAT2/CCND3/MAP2K2/ADAR/NFKB1/BID/STAT1/PRSS3/MX1/CHUK/EP300/PIK3R1/IFNAR1/JAK1/PIK3CB/HLA-DQB1/AKT3/ACTG1/IFNGR2/TRIM25/TMPRSS2/PIK3CD/NFKBIA/HLA-DRB1/CCL2/IRF9/PML/CASP3/VDAC1/TNFSF10/TNFRSF10B/HLA-DOB/HLA-DQA1/APAF1/IFIH1/EIF2AK2/IFNGR1/TPSB2/CXCL8/HLA-DPA1/IKBKE/IFNG/TBK1/PYCARD/OAS3/MYD88/IFNAR2/OAS1/PIK3CA/IL1A/NXT2/TPSAB1/CCL5/MAP2K1/JAK2/TNF/NLRP3/FAS/IL1B/IL33/TPSD1/ICAM1/CASP1/HLA-DQA2/TLR3/PRSS2/PRSS1/NXF3/TMPRSS4
hsa05168,Herpes simplex virus 1 infection,150,-0.5147074299684192,-1.9208338082237244,3.3264896284019697e-7,5.738194608993397e-5,4.341944357072044e-5,4651,"tags=51%, list=26%, signal=38%",HLA-DMA/IRAK4/BAK1/TICAM1/OAS2/HLA-DOA/STAT2/BAD/NFKB1/BID/STAT1/NECTIN2/CHUK/PIK3R1/RHEB/HLA-A/MAP3K7/IFNAR1/JAK1/HLA-E/B2M/PIK3CB/HLA-G/HLA-DQB1/AKT3/IFNGR2/PIK3CD/NFKBIA/POU2F2/HLA-DRB1/HLA-C/TAP1/NECTIN1/CCL2/IRF9/PML/CASP3/BIRC2/HLA-DOB/HLA-DQA1/APAF1/IFIH1/EIF2AK2/LTA/IFNGR1/HLA-DPA1/HLA-F/IKBKE/IFNG/TBK1/TAP2/OAS3/MYD88/IFNAR2/OAS1/PIK3CA/ITGA5/TAPBP/HLA-B/ITGB3/TNFSF14/CCL5/TLR2/JAK2/STING1/TNF/POU2F3/BIRC3/C3/TNFRSF14/FAS/IL1B/CD74/HLA-DQA2/TLR3/NXF3/TLR9
hsa04650,Natural killer cell mediated cytotoxicity,89,-0.5693171170673189,-1.9686165866549887,2.118199102043289e-6,1.794895524484313e-4,1.3581513045678403e-4,3817,"tags=52%, list=21%, signal=41%",ITGAL/PIK3R1/SOS1/LCK/HLA-A/FCER1G/IFNAR1/SH3BP2/HLA-E/PIK3CB/HLA-G/SHC4/KRAS/IFNGR2/PIK3CD/SHC1/HLA-C/LAT2/CASP3/TNFSF10/TNFRSF10B/LCP2/PRF1/IFNGR1/SHC2/IFNG/IFNAR2/ITGB2/PIK3CA/HLA-B/PPP3CA/PTK2B/ICAM2/HCST/MAP2K1/FCGR3A/TNF/KLRC1/ZAP70/NCR1/FAS/SH2D1B/KIR2DS4/RAC2/ICAM1/CSF2
hsa03010,Ribosome,130,0.4777699731778401,1.8941442622993636,3.121557433885762e-6,1.794895524484313e-4,1.3581513045678403e-4,7295,"tags=72%, list=40%, signal=43%",RPL26L1/MRPL24/RNA5-8SN1/MRPL17/MRPS14/MRPL4/RPL11/MRPL12/MRPL22/MRPL36/RPS5/RPL36A/MRPL16/MRPS12/MRPS15/MRPL27/MRPS6/RPL22L1/RPL28/RPL36A-HNRNPH2/MRPL32/RPL8/RPS10-NUDT3/MRPS7/RPL15/RPL13A/MRPL21/RPS17/RPS27/MRPS17/RPL39/RPL13/MRPL13/RPS9/RPS2/RNA5-8SN3/FAU/RPL35/MRPS5/RPL34/RPS26/MRPL10/RPL37A/RPL23/MRPL35/MRPS18A/RPL23A/MRPL9/RPS6/MRPL23/RPL26/RPL31/RPS16/MRPL11/RPL18A/RPS10/MRPL3/RPSA/RPL37/RPS25/MRPL2/RPL9/MRPL28/RPL17/RPLP0/RPL41/MRPL30/RPL7/RPL36/RPL6/RPS23/MRPL14/RPL12/RPL7A/RPL30/RPL19/RPL27A/MRPS11/RPLP1/RPL24/RPL27/RPS15A/RPS11/MRPS2/RPS18/RPS19/MRPS18C/RPS14/MRPS16/RPL32/RPL36AL/RSL24D1/RPS3/RPS20
hsa04062,Chemokine signaling pathway,146,-0.5046287512329691,-1.8782168512979627,1.7533469891848265e-6,1.794895524484313e-4,1.3581513045678403e-4,4593,"tags=49%, list=25%, signal=37%",PLCB4/GNB2/SOS2/STAT2/PRKCD/CXCL11/BAD/NFKB1/GNG12/STAT1/GNG13/CXCR5/PRKACB/CHUK/PIK3R1/SOS1/PLCB3/CCL3/WAS/RAP1B/PIK3CB/GRK1/SHC4/AKT3/KRAS/PIK3CD/ROCK1/PXN/CXCL3/NFKBIA/SHC1/RASGRP2/LYN/CCL2/GNG8/JAK3/GNG3/GNG10/ELMO1/SHC2/CXCL8/GNG4/CDC42/PIK3CA/CCR7/FGR/CCL3L1/CXCR6/CX3CL1/PTK2B/CCL20/CCL5/CXCL16/PIK3R5/MAP2K1/JAK2/CXCL2/CCR10/ADCY5/ITK/CXCL14/ADCY4/NCF1/CCL11/RAC2/CCL22/CXCR3/GNG2/CCL17/ADCY2/GRK7
hsa05163,Human cytomegalovirus infection,184,-0.474486740450065,-1.8132596894232715,2.930645729452812e-6,1.794895524484313e-4,1.3581513045678403e-4,4617,"tags=40%, list=26%, signal=30%",BAK1/PLCB4/GNB2/SOS2/ARHGEF12/MAP2K2/NFKB1/RB1/BID/GNG12/GNG13/PRKACB/MAPK13/CHUK/PIK3R1/SOS1/RHEB/PLCB3/HLA-A/IL10RB/CCL3/JAK1/HLA-E/B2M/PIK3CB/GNA13/HLA-G/AKT3/KRAS/PIK3CD/ROCK1/PXN/NFKBIA/HLA-C/TAP1/CCL2/GNG8/CASP3/GNG3/GNG10/CCND1/CXCL8/HLA-F/PDGFRA/ITPR3/TBK1/TAP2/GNG4/PIK3CA/MDM2/TAPBP/HLA-B/CDKN1A/PTGER1/PPP3CA/CCL3L1/ITGB3/ITGAV/CX3CL1/PTK2B/CCL5/MAP2K1/NFATC4/STING1/TNF/ADCY5/ADCY4/MAP2K6/FAS/IL1B/RAC2/GNG2/ADCY2/CREB3L3
hsa03040,Spliceosome,133,0.46709199663329753,1.853610322600798,4.05133424129801e-6,1.996729018925448e-4,1.5108735215667768e-4,5679,"tags=54%, list=31%, signal=37%",RNVU1-27/WBP11/SART1/SF3B2/PHF5A/U2AF1/RNVU1-7/SRSF4/RBM8A/PRPF19/PRPF38A/HNRNPA1L2/PPIH/PRPF31/THOC3/HNRNPA1/HNRNPM/ISY1/ALYREF/SNRPF/SF3A3/SNRPD1/PPIL1/SNRNP40/CCDC12/MAGOH/SRSF3/PRPF38B/SRSF7/EIF4A3/SNRPE/SF3B5/LSM6/RNVU1-15/LSM8/PLRG1/SNRPA/SNRPD2/ZMAT2/PUF60/USP39/SF3A2/HNRNPU/SF3B6/RP9/SRSF2/LSM3/XAB2/LSM4/SRSF1/RBMX/DDX23/LSM7/SNW1/PRPF6/RNU1-2/DHX38/SNRNP70/TRA2B/SNRPD3/SRSF8/ACIN1/SMNDC1/SNRPG/LSM2/RNVU1-14/CWC15/DDX42/RNU5E-1/HNRNPA3/CTNNBL1/SNRPB2
hsa04668,TNF signaling pathway,112,-0.5221666793235241,-1.8768457153799947,6.568101285986439e-6,2.5588219961260084e-4,1.9361948284950419e-4,4091,"tags=44%, list=23%, signal=34%",VCAM1/VEGFC/RHBDF1/MAPK13/CHUK/PIK3R1/TNFAIP3/MAP3K7/FRMD8/PIK3CB/TAB3/AKT3/PIK3CD/CXCL3/NFKBIA/MAP2K4/CCL2/MMP14/CASP3/NOD2/BIRC2/IL15/LTA/IRF1/ADAM17/CYLD/CSF1/TRAF1/PIK3CA/TNFRSF1B/MAP3K8/CX3CL1/CCL20/CCL5/MLKL/MAP2K1/CXCL2/CASP10/IL18R1/TNF/BIRC3/SELE/MAP2K6/FAS/IL1B/ICAM1/CSF2/MMP9/CREB3L3
hsa04621,NOD-like receptor signaling pathway,146,-0.4926421328668926,-1.8336029275961623,6.675187815980891e-6,2.5588219961260084e-4,1.9361948284950419e-4,3825,"tags=40%, list=21%, signal=32%",MAPK13/NAMPT/CHUK/PKN2/PLCB3/SUGT1/CARD6/GBP5/TNFAIP3/MAP3K7/IFNAR1/JAK1/CTSB/ERBIN/TAB3/CYBA/ANTXR1/CXCL3/NFKBIA/TANK/CCL2/IRF9/TRPM7/VDAC1/NAIP/NOD2/BIRC2/TRPV2/CXCL8/IKBKE/ITPR3/TBK1/PYCARD/GSDMD/OAS3/MYD88/IFNAR2/OAS1/CASP4/ANTXR2/GBP4/CCL5/CXCL2/NEK7/GPSM3/STING1/TNF/CARD16/NLRP1/BIRC3/GBP3/PYDC1/CASP12/NLRP6/NLRP3/IL1B/CASP1/AIM2/MEFV
hsa04060,Cytokine-cytokine receptor interaction,199,-0.45087874334764494,-1.7403297762785153,7.68317854654121e-6,2.650696598556718e-4,2.0057139784654946e-4,2911,"tags=38%, list=16%, signal=32%",LEPR/IFNGR2/TNFSF13/IL1RAP/CXCL3/CSF2RA/IL17RB/IL7/TGFB3/CCL2/ACKR4/TNFRSF8/TNFSF10/TNFRSF10B/TGFBR2/IL15/LTA/IFNGR1/ACVRL1/IFNE/CXCL8/IFNG/TNFRSF25/TNFRSF19/TNFRSF18/IL2RB/IL4R/CSF1/IL15RA/IFNAR2/IL36G/CCR7/IL1A/IL32/IL7R/LIFR/TNFRSF1B/CCL3L1/CXCR6/LTB/CX3CL1/IL1RN/TNFSF14/CCL20/CCL5/CXCL16/CXCL2/ACKR3/EPO/IL18R1/TNF/IL22RA1/CCR10/TNFRSF9/TNFRSF14/OSM/CXCL14/IL13/IL2RG/GDF7/IL6ST/EBI3/CCL11/FAS/IL1B/CSF3/IL33/IL12RB1/CCL22/CXCR3/CCL17/IL3RA/CSF2/IL23A/CSF2RB
