ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa05164,Influenza A,145,-0.526772130290445,-1.5997841909883148,6.458410422656667e-4,0.11140757979082751,0.10537406479071405,5250,"tags=39%, list=24%, signal=30%",TLR3/HLA-DPA1/TRIM25/CASP8/CHUK/SLC25A5/HLA-DMB/JAK2/CIITA/IKBKG/BAX/TLR4/HLA-DPB1/STAT1/BAK1/MAP2K2/CCL5/IL12A/IKBKE/MAP2K1/NXF2/HLA-DQA1/CYCS/IFIH1/HLA-DRA/HLA-DOA/MX2/IRF7/TNFRSF10A/NFKBIA/IL18/OAS2/MX1/TNFRSF10B/HLA-DOB/CASP1/OAS3/CCND3/OAS1/IL1B/HLA-DQA2/IL1A/CXCL10/RSAD2/NLRP3/HLA-DRB5/IL33/HLA-DRB1/PRSS1/TMPRSS4/PRSS3/ICAM1/KPNA7/IL6/CXCL8/FASLG/HLA-DQB2
hsa04060,Cytokine-cytokine receptor interaction,219,-0.4727255486350112,-1.5004933621226828,5.863740928267566e-4,0.11140757979082751,0.10537406479071405,3302,"tags=35%, list=15%, signal=30%",IL18/TNFRSF10B/PRLR/BMP7/EDA/TNFRSF11A/GDF1/IL22RA1/XCR1/IL11/IL12RB2/TNFRSF1B/IL17F/TNFRSF9/ACVRL1/CCR1/LIF/TNFSF9/IL1B/EBI3/CXCL3/INHBB/NGF/TNFSF14/IL36G/TNFSF11/CSF1/IL10RA/TNFSF18/TNFRSF10D/IL1A/CXCL10/IL23A/CXCL11/CCL26/IL20RB/IL33/CSF2RB/IL1RN/CRLF2/CX3CR1/BMP6/CCL8/INHBE/IL1RL1/CXCL5/CXCL1/IL6/GDF15/CXCL8/TNFRSF8/CSF2/CXCL17/IL19/MPL/NODAL/IL36B/IL24/TNFSF8/IL37/IL5/CCL3/CCL20/CNTFR/CXCL9/CCL3L1/OSM/CCR4/IL34/BMP3/CCL25/FASLG/IL1F10/IL9R/IL13RA2/IL36RN
hsa04640,Hematopoietic cell lineage,74,-0.6009451575317791,-1.6736038300658964,0.001136210000493679,0.12358859455160888,0.11689539072768498,3896,"tags=47%, list=18%, signal=39%",CD55/HLA-DQA1/HLA-DRA/HLA-DOA/ITGAM/ITGA6/ITGA5/HLA-DOB/IL11/TFRC/CD44/CD38/CD14/IL1B/CD1D/CSF1/ITGA2/CD1B/HLA-DQA2/IL1A/CD3D/HLA-DRB5/HLA-DRB1/CR1L/CD22/IL6/CSF2/ANPEP/CD7/GP1BB/IL5/CD1A/IL9R/CD3G/HLA-DQB2
hsa04927,Cortisol synthesis and secretion,55,-0.6267671573059942,-1.6588121795662767,0.0018724993446237956,0.12358859455160888,0.11689539072768498,3611,"tags=27%, list=16%, signal=23%",MRAP/ADCY8/ITPR1/CACNA1G/NCEH1/AGTR1/NR0B1/ADCY4/CYP11A1/CACNA1I/CREB3L3/NR5A1/CACNA1S/HSD3B2/CYP11B1
hsa04962,Vasopressin-regulated water reabsorption,41,-0.6651888670492667,-1.6546416062162281,0.0030655112604184892,0.12358859455160888,0.11689539072768498,871,"tags=12%, list=4%, signal=12%",DYNC1H1/ARHGDIB/CREB3L3/ARHGDIG/AVPR2
hsa05150,Staphylococcus aureus infection,62,-0.610564215597564,-1.6460936125836496,0.003351783429628536,0.12358859455160888,0.11689539072768498,2452,"tags=48%, list=11%, signal=43%",HLA-DQA1/HLA-DRA/HLA-DOA/ITGAM/HLA-DOB/MASP2/KRT23/FCAR/C5AR1/KRT12/HLA-DQA2/HLA-DRB5/KRT15/HLA-DRB1/ITGAL/KRT36/FCGR3A/PTAFR/DEFB103B/ICAM1/FCGR2B/KRT40/DEFB1/FGG/KRT20/KRT39/DEFB103A/KRT32/KRT34/HLA-DQB2
hsa05416,Viral myocarditis,61,-0.596140474905496,-1.6084578231918654,0.003412038466993048,0.12358859455160888,0.11689539072768498,3896,"tags=33%, list=18%, signal=27%",CD55/HLA-DQA1/CYCS/HLA-DRA/HLA-DOA/LAMA2/HLA-DOB/RAC2/CCND1/CAV3/HLA-DQA2/CD28/HLA-DRB5/HLA-DRB1/ITGAL/ICAM1/CD80/CD86/MYH7/HLA-DQB2
hsa05323,Rheumatoid arthritis,83,-0.5662161380310455,-1.6014526247520338,0.0032899557951962103,0.12358859455160888,0.11689539072768498,3847,"tags=45%, list=17%, signal=37%",ATP6V1H/HLA-DQA1/ACP5/ATP6V0B/HLA-DRA/HLA-DOA/IL18/HLA-DOB/TNFRSF11A/IL11/CTSL/IL1B/CXCL3/TNFSF11/CSF1/HLA-DQA2/IL1A/IL23A/CD28/HLA-DRB5/HLA-DRB1/MMP3/ITGAL/ICAM1/CXCL5/CXCL1/IL6/CXCL8/CSF2/CD80/ATP6V0D2/MMP1/CD86/CCL3/CCL20/CCL3L1/HLA-DQB2
hsa04668,TNF signaling pathway,111,-0.5095442556431959,-1.499385566396809,0.003983271420689884,0.12358859455160888,0.11689539072768498,5274,"tags=34%, list=24%, signal=26%",MAP3K8/MLKL/CASP8/IL15/CYLD/CHUK/IRF1/IKBKG/CCL5/TRAF1/FRMD8/MAP2K1/VEGFC/NOD2/NFKBIA/BIRC2/TNFRSF1B/JAG1/LIF/MAP3K5/IL1B/CXCL3/CSF1/TNFAIP3/CXCL10/BIRC3/MAPK13/MMP3/VCAM1/PTGS2/ICAM1/CXCL5/CXCL1/IL6/CSF2/CREB3L3/CCL20/RIPK3
hsa05168,Herpes simplex virus 1 infection,153,-0.4868792520099417,-1.4818780633629802,0.004298733723534222,0.12358859455160888,0.11689539072768498,5951,"tags=37%, list=27%, signal=27%",TAP2/TRADD/STING1/EIF2AK2/IRF9/TRAF2/BST2/CD74/NECTIN2/PILRA/TLR3/HLA-DPA1/CASP8/IRAK1/CHUK/HLA-DMB/EIF4EBP1/JAK2/IKBKG/BAX/EIF2B3/BCL2L1/C3/HLA-DPB1/SRPK1/STAT1/BAK1/CCL5/IL12A/IKBKE/NXF2/HLA-DQA1/CYCS/IFIH1/HLA-DRA/TAP1/HLA-DOA/IRF7/NFKBIA/OAS2/ITGA5/HLA-DOB/OAS3/BIRC2/POU2F2/OAS1/IL1B/TNFSF14/CARD9/HLA-DQA2/HLA-DRB5/HLA-DRB1/BIRC3/TLR9/IL6/FASLG/HLA-DQB2
