ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04060,Cytokine-cytokine receptor interaction,146,-0.597539469348952,-2.3555901051283756,1e-10,1.675e-8,1.0473684210526319e-8,1681,"tags=40%, list=13%, signal=36%",LEPR/IFNGR2/TNFSF13/IL1RAP/CXCL3/CSF2RA/IL17RB/IL7/TGFB3/CCL2/TNFRSF8/TNFSF10/TNFRSF10B/TGFBR2/IL15/LTA/IFNGR1/ACVRL1/CXCL8/TNFRSF25/TNFRSF18/IL2RB/IL4R/CSF1/IL15RA/IFNAR2/IL36G/CCR7/IL1A/IL7R/IL32/LIFR/TNFRSF1B/CCL3L1/LTB/CX3CL1/TNFSF14/CCL20/CCL5/CXCL16/CXCL2/IL18R1/TNF/IL22RA1/CCR10/TNFRSF9/TNFRSF14/IL2RG/IL6ST/EBI3/IL1B/FAS/CSF3/IL12RB1/CCL22/CCL17/IL3RA/CSF2/IL23A
hsa04621,NOD-like receptor signaling pathway,135,-0.5823862691087788,-2.281594134142804,1e-10,1.675e-8,1.0473684210526319e-8,3065,"tags=47%, list=23%, signal=37%",IRAK4/PLCB4/TICAM1/OAS2/STAT2/PRKCD/NFKB1/STAT1/CARD8/MAPK13/NAMPT/CHUK/PKN2/PLCB3/SUGT1/CARD6/GBP5/TNFAIP3/MAP3K7/IFNAR1/JAK1/CTSB/ERBIN/TAB3/CYBA/ANTXR1/CXCL3/NFKBIA/TANK/CCL2/IRF9/TRPM7/VDAC1/NAIP/NOD2/BIRC2/TRPV2/CXCL8/IKBKE/ITPR3/TBK1/PYCARD/GSDMD/OAS3/MYD88/IFNAR2/OAS1/CASP4/ANTXR2/GBP4/CCL5/CXCL2/NEK7/GPSM3/STING1/CARD16/TNF/NLRP1/BIRC3/GBP3/NLRP3/IL1B/CASP1/MEFV
hsa04061,Viral protein interaction with cytokine and cytokine receptor,45,-0.7443170402517637,-2.442379435256268,2.5192671508898894e-10,2.8131816518270434e-8,1.7590672386915372e-8,1150,"tags=53%, list=9%, signal=49%",CCL2/TNFSF10/TNFRSF10B/LTA/CXCL8/IL2RB/CSF1/CCR7/TNFRSF1B/CCL3L1/CX3CL1/TNFSF14/CCL20/CCL5/CXCL2/IL18R1/TNF/IL22RA1/CCR10/TNFRSF14/IL2RG/IL6ST/CCL22/CCL17
hsa03040,Spliceosome,122,0.4978578920553355,2.2019500258258025,2.430493046796377e-9,2.035537926691966e-7,1.2728108324012608e-7,2901,"tags=44%, list=22%, signal=35%",WBP11/SART1/SF3B2/PHF5A/U2AF1/SRSF4/RBM8A/PRPF19/PRPF38A/HNRNPA1L2/PPIH/PRPF31/THOC3/HNRNPA1/HNRNPM/ISY1/ALYREF/SNRPF/SF3A3/SNRPD1/PPIL1/SNRNP40/CCDC12/MAGOH/SRSF3/PRPF38B/SRSF7/EIF4A3/SNRPE/LSM6/SF3B5/LSM8/PLRG1/SNRPA/SNRPD2/ZMAT2/PUF60/USP39/SF3A2/HNRNPU/SF3B6/RP9/SRSF2/LSM3/XAB2/LSM4/RBMX/SRSF1/DDX23/LSM7/SNW1/PRPF6/DHX38/SNRNP70
hsa05164,Influenza A,127,-0.5621160406248464,-2.175109037985456,5.025614297033424e-9,3.3671615790123945e-7,2.1054678844413718e-7,3085,"tags=52%, list=23%, signal=40%",HLA-DMA/IRAK4/BAK1/TICAM1/OAS2/STAT2/CCND3/MAP2K2/ADAR/NFKB1/BID/STAT1/PRSS3/MX1/CHUK/EP300/PIK3R1/IFNAR1/JAK1/PIK3CB/HLA-DQB1/AKT3/ACTG1/IFNGR2/TRIM25/TMPRSS2/PIK3CD/NFKBIA/CCL2/IRF9/PML/CASP3/VDAC1/TNFSF10/TNFRSF10B/HLA-DQA1/HLA-DOB/APAF1/IFIH1/EIF2AK2/IFNGR1/TPSB2/CXCL8/HLA-DPA1/IKBKE/TBK1/PYCARD/OAS3/MYD88/IFNAR2/OAS1/PIK3CA/IL1A/NXT2/CCL5/JAK2/MAP2K1/TNF/NLRP3/IL1B/FAS/ICAM1/CASP1/PRSS1/PRSS2/TMPRSS4
hsa04668,TNF signaling pathway,109,-0.5678848968441795,-2.154947769425093,2.5099928731929405e-8,1.2012108750280501e-6,7.511106492712711e-7,1803,"tags=39%, list=13%, signal=34%",TNFAIP3/MAP3K7/FRMD8/PIK3CB/TAB3/AKT3/PIK3CD/CXCL3/NFKBIA/MAP2K4/CCL2/MMP14/CASP3/NOD2/BIRC2/IL15/LTA/IRF1/ADAM17/CYLD/CSF1/TRAF1/PIK3CA/TNFRSF1B/MAP3K8/CX3CL1/CCL20/CCL5/MLKL/MAP2K1/CXCL2/CASP10/IL18R1/TNF/BIRC3/SELE/IL1B/FAS/ICAM1/CSF2/MMP9/CREB3L3
hsa03010,Ribosome,128,0.47784236513053086,2.1416861197339045,2.48029392598945e-8,1.2012108750280501e-6,7.511106492712711e-7,5393,"tags=72%, list=40%, signal=43%",RPL26L1/MRPL24/MRPL17/MRPS14/MRPL4/RPL11/MRPL12/MRPL22/MRPL36/RPS5/RPL36A/MRPL16/MRPS12/MRPS15/MRPL27/MRPS6/RPL22L1/RPL36A-HNRNPH2/RPL28/MRPL32/RPL8/RPS10-NUDT3/MRPS7/RPL15/RPL13A/MRPL21/RPS17/RPS27/RPL39/MRPS17/RPL13/MRPL13/RPS9/RPS2/FAU/RPL35/MRPS5/RPL34/RPS26/MRPL10/RPL37A/MRPL35/RPL23/MRPS18A/RPL23A/MRPL9/RPS6/MRPL23/RPL26/RPL31/RPS16/MRPL11/RPL18A/RPS10/MRPL3/RPSA/RPL37/RPS25/MRPL2/RPL9/MRPL28/RPL17/RPLP0/RPL41/MRPL30/RPL7/RPL36/RPL6/RPS23/MRPL14/RPL12/RPL7A/RPL30/RPL19/RPL27A/MRPS11/RPLP1/RPL24/RPL27/RPS15A/RPS11/MRPS2/RPS18/RPS19/MRPS18C/RPS14/MRPS16/RPL32/RPL36AL/RSL24D1/RPS3/RPS20
hsa04640,Hematopoietic cell lineage,47,-0.6785790479724737,-2.254312101960067,2.5275363597127594e-7,9.558127664195039e-6,5.976645420816381e-6,1878,"tags=57%, list=14%, signal=50%",CD9/CD14/ITGA3/HLA-DQB1/CSF2RA/IL7/ITGA6/HLA-DQA1/HLA-DOB/HLA-DPA1/IL4R/CSF1/ITGAM/ITGA2/ITGA5/IL1A/IL7R/ITGB3/ANPEP/CD34/TNF/ITGA1/IL1B/CSF3/IL3RA/GP1BA/CSF2
hsa04650,Natural killer cell mediated cytotoxicity,73,-0.6100544551778988,-2.163863655713848,2.731191132985769e-7,9.558127664195039e-6,5.976645420816381e-6,2318,"tags=49%, list=17%, signal=41%",PIK3R1/SOS1/LCK/HLA-A/FCER1G/IFNAR1/SH3BP2/HLA-E/PIK3CB/KRAS/IFNGR2/PIK3CD/SHC1/HLA-C/LAT2/CASP3/TNFSF10/LCP2/TNFRSF10B/IFNGR1/SHC2/IFNAR2/ITGB2/PIK3CA/HLA-B/PPP3CA/PTK2B/ICAM2/HCST/MAP2K1/TNF/FAS/SH2D1B/RAC2/ICAM1/CSF2
hsa05168,Herpes simplex virus 1 infection,136,-0.5189174220903932,-2.0340074291104147,2.853172437073146e-7,9.558127664195039e-6,5.976645420816381e-6,3085,"tags=50%, list=23%, signal=39%",HLA-DMA/IRAK4/BAK1/TICAM1/OAS2/STAT2/BAD/NFKB1/BID/STAT1/NECTIN2/CHUK/PIK3R1/RHEB/HLA-A/MAP3K7/IFNAR1/JAK1/HLA-E/B2M/PIK3CB/HLA-DQB1/AKT3/IFNGR2/PIK3CD/POU2F2/NFKBIA/HLA-C/TAP1/NECTIN1/CCL2/IRF9/PML/CASP3/BIRC2/HLA-DQA1/HLA-DOB/APAF1/IFIH1/EIF2AK2/LTA/IFNGR1/HLA-DPA1/HLA-F/IKBKE/TBK1/TAP2/OAS3/MYD88/IFNAR2/OAS1/PIK3CA/ITGA5/TAPBP/HLA-B/ITGB3/TNFSF14/CCL5/TLR2/JAK2/STING1/TNF/BIRC3/C3/TNFRSF14/IL1B/FAS/CD74
