ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa00190,Oxidative phosphorylation,106,-0.5454104387319284,-2.34865278961139,1e-10,3.3000000000000004e-8,2.7789473684210534e-8,4821,"tags=66%, list=30%, signal=46%",NDUFA7/NDUFS3/NDUFC1/ATP5PF/COX4I1/SDHD/PPA1/ATP5ME/ATP5MF/COX6B2/ATP6V1C2/NDUFAB1/COX7C/NDUFS7/ATP5MC2/UQCR10/ATP5F1B/UQCR11/ATP5MC3/NDUFB1/ATP6V1F/UQCRHL/ATP5F1E/NDUFA10/ATP5MG/NDUFA13/NDUFB4/ATP5PD/COX5A/UQCRQ/COX8A/COX5B/NDUFB2/NDUFB10/UQCRFS1/NDUFB3/UQCRC1/UQCRH/NDUFS4/NDUFA11/NDUFV1/SDHC/COX7B/COX6C/CYC1/ATP6V0E2/NDUFA6/NDUFS6/NDUFS8/NDUFC2/ATP5F1D/COX7A2/NDUFV2/NDUFA2/NDUFC2-KCTD14/ATP6V0C/NDUFS5/TCIRG1/ATP6AP1/COX6B1/ATP6V0B/NDUFA4/NDUFB8/ATP6V0E1/NDUFA1/NDUFA3/ATP5MC1/NDUFB11/COX7A2L/NDUFA4L2
hsa04668,TNF signaling pathway,111,-0.4884152579385441,-2.1451780297378176,5.710928189243893e-9,9.423031512252423e-7,7.935184431370462e-7,2010,"tags=34%, list=13%, signal=30%",PIK3CD/RPS6KA4/PGAM5/JUNB/ATF4/FADD/CEBPB/TRAF2/JAG1/CREB3/RHBDF2/CSF1/JUN/LIF/SOCS3/RELA/EDN1/MMP9/FRMD8/MAP2K1/BIRC3/MAPK11/MAP3K14/NFKBIA/AKT2/LTA/IRF1/TRAF1/CSF2/IFNB1/CCL20/TNF/SELE/CCL5/CX3CL1/TNFRSF1B/CXCL2/ICAM1
hsa03010,Ribosome,130,-0.47366647659491873,-2.0292207384304057,9.445338336784313e-9,1.0389872170462745e-6,8.749366038284417e-7,5131,"tags=74%, list=32%, signal=51%",RPS20/RPL10A/RPL5/MRPS15/RPL7A/MRPL12/RPS2/RPL15/RPL8/MRPL24/RPS3A/RPL23/RPL34/RPS26/MRPL28/RPS19/RPS13/MRPS10/RPS23/RPL21/RPS11/MRPL16/RPL41/RPL18A/MRPS7/RPL27/RPL30/RPS4X/MRPL34/RPL14/MRPS18C/RPS24/RPL36/RPL24/RPS9/MRPL32/RPS5/RPL31/RPL35/RPL28/MRPS5/MRPL22/RPS14/RPL38/RPL22/RPL18/RPL35A/MRPL15/RPL37/MRPL17/RPSA/RPLP0/RPS27/RPS8/MRPL36/RPS12/RPS25/RPL32/RPS15/RPL26/RPL37A/RPLP1/RPS18/RPL36A/RPS17/MRPS16/MRPL9/MRPL20/RPL29/MRPL10/MRPS11/MRPS18A/MRPS2/MRPL18/RPS21/MRPL21/MRPL27/RSL24D1/RPS10/MRPL2/RPL27A/MRPL23/RPLP2/RPS27A/RPL39/FAU/RPS3/MRPL11/MRPL14/MRPS17/RPS15A/RPL10/MRPS6/RPS28/MRPS12/RPS16
hsa04740,Olfactory transduction,51,0.6919632137307737,1.973837929703089,3.4121420488604694e-7,2.8150171903098872e-5,2.3705407918399052e-5,2648,"tags=53%, list=17%, signal=44%",PDE1C/OR51B4/ANO2/OR51B5/OR2W3/PDE1B/OR51B2/PDE1A/OR2H2/OR2T8/OR2M4/OR6C70/OR1E1/OR3A2/PRKG2/OR3A3/OR6C2/OR51E2/OR7C1/OR51B6/NCALD/SLC8A3/PRKG1/OR2A42/OR10H5/GNG7/OR2A1
hsa05208,Chemical carcinogenesis - reactive oxygen species,170,-0.3553743530568802,-1.6477193208538534,9.331921661454927e-6,6.159068296560251e-4,5.186583828682319e-4,3720,"tags=48%, list=23%, signal=37%",COX7C/NDUFS7/SLC26A9/ATP5MC2/SLC25A5/UQCR10/ATP5F1B/UQCR11/ATP5MC3/NDUFB1/MGST3/UQCRHL/ATP5F1E/CYP1A1/NDUFA10/GSTT2B/NDUFA13/NDUFB4/ATP5PD/COX5A/AKR1A1/SOD1/UQCRQ/COX8A/COX5B/NDUFB2/NDUFB10/UQCRFS1/NDUFB3/UQCRC1/UQCRH/MAP2K2/NDUFS4/NDUFA11/NDUFV1/SDHC/GSTM3/COX7B/COX6C/PRKD2/CYC1/NDUFA6/PPIF/IKBKG/NDUFS6/NDUFS8/NDUFC2/ATP5F1D/BAD/KEAP1/COX7A2/NDUFV2/NDUFA2/NDUFC2-KCTD14/PLD2/NDUFS5/GRB2/PIK3CD/VDAC2/COX6B1/PRKCD/NDUFA4/EPHX2/NDUFB8/NQO1/NDUFA1/NDUFA3/JUN/ATP5MC1/NDUFB11/GSTO1/RELA/HRAS/MAP2K1/MAPK11/COX7A2L/NDUFA4L2/MAP3K14/NFKBIA/AKT2/HMOX1/CYBA
hsa04932,Non-alcoholic fatty liver disease,130,-0.39678894815086846,-1.6998719608698751,1.3502592522794966e-5,7.426425887537231e-4,6.253832326347143e-4,3450,"tags=45%, list=22%, signal=35%",UQCR11/NDUFB1/UQCRHL/NDUFA10/NDUFA13/NDUFB4/COX5A/CEBPA/UQCRQ/COX8A/COX5B/NDUFB2/NDUFB10/UQCRFS1/NDUFB3/UQCRC1/UQCRH/NDUFS4/NDUFA11/NDUFV1/SDHC/COX7B/COX6C/CYC1/XBP1/NDUFA6/NDUFS6/NDUFS8/BID/NDUFC2/COX7A2/NDUFV2/NDUFA2/NDUFC2-KCTD14/IRS2/MAP3K11/DDIT3/PRKAB1/NDUFS5/PIK3CD/ATF4/TRAF2/COX6B1/NDUFA4/NDUFB8/IL6R/CXCL8/NDUFA1/NDUFA3/JUN/SOCS3/NDUFB11/RELA/MAPK11/COX7A2L/NDUFA4L2/AKT2/TNF
hsa03050,Proteasome,41,-0.5665774123463841,-2.0779322060949705,3.055818089098383e-5,0.0012605249617530828,0.001061494704634175,5367,"tags=73%, list=33%, signal=49%",PSME3/PSMA5/PSMC1/PSMA4/POMP/PSMB9/SEM1/PSMD9/PSMD14/PSMF1/PSMD3/PSMD11/PSME2/PSMB5/PSMB1/PSMA6/PSMB4/PSMB3/PSMB2/PSMA2/PSMB10/PSMD4/PSMD13/PSMB7/ADRM1/PSMD2/PSMA7/PSMB6/PSMD8/PSMC4
hsa04514,Cell adhesion molecules,109,0.5558766139478899,1.6875479101138233,3.004578026960768e-5,0.0012605249617530828,0.001061494704634175,2137,"tags=39%, list=13%, signal=34%",ITGA4/HLA-DRA/NLGN4X/SLITRK4/NLGN4Y/PTPRD/NTNG1/NRXN3/SELL/IGSF11/NCAM2/VCAN/CADM3/LRRC4C/NRCAM/CTLA4/HLA-DPB1/HLA-DRB5/CD226/SLITRK6/SLITRK5/CNTNAP2/HLA-DOA/CD4/VTCN1/HLA-DPA1/HLA-DMB/NCAM1/CDH4/SLITRK2/NECTIN3/PECAM1/HLA-DQA2/NEO1/SPN/SELPLG/SDC2/HLA-DMA/CDH2/JAM2/MPZ/HLA-DRB1
hsa04380,Osteoclast differentiation,102,-0.4040176946834986,-1.7122089518386077,3.697522451828098e-5,0.0013557582323369692,0.0011416911430206058,1296,"tags=26%, list=8%, signal=24%",CSF1/RELB/JUN/SOCS3/ITPR3/RELA/FOSB/NFKB2/MAP2K1/MAPK11/IFNGR2/FOSL1/SOCS1/MAP3K14/NFKBIA/AKT2/TNFRSF11A/SQSTM1/IFNB1/ATP2A3/OSCAR/LCK/NCF4/LILRA2/NFATC1/TNF/CYBA
hsa04924,Renin secretion,50,0.6408601121529778,1.8223212093666068,5.190400510484341e-5,0.0017128321684598325,0.001442384983966175,1859,"tags=36%, list=12%, signal=32%",PDE1C/PDE3A/EDNRA/GUCY1B1/CLCA2/ADCYAP1/PDE1B/KCNJ2/PDE1A/ADCYAP1R1/GUCY1A1/CACNA1C/PRKG2/NPPA/GUCY1A2/PLCB4/ADORA1/AGT
