ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa05323,Rheumatoid arthritis,72,-0.6799966701146785,-2.228976677987885,2.9800344875936285e-8,5.080958801347136e-6,3.874044833871717e-6,2746,"tags=60%, list=17%, signal=50%",ATP6V0A1/HLA-DPA1/ATP6V1B2/ATP6V0E1/IL15/HLA-DMB/TNFSF13B/TLR4/HLA-DPB1/ATP6V0E2/CCL5/TNFSF13/VEGFA/HLA-DQA1/ATP6V1H/ACP5/HLA-DRA/ATP6V0B/HLA-DOA/IL18/HLA-DOB/TNFRSF11A/IL11/CTSL/IL1B/CXCL3/CSF1/HLA-DQA2/IL1A/IL23A/CD28/HLA-DRB5/HLA-DRB1/MMP3/ICAM1/CXCL5/CXCL1/IL6/CXCL8/CSF2/ATP6V0D2/MMP1/CCL20
hsa04060,Cytokine-cytokine receptor interaction,161,-0.5507848269180223,-2.0358935272190055,2.058983167100765e-8,5.080958801347136e-6,3.874044833871717e-6,1653,"tags=40%, list=10%, signal=36%",TNFSF4/TGFBR1/CCL5/IL4R/IL12A/TNFSF13/BMP5/TNFRSF12A/BMP2/TNFRSF19/CXCR6/CCR10/TSLP/IL21R/TGFBR2/RELT/TNFRSF10A/IL18/TNFRSF10B/BMP7/EDA/PRLR/TNFRSF11A/XCR1/IL22RA1/IL11/IL12RB2/TNFRSF1B/TNFRSF9/ACVRL1/CCR1/LIF/TNFSF9/IL1B/EBI3/CXCL3/NGF/TNFSF14/CSF1/IL36G/IL10RA/TNFSF18/IL1A/IL23A/CXCL10/CXCL11/CCL26/IL20RB/IL1RN/CX3CR1/CRLF2/BMP6/CCL8/INHBE/CXCL5/CXCL1/IL6/GDF15/CXCL8/TNFRSF8/CSF2/IL36B/IL24/CCL20
hsa05164,Influenza A,134,-0.5625059857919403,-2.028170715458375,3.8172100323300356e-7,4.338895403415141e-5,3.308248694686031e-5,2736,"tags=38%, list=17%, signal=32%",TLR3/HLA-DPA1/TRIM25/CASP8/CHUK/SLC25A5/HLA-DMB/JAK2/CIITA/IKBKG/BAX/TLR4/HLA-DPB1/STAT1/BAK1/MAP2K2/CCL5/IL12A/IKBKE/MAP2K1/NXF2/HLA-DQA1/CYCS/IFIH1/HLA-DRA/HLA-DOA/MX2/IRF7/TNFRSF10A/NFKBIA/IL18/OAS2/MX1/TNFRSF10B/HLA-DOB/CASP1/OAS3/CCND3/OAS1/IL1B/HLA-DQA2/IL1A/CXCL10/RSAD2/NLRP3/HLA-DRB5/HLA-DRB1/PRSS3/ICAM1/IL6/CXCL8
hsa04061,Viral protein interaction with cytokine and cytokine receptor,48,-0.6852440512499034,-2.1039691601558594,3.2840264482915356e-06,2.1800295059310132e-4,1.6621925851673417e-4,1258,"tags=48%, list=8%, signal=44%",TNFRSF10A/IL18/TNFRSF10B/XCR1/IL22RA1/TNFRSF1B/CCR1/CXCL3/TNFSF14/CSF1/IL10RA/CXCL10/CXCL11/CCL26/IL20RB/CX3CR1/CCL8/CXCL5/CXCL1/IL6/CXCL8/IL24/CCL20
hsa04668,TNF signaling pathway,107,-0.5850840540670459,-2.0309593188716053,2.8394437727523095e-6,2.1800295059310132e-4,1.6621925851673417e-4,2772,"tags=35%, list=17%, signal=29%",MAP3K8/MLKL/CASP8/IL15/CYLD/CHUK/IRF1/IKBKG/CCL5/TRAF1/FRMD8/MAP2K1/VEGFC/NOD2/NFKBIA/BIRC2/TNFRSF1B/JAG1/LIF/MAP3K5/IL1B/CXCL3/CSF1/TNFAIP3/CXCL10/BIRC3/MAPK13/MMP3/VCAM1/PTGS2/ICAM1/CXCL5/CXCL1/IL6/CSF2/CREB3L3/CCL20
hsa04659,Th17 cell differentiation,85,-0.5962886169050267,-1.9992825591025414,3.835829042693865e-6,2.1800295059310132e-4,1.6621925851673417e-4,2721,"tags=39%, list=17%, signal=32%",HLA-DPA1/NFATC2/CHUK/HLA-DMB/JAK2/HIF1A/IL6R/IKBKG/STAT5A/TGFBR1/HLA-DPB1/STAT1/IL4R/HLA-DQA1/HLA-DRA/HLA-DOA/IL21R/SMAD3/TGFBR2/NFKBIE/NFKBIA/HLA-DOB/IL1B/EBI3/HLA-DQA2/IL23A/CD3D/HLA-DRB5/HLA-DRB1/MAPK13/IL6/RXRG/ZAP70
hsa04657,IL-17 signaling pathway,70,-0.6139670329390098,-1.9964350437900507,7.910161865708342e-6,3.8533788517236355e-4,2.9380601215488135e-4,749,"tags=27%, list=5%, signal=26%",MAPK4/FOSB/NFKBIA/FOSL1/IL1B/CXCL3/TNFAIP3/CXCL10/MAPK13/MMP3/PTGS2/CXCL5/CXCL1/IL6/MMP13/CXCL8/CSF2/MMP1/CCL20
hsa05417,Lipid and atherosclerosis,158,-0.4931704459982317,-1.8229299845223932,1.53848502570759e-5,6.557792422078603e-4,5.000076333549669e-4,2596,"tags=31%, list=16%, signal=26%",NFATC2/HSPD1/CASP8/IRAK1/CHUK/XBP1/JAK2/IKBKG/BAX/TLR4/BCL2L1/CCL5/IL12A/IKBKE/LDLR/TLR6/CD36/CYCS/IRF7/TNFRSF10A/NFKBIA/CYP2C9/IL18/TNFRSF10B/ERN1/CASP1/VAV1/ABCG1/ITPR1/POU2F2/CD14/MAP3K5/IL1B/CXCL3/DDIT3/PPARG/CYP1A1/ABCA1/NLRP3/MAPK13/MMP3/VCAM1/ICAM1/HSPA6/CXCL1/IL6/CXCL8/MMP1/RXRG
hsa05168,Herpes simplex virus 1 infection,146,-0.5008716584356625,-1.8300006470771397,2.5389262095187574e-5,9.619709304954403e-4,7.334675716387521e-4,3376,"tags=37%, list=21%, signal=29%",TAP2/TRADD/STING1/EIF2AK2/IRF9/TRAF2/BST2/CD74/NECTIN2/PILRA/TLR3/HLA-DPA1/CASP8/IRAK1/CHUK/HLA-DMB/EIF4EBP1/JAK2/IKBKG/BAX/EIF2B3/BCL2L1/C3/HLA-DPB1/SRPK1/STAT1/BAK1/CCL5/IL12A/IKBKE/NXF2/HLA-DQA1/CYCS/IFIH1/HLA-DRA/TAP1/HLA-DOA/IRF7/NFKBIA/OAS2/ITGA5/HLA-DOB/OAS3/BIRC2/POU2F2/OAS1/IL1B/TNFSF14/CARD9/HLA-DQA2/HLA-DRB5/HLA-DRB1/BIRC3/IL6
hsa04672,Intestinal immune network for IgA production,31,-0.7372312111618821,-2.076396563737196,3.480442265142814e-5,0.0011868308124136995,9.049149889371317e-4,2844,"tags=71%, list=18%, signal=59%",ICOSLG/HLA-DPA1/IL15RA/IL15/HLA-DMB/ITGB7/TNFSF13B/HLA-DPB1/TNFSF13/MADCAM1/HLA-DQA1/CCR10/HLA-DRA/HLA-DOA/HLA-DOB/HLA-DQA2/CD28/HLA-DRB5/HLA-DRB1/IL6/ICOS/PIGR
hsa04062,Chemokine signaling pathway,130,-0.5047600521339495,-1.811866170634956,6.524723862633139e-5,0.002022664397416273,0.0015422074584405603,2457,"tags=28%, list=15%, signal=24%",CHUK/GRK2/JAK2/IKBKG/PXN/GNG2/GRK3/STAT1/CCL5/PIK3CG/GNG3/SHC3/MAP2K1/CXCR6/CCR10/PIK3R5/ADCY8/NFKBIA/XCR1/VAV1/GNGT2/RAC2/PIK3R6/CCR1/CXCL3/PREX1/CXCL10/CXCL11/SHC4/CCL26/WAS/CX3CR1/CCL8/CXCL5/CXCL1/CXCL8/CCL20
hsa04820,Cytoskeleton in muscle cells,173,0.44056624468728756,1.685844627203374,9.063731742514927e-5,0.0025756104368313253,0.001963808544211568,3202,"tags=37%, list=20%, signal=30%",MYBPC2/COL3A1/MYH4/COL4A3/BGN/LMOD1/LDB3/TRIM54/MYBPHL/MYL1/MYL9/ATP1A2/OBSCN/ITGA2B/MYL4/ITGB4/COL6A6/FBLN2/SGCD/ANKRD23/THBS3/COL5A2/VCAN/COL5A1/ITGB1/MYH2/TPM1/CAPN3/SGCA/MYOM3/ACTG2/ITGA11/LMOD3/SDC3/ITGA10/TPM2/SGCG/DES/PDLIM7/DAAM2/SGCE/COL11A1/MYH9/SDC2/THBS1/ATP1B2/COL24A1/ITGAV/TRIM55/NID1/PKP2/PDLIM1/DAG1/CSRP3/ITGB5/NEB/ITGA4/FHL1/ACTB/TNNT1/SPTAN1/ITGB3/CAPZB/PDLIM3
