SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
HLA-DQA1,18245.2,5.4,18239.8,3364.22449254712,11.716058263584,0.42,27.62,6.038e-168,1.405e-163,1.35057057458326e-163,0,4,7,5.2,19608.2,16681.6,18429.5
COL1A2,31176.3,55.7,31120.6,557.701147533005,9.12334842926407,0.37,24.93,3.486e-137,8.113e-133,3.89901726026636e-133,0,58.4,59.8,48.8,30183.3,20674.3,42504.3
UBBP1,26379.6,115.2,26264.4,228.054702414882,7.83323610818651,0.32,24.7,1.011e-134,2.352e-130,7.53471356435001e-131,0,110.7,117.4,117.4,27349.8,18648.8,32794.6
HSPA6,58262.1,88.7,58173.3,657.819334250018,9.36154760143953,0.43,21.9,2.369e-106,5.513e-102,1.32473592662193e-102,0,64.4,82.3,119.5,32182.1,69442.9,72895
LYZ,7274.4,4.4,7270,1731.69475773167,10.7579689362532,0.49,21.89,3.308e-106,7.698e-102,1.48001460609227e-102,0,2.7,4.2,6.2,7869,5580.3,8360.7
NR4A2,18725.4,7,18718.4,2732.18611633524,11.4158400479271,0.52,21.79,2.879e-105,6.700e-101,1.07343902484171e-101,0,1.3,11.3,8.3,17339.8,22074.9,16740.5
ATF3,8098.6,165.6,7933,47.8929583871833,5.5817416496656,0.26,21.71,1.805e-104,4.199e-100,5.76673963685091e-101,0,185.9,147.7,163.2,7414.2,7501.3,8883.5
HSPA7,7564.2,4.8,7559.4,1608.95825668626,10.6519111814799,0.51,21.07,1.475e-98,3.431e-94,4.12346431342641e-95,0,5.4,2.8,6.2,5573.8,6897.3,10207
ACTG2,5250.2,6.2,5244,868.447522254504,9.76229486349959,0.49,20.11,5.777e-90,1.344e-85,1.43582983759643e-86,0,6,4.2,8.3,6712.3,3434.9,5584.9
UBBP3,2963.9,5.5,2958.4,542.804534815696,9.08428896345851,0.47,19.42,5.138e-84,1.195e-79,1.14932772294229e-80,0,5.4,4.9,6.2,3157.6,2126.7,3590.9
HLA-G,5577.6,136.6,5441,39.838928350378,5.31610693495427,0.28,18.98,2.640e-80,6.141e-76,5.36810119500733e-77,0,133.5,135,141.3,5771.7,4294.2,6257
CFL1P4,3098.6,11.7,3086.9,262.209801073948,8.03457780247593,0.44,18.19,6.269e-74,1.458e-69,1.16860727522354e-70,0,12.7,12,10.4,3757.9,1834.1,3668.7
HLA-F,8700.5,221.3,8479.3,38.3388525006138,5.26073525201736,0.29,17.91,1.069e-71,2.486e-67,1.83915451527787e-68,0,232.8,192,239,9204.4,6493.5,9739.9
HLA-DRB5,2280.3,11.6,2268.8,190.259335643963,7.57182343539215,0.42,17.84,3.553e-71,8.265e-67,5.67706411546561e-68,0,16.1,13.4,5.2,2285.6,1856.1,2664.6
HLA-DQB1,2124.4,35.6,2088.8,59.2842480570307,5.88957692362473,0.33,17.77,1.176e-70,2.735e-66,1.75337553828314e-67,0,32.9,28.1,45.7,1830.8,2004.6,2431
CYSLTR2,3249,3,3246,1055.64868855959,10.0439140818595,0.57,17.72,3.089e-70,7.184e-66,4.3179908086118e-67,0,2,4.9,2.1,4208.4,3194,2335.7
HLA-DQB2,3247.4,2.4,3245,1530.14767535507,10.5794551795547,0.6,17.52,1.050e-68,2.443e-64,1.38190722402435e-65,0,0.7,1.4,5.2,3068.8,3107,3559.1
UCA1,13555,13532.5,22.5,0.00168932219824113,-9.20933977033344,0.53,-17.48,2.089e-68,4.859e-64,2.59612575603842e-65,0,12783.1,14271.9,13542.4,44.9,9.9,12.7
BTG1,16545.6,560.3,15985.3,28.5072351795963,4.83325621883146,0.28,17.47,2.441e-68,5.676e-64,2.87357265938352e-65,0,602.6,633.6,444.8,18073.8,15497.8,14384.2
SPI1,4636.4,2.8,4633.6,1765.00127340196,10.7854535090254,0.62,17.4,8.593e-68,1.998e-63,9.61042272863876e-65,0,2.7,1.4,4.2,4785.2,2807.8,6307.9
CTSS,4338,3.9,4334,1159.37542807175,10.1791320990764,0.59,17.33,2.565e-67,5.964e-63,2.73173037946436e-64,0,0.7,4.9,6.2,5585.5,2834.2,4582.4
HSPA1L,17553,57.4,17495.6,305.980654114525,8.25729662996278,0.48,17.29,5.500e-67,1.279e-62,5.59187763492349e-64,0,26.2,68.2,77.9,15090.6,12549.2,24847
IGFBP7,2531.4,8.6,2522.8,298.66706624135,8.22239435146154,0.48,17.04,4.344e-65,1.010e-60,4.22492706583773e-62,0,7.4,7,11.4,3051.7,1453.4,3063.4
UBA52P5,2339.9,3.4,2336.4,732.852007883105,9.51737807974427,0.57,16.72,1.000e-62,2.326e-58,9.32296168899341e-60,0,3.4,0.7,6.2,2524.2,1753.8,2731.3
EEF1A1P17,2302.9,6.6,2296.3,337.333475555586,8.39803168222403,0.51,16.61,5.690e-62,1.323e-57,5.09138783978376e-59,0,8.7,7,4.2,3266.8,1435.8,2186.3
ANGPT2,4698.1,12.4,4685.7,388.400672299131,8.60140188775578,0.52,16.59,8.106e-62,1.885e-57,6.97404037201108e-59,0,3.4,14.1,19.7,3762.2,5472.5,4822.3
LAPTM5,2665.6,11.8,2653.8,227.562331172223,7.830117955114,0.48,16.38,2.607e-60,6.061e-56,2.15999535549815e-57,0,9.4,10.5,15.6,3424.1,1435.8,3101.5
S100A2,32068.5,951.6,31116.9,32.6919387828666,5.03086303300465,0.31,16.16,9.166e-59,2.131e-54,7.32256163310452e-56,0,1192.4,831.9,830.4,26892.9,27608,38849.9
NR4A3,2742.7,10.2,2732.5,277.6517282305,8.1171325657217,0.51,16.05,5.285e-58,1.228e-53,4.07607593989694e-55,0,2.7,11.3,16.6,3002.5,2498.6,2696.3
ACTG1P21,2981.8,14,2967.9,216.187566341981,7.75613974109618,0.49,15.75,6.520e-56,1.515e-51,4.86104345904776e-53,0,12.7,8.4,20.8,3568.5,1625,3710.1
MARCKS,9208.8,33.3,9175.5,274.932043185304,8.10293125177463,0.51,15.74,8.366e-56,1.945e-51,6.03668350104383e-53,0,17.4,53.4,29.1,11898.7,4837.7,10790.1
COL3A1,43005.1,418.6,42586.5,101.835910596598,6.67010258128624,0.43,15.69,1.842e-55,4.282e-51,1.28771741433735e-52,0,353.6,269.3,632.9,29973.5,41405.9,56380.1
ST6GALNAC1,3411.7,3.4,3408.2,1052.49626666056,10.0395994005382,0.64,15.67,2.471e-55,5.743e-51,1.67485679195348e-52,0,1.3,2.8,6.2,2171.1,2591,5462.6
ACTC1,1679.3,9.4,1669.9,178.664332413859,7.48110784102235,0.48,15.66,2.675e-55,6.216e-51,1.75974437182852e-52,0,10.1,7.7,10.4,2513.5,1155.2,1341
KRT7,17947.1,303.6,17643.5,58.1006693843336,5.86048288006442,0.38,15.46,6.359e-54,1.478e-49,4.06392977640521e-51,0,385.1,224.3,301.4,11386.1,18939.3,22605.1
SPOCD1,2162.1,2121,41,0.0194872148689672,-5.68132827577464,0.37,-15.31,6.083e-53,1.414e-48,3.77984106696921e-50,0,1993.5,1734.9,2634.7,55.6,34.1,33.4
RARRES2,10527.7,1.9,10525.8,5213.40085720924,12.3480090773553,0.81,15.3,7.214e-53,1.676e-48,4.36085638616813e-50,0,2.7,2.1,1,4255.5,21150.7,6171.2
PPIAP58,1679.2,3.5,1675.7,467.121568468293,8.86765425020689,0.58,15.3,7.414e-53,1.723e-48,4.36424201060924e-50,0,4.7,2.8,3.1,2506,1124.4,1396.6
FTLP5,1975.5,2.1,1973.5,956.650776344307,9.90184855734399,0.65,15.3,8.062e-53,1.873e-48,4.62385999134346e-50,0,2.7,1.4,2.1,1813.7,1392.9,2713.8
ZNF488,3149,3076.9,72.1,0.0233591704149228,-5.41986715098184,0.36,-15.17,5.558e-52,1.291e-47,3.10786739503694e-49,0,2312.9,2876.9,4040.9,56.7,77,82.6
KRT17,48479.4,38.5,48441,1253.54372016052,10.2917965989503,0.68,15.13,1.098e-51,2.552e-47,5.95540492691065e-49,0,37.6,61.2,16.6,13073.6,91256,40993.3
KRT5,15077.8,9.1,15068.6,1675.99025590661,10.7107980459929,0.71,15.12,1.118e-51,2.598e-47,5.95540492691065e-49,0,3.4,10.5,13.5,3634.9,24774.9,16796.1
NR4A1,25318.6,668.6,24650,36.8734897461395,5.20451205596786,0.34,15.1,1.555e-51,3.612e-47,8.08826477926263e-49,0,673.7,596.3,735.8,15776.4,26537.4,31636.3
RGS2,23801.3,77.2,23724.1,306.414443145819,8.25934049148848,0.56,14.84,8.366e-50,1.943e-45,4.25282318172651e-47,0,83.2,104.8,43.7,36551,26041.2,8580
RPL10L,1401.6,2.4,1399.2,597.078739813375,9.22177738935125,0.62,14.78,1.912e-49,4.441e-45,9.50259975427572e-47,0,2,2.1,3.1,1794.4,914.3,1488.8
PPARG,2595.6,2418.2,177.3,0.0734230718718354,-3.76762271465143,0.26,-14.75,3.260e-49,7.573e-45,1.58539717161908e-46,0,2461.9,2578,2214.8,195.8,169.4,166.8
MAFB,13709.8,53,13656.8,256.493139180786,8.00277642612466,0.55,14.68,8.668e-49,2.013e-44,4.12517230888852e-46,0,34.9,99.2,24.9,11744.6,9827.2,19398.7
CSF1R,4071.4,1.5,4069.9,3061.38786666557,11.5799701253014,0.79,14.59,3.107e-48,7.216e-44,1.44772920608796e-45,0,0.7,0.7,3.1,5466.8,2128.9,4614.1
KRT16,3818.4,4.6,3813.9,828.46249724694,9.69429258093243,0.66,14.58,3.744e-48,8.695e-44,1.70894302477309e-45,0,6,3.5,4.2,1185.6,5710.2,4545.8
APOD,1038.7,3.4,1035.2,291.673790491532,8.18821194273441,0.57,14.47,1.851e-47,4.299e-43,8.28081663506435e-45,0,5.4,2.8,2.1,1442.4,830.7,832.6
EEF1A1P10,1710.5,13.9,1696.7,125.068729385656,6.966577311016,0.49,14.36,9.407e-47,2.185e-42,4.12589217902255e-44,0,11.4,8.4,21.8,2350.8,1094.7,1644.5
ZEB2,2468.9,2.1,2466.9,1196.82633661227,10.2249981123949,0.71,14.35,1.070e-46,2.485e-42,4.60341397725709e-44,0,2.7,1.4,2.1,4161.3,1539.2,1700.1
ACTG1P15,1181.9,22,1159.9,52.8110397578137,5.72276764074047,0.4,14.34,1.314e-46,3.052e-42,5.5467925906507e-44,0,19.5,24.6,21.8,1461.7,758.1,1260
PEAR1,3502.1,3450.2,51.9,0.0151815021508772,-6.04154164286836,0.42,-14.3,2.325e-46,5.400e-42,9.63255272288609e-44,0,2913.4,2729.2,4708.1,62.1,64.9,28.6
IRF8,2062.3,7.5,2054.8,263.796431552835,8.04328123876202,0.56,14.25,4.308e-46,1.000e-41,1.75201702821978e-43,0,14.8,5.6,2.1,2320.9,1377.5,2466
LCP1,4151.6,1.2,4150.4,3951.27566369182,11.9481027851837,0.84,14.24,5.009e-46,1.163e-41,2.0005866983102e-43,0,0,1.4,2.1,6074.5,2832,3544.8
ACTG1P9,2995.9,44.6,2951.3,66.6590548291143,6.05872895624466,0.43,14.24,5.201e-46,1.208e-41,2.04103202475761e-43,0,34.9,36.6,62.4,3912,1802.2,3139.6
UCP3,1428.9,4.7,1424.2,297.238898904626,8.21547911986573,0.58,14.23,6.019e-46,1.397e-41,2.31685976078918e-43,0,8.1,2.8,3.1,1372.8,854.9,2044.9
EEF1A1P29,946.9,5.9,941,158.341152947819,7.30689245117383,0.51,14.23,6.111e-46,1.419e-41,2.31685976078918e-43,0,6.7,4.9,6.2,1335.4,607.3,880.2
RASGEF1B,900.6,2.2,898.4,390.812667584257,8.61033342055287,0.61,14.22,6.959e-46,1.616e-41,2.59442321895444e-43,0,2,3.5,1,998.3,697.5,999.4
EEF1A1P16,1574.8,18.4,1556.4,84.1571387886386,6.39501375097181,0.45,14.19,9.878e-46,2.293e-41,3.62231500162002e-43,0,20.1,20.4,14.6,2320.9,966,1382.3
ACTG1P14,13650,264.2,13385.8,50.7157270674323,5.66436129465673,0.4,14.03,1.083e-44,2.514e-40,3.90742397778744e-42,0,253.6,189.9,349.2,16947.1,8045.9,15164.3
FOS,75229.7,1477.8,73751.9,49.9195247526828,5.64153229430765,0.4,13.98,2.086e-44,4.841e-40,7.40455313389413e-42,0,1201.7,1116.7,2115,59106,57820.1,104329.5
ELOVL2,4095.3,4068.6,26.7,0.00640201658920737,-7.28725786939431,0.53,-13.88,8.565e-44,1.988e-39,2.99333187537805e-41,0,3858.9,5234.1,3112.8,12.8,16.5,50.8
ID2B,908.9,2.2,906.7,433.525278932327,8.75997230946637,0.64,13.79,2.752e-43,6.388e-39,9.47184672208801e-41,0,0.7,2.8,3.1,1140.6,732.7,846.9
ZFAND2A,7348.5,351.5,6997.1,19.9069994994753,4.31520388081557,0.31,13.78,3.166e-43,7.347e-39,1.07295499595466e-40,0,399.9,309.4,345.1,6380.6,9095.6,5515
MMP14,2346.3,1,2345.3,2276.34130068409,11.1525011673898,0.81,13.75,4.957e-43,1.150e-38,1.65480050250773e-40,0,2,0,1,2777.8,1760.4,2497.7
PPIAP8,1382.1,2.1,1380.1,666.982563592563,9.38150523642095,0.68,13.75,5.260e-43,1.221e-38,1.73026109064825e-40,0,1.3,2.8,2.1,1899.3,768,1472.9
HSPA8P4,570.5,4.1,566.4,143.570876597072,7.16561931741626,0.52,13.71,8.862e-43,2.056e-38,2.87270033302659e-40,0,4,2.1,6.2,598.1,468.7,632.4
ACTA1,1045.9,17.1,1028.8,61.2818362358304,5.93738762140345,0.43,13.68,1.293e-42,3.000e-38,4.13147495154881e-40,0,12.1,16.2,22.9,1231.6,671.1,1183.7
CELF2,2227.7,2.1,2225.6,1082.16180491135,10.0797005118219,0.74,13.68,1.357e-42,3.150e-38,4.27641050714703e-40,0,3.4,0.7,2.1,3675.5,1109,1892.4
POTEKP,7274.8,150.9,7123.9,47.308139351374,5.56401651506196,0.41,13.61,3.322e-42,7.709e-38,1.03214638651273e-39,0,144.3,113.9,194.4,8776.3,4066.4,8529.1
NFKBIZ,4142.3,277.3,3865,13.9619667774496,3.80343027857044,0.28,13.55,7.773e-42,1.803e-37,2.38179884954211e-39,0,228.8,260.2,343,4055.4,3963,3576.6
CPA5,10936.7,63.5,10873.2,171.365059055741,7.42092916698587,0.55,13.53,9.826e-42,2.280e-37,2.97016576989416e-39,0,82.5,28.1,80,4794.8,12778,15046.8
FTH1P16,12964.1,634.7,12329.5,19.4173298842986,4.27927292141542,0.32,13.53,1.025e-41,2.379e-37,3.05819240359365e-39,0,686.4,696.9,520.7,14521.3,8896.4,13570.7
PPIAP9,1558.1,12.3,1545.8,123.713339879334,6.9508572627658,0.52,13.45,3.254e-41,7.549e-37,9.57805555006975e-39,0,18.8,9.8,8.3,2240.6,842.8,1553.9
VCL,64838.9,58123.4,6715.5,0.115537378901892,-3.11356842391904,0.23,-13.36,9.825e-41,2.279e-36,2.85398485678612e-38,0,55818.4,59344.4,59207.3,7408.9,5860.9,6876.7
FOSB,20806.5,203,20603.6,101.601317686577,6.66677530258916,0.5,13.25,4.736e-40,1.098e-35,1.34572912109977e-37,0,239.5,99.2,270.2,10725.9,21874.7,29210.1
HSPA8P11,629.1,2.5,626.6,227.355780022647,7.82880787168436,0.59,13.25,4.753e-40,1.102e-35,1.34572912109977e-37,0,4.7,2.8,0,643.1,528.1,708.6
SUSD4,792.5,33.5,759.1,22.6077086454665,4.49874287320684,0.34,13.22,6.716e-40,1.558e-35,1.87766868033944e-37,0,36.9,32.3,31.2,591.7,873.6,811.9
HSPA8P5,2483.2,119.9,2363.3,19.6511086711634,4.2965388032628,0.33,13.2,9.122e-40,2.116e-35,2.51906615321636e-37,0,128.8,138.5,92.5,2965,2110.2,2014.7
EIF1P7,938.5,9.1,929.4,100.060108734453,6.64472311498303,0.51,13.15,1.730e-39,4.012e-35,4.71887862623586e-37,0,14.1,7,6.2,1354.7,761.4,672.1
PPIAP21,706.8,4.8,702,139.961410409962,7.1288852977704,0.54,13.11,2.882e-39,6.684e-35,7.76780106763949e-37,0,6,6.3,2.1,947,463.2,695.9
ACTG1P12,1096.3,36.5,1059.7,29.1778410249822,4.86680123181745,0.37,13.09,3.549e-39,8.231e-35,9.45130376850569e-37,0,39.6,25.3,44.7,1278.7,829.6,1070.9
HSPA1A,27319.9,577.9,26742,46.3001195091406,5.53294401223944,0.43,12.98,1.530e-38,3.549e-34,4.02744667627827e-36,0,487.1,451.5,795.1,17432.8,22228.9,40564.3
ACTBP8,2314.7,44.8,2269.8,50.9906789657664,5.67216164317003,0.44,12.97,1.749e-38,4.056e-34,4.54993836826057e-36,0,36.2,35.9,62.4,2754.2,1290.6,2764.7
PLA2G2A,4248,6,4242,710.128093207627,9.47193547181079,0.73,12.94,2.776e-38,6.437e-34,7.13725488421685e-36,0,4.7,7,6.2,760.8,5271.2,6694
CHRNA6,1426.7,0.9,1425.7,1391.66002589915,10.442591097246,0.81,12.93,2.903e-38,6.731e-34,7.37886233417022e-36,0,0,2.8,0,1423.1,1605.2,1248.9
EEF1A1P3,696.9,8.1,688.8,86.6171642220778,6.43658103536355,0.5,12.92,3.499e-38,8.113e-34,8.79470278689364e-36,0,7.4,5.6,11.4,966.2,470.9,629.2
HSPA8P14,723.1,3.2,719.9,206.493748508077,7.68995429523099,0.6,12.89,5.030e-38,1.166e-33,1.25014415065435e-35,0,2.7,7,0,754.4,585.3,819.9
POTEF,11494.4,375.2,11119.2,29.6546085260983,4.89018442161799,0.38,12.86,7.106e-38,1.647e-33,1.7467440986885e-35,0,360.3,303.8,461.5,13162.4,6649.8,13545.3
FTH1P5,4984.7,263.5,4721.2,17.9494668544776,4.16586908780342,0.33,12.73,4.020e-37,9.318e-33,9.77278520526602e-35,0,210,240.5,339.9,5453.9,3696.8,5012.9
KCTD12,1866.5,10,1856.5,182.832745192192,7.51438066879048,0.59,12.69,6.855e-37,1.589e-32,1.6488117549214e-34,0,18.8,4.9,6.2,1562.2,1112.3,2895
MYL6P2,553.3,2.5,550.8,200.379331022199,7.64658989307019,0.61,12.63,1.478e-36,3.425e-32,3.51594765547371e-34,0,4.7,2.8,0,638.8,440.1,573.6
LSP1,2383.4,3.5,2379.8,664.46861014976,9.37605723720556,0.74,12.61,1.839e-36,4.263e-32,4.33050777563636e-34,0,4,3.5,3.1,531.8,3485.5,3122.2
HLA-DQA2,1868.9,0.8,1868.1,2404.5521489076,11.2315524997734,0.89,12.6,2.223e-36,5.153e-32,5.18029226092845e-34,0,0,1.4,1,2097.2,1762.6,1744.6
PLAT,12072.3,28.9,12043.4,413.884744770502,8.69308526354335,0.69,12.58,2.662e-36,6.169e-32,6.13744498287123e-34,0,48.3,23.9,14.6,7178.8,3959.7,24991.6
CYBB,2881.1,0.8,2880.3,3695.86031773206,11.8516945168697,0.95,12.5,7.390e-36,1.712e-31,1.65291306579874e-33,0,0,1.4,1,4412.8,1995.8,2232.4
MT-ND3,1268.3,113.1,1155.2,10.2260585781844,3.35417829027423,0.27,12.5,7.265e-36,1.684e-31,1.65291306579874e-33,0,101.3,117.4,120.6,1044.3,1231.2,1190.1
MT-ND1,63454.2,7609.8,55844.4,7.3383738249532,2.87546039895403,0.23,12.5,7.321e-36,1.697e-31,1.65291306579874e-33,0,8461.2,6961.9,7406.2,52099.5,57665,57768.8
RPL18AP15,813.9,4.8,809,175.726182756653,7.45718535504785,0.6,12.49,8.774e-36,2.033e-31,1.94314722697874e-33,0,2,4.2,8.3,816.4,473.1,1137.6
GLUL,677.7,4.1,673.6,152.621927491095,7.25381844165913,0.58,12.45,1.433e-35,3.322e-31,3.14345602431868e-33,0,7.4,4.9,0,653.8,528.1,838.9
WDR70P1,483.1,470,13.1,0.0276652423211451,-5.17578162930563,0.42,-12.44,1.491e-35,3.454e-31,3.23716345093336e-33,0,524,464.1,422,10.7,14.3,14.3
CPA1,2537.6,34.5,2503.1,72.2446462631995,6.17481877460152,0.5,12.43,1.792e-35,4.151e-31,3.84689144244619e-33,0,31.5,45,27,1075.4,3154.3,3279.5
ENO3,4969.6,121.1,4848.5,40.0614602777345,5.3241431045814,0.43,12.43,1.806e-35,4.184e-31,3.84689144244619e-33,0,142.9,91.4,128.9,7548,3047.6,3950
GATM,20155.9,40.5,20115.4,492.952948747084,8.9453061409445,0.72,12.39,2.928e-35,6.784e-31,6.17913376515258e-33,0,65.1,51.3,5.2,32643.2,9864.6,17838.4
PPIAP19,1075.2,20.3,1054.9,51.6885766645863,5.69177357058568,0.46,12.35,5.179e-35,1.200e-30,1.0827119643082e-32,0,26.2,19,15.6,1531.2,629.3,1004.2
LINC01204,1443.5,1432.3,11.2,0.0079813389053708,-6.96915349935361,0.56,-12.34,5.865e-35,1.359e-30,1.21478437947128e-32,0,1474.8,1667.3,1154.7,22.5,3.3,7.9
FTH1P2,22549.2,1627.7,20921.5,12.8514062719797,3.68385433061817,0.3,12.33,6.274e-35,1.453e-30,1.28755056829879e-32,0,1768.7,1710.2,1404.1,25522.2,15757.4,21484.9
EEF1A1P12,1746.4,74.6,1671.8,22.35212702565,4.48234021951056,0.37,12.27,1.321e-34,3.061e-30,2.68719518355983e-32,0,85.2,75.2,63.4,2228.9,1145.3,1641.3
PFN1P9,765.3,7.2,758,110.081801381255,6.78243217341702,0.55,12.25,1.660e-34,3.844e-30,3.34437203433783e-32,0,4.7,3.5,13.5,871,500.6,902.5
ACTG1P3,1293.2,10.6,1282.7,119.728029848187,6.90361713477979,0.56,12.25,1.783e-34,4.131e-30,3.53037477731447e-32,0,19.5,4.9,7.3,1478.8,758.1,1611.1
MT-ATP8,4193.3,390.2,3803.1,9.74644097457865,3.28487549827878,0.27,12.25,1.777e-34,4.116e-30,3.53037477731447e-32,0,400.6,391.7,378.3,4425.6,3909.1,3074.5
SAT1,22298.9,2236.6,20062.3,8.9685243678696,3.16487063148959,0.26,12.23,2.251e-34,5.214e-30,4.41721821415795e-32,0,2456.5,2421.9,1831.3,20423.6,21561.1,18202.3
HSPA8P9,944.7,58,886.7,15.2510633132445,3.93083792662954,0.32,12.21,2.904e-34,6.725e-30,5.64790324868684e-32,0,71.8,49.2,53,1019.7,842.8,797.6
CAVIN2,38036.9,35379.7,2657.3,0.0751041564278301,-3.73496343793549,0.31,-12.17,4.249e-34,9.839e-30,8.19296353048249e-32,0,33703.2,38351.1,34084.7,3282.8,1881.4,2807.6
HSPA1B,14935.9,1118.3,13817.6,12.3571977241474,3.62727971128152,0.3,12.15,5.818e-34,1.347e-29,1.11226559199852e-31,0,954.8,1239.1,1160.9,10798.7,17189.9,13464.2
GAPDHP46,429.7,3.2,426.5,136.294396879925,7.09058244333602,0.58,12.14,6.398e-34,1.482e-29,1.21278958773747e-31,0,3.4,2.1,4.2,505.1,299.3,475.1
ACTG1P2,1379.2,46.6,1332.6,28.7214869193361,4.84405853470374,0.4,12.12,7.902e-34,1.830e-29,1.48535918393772e-31,0,45,38.7,56.1,1847.9,869.2,1280.6
POTEG,1100.5,14.8,1085.7,75.107707479024,6.23088905816896,0.52,12.02,2.627e-33,6.082e-29,4.89621107169793e-31,0,8.7,9.8,26,1324.7,678.8,1253.6
HERPUD1,41870.9,3493.2,38377.7,10.9861514170174,3.45761417598846,0.29,12.02,2.754e-33,6.377e-29,5.09155272056019e-31,0,3634.8,3638.5,3206.3,45088.7,41490.6,28553.9
RPL37AP8,555.9,16.8,539.1,32.106892050607,5.00481111372909,0.42,12.01,3.036e-33,7.029e-29,5.56665706319156e-31,0,15.4,18.3,16.6,602.4,362,653
LRRC8D-DT,1723.7,1674.1,49.6,0.0295073178931261,-5.08278339872831,0.42,-12.01,3.191e-33,7.387e-29,5.80276407237691e-31,0,1420.5,1449.3,2152.4,62.1,26.4,60.4
ASAP1,16022.9,14316.4,1706.5,0.119220575643169,-3.06829485055808,0.26,-12,3.348e-33,7.751e-29,6.03969825480763e-31,0,11912.8,15478.7,15557.7,1822.3,1752.7,1544.4
RPL19P6,1306.2,14.2,1292,90.2200765624742,6.49537660524362,0.54,11.99,3.835e-33,8.879e-29,6.863205327509e-31,0,24.8,6.3,11.4,1552.6,793.3,1530.1
HSP90AB6P,349.3,9.7,339.5,35.1796618419966,5.1366697101242,0.43,11.97,4.849e-33,1.122e-28,8.60831615166614e-31,0,10.1,7.7,11.4,300.7,319.1,398.8
RPL10P1,436,9.3,426.8,46.5727243683925,5.5414133729616,0.46,11.94,7.681e-33,1.778e-28,1.35283462130422e-30,0,9.4,7,11.4,548.9,310.3,421.1
EGR2,789.1,3,786.1,255.678768197985,7.9981885525942,0.67,11.93,8.290e-33,1.919e-28,1.44872354107214e-30,0,6,0,3.1,524.3,1007.8,826.2
MTCL1,9479.5,9169.5,310,0.0337551061906812,-4.88875043224056,0.41,-11.91,1.027e-32,2.378e-28,1.78126694713028e-30,0,6940.1,7069.5,13498.8,239.7,263,427.4
RAB17,980.2,4.6,975.5,210.214274858122,7.71571683037723,0.65,11.86,1.888e-32,4.369e-28,3.24778470160658e-30,0,2.7,7,4.2,886,424.7,1615.9
TUBA4A,1852.5,6.6,1845.9,268.992903431298,8.07142430188925,0.69,11.78,4.873e-32,1.128e-27,8.32011137266211e-30,0,14.1,5.6,0,2232.1,1114.5,2191.1
DNAJA1P3,729.2,24.1,705,28.9505553066638,4.85551911600297,0.41,11.77,5.365e-32,1.242e-27,9.09091120774359e-30,0,31.5,23.2,17.7,857.1,770.2,487.8
ADAMTS4,5680.7,5509,171.7,0.0312682921838113,-4.99915576569024,0.42,-11.77,5.592e-32,1.294e-27,9.40520778847926e-30,0,4699.6,3929.6,7897.8,217.2,194.7,103.3
PPIAP7,483.7,2.2,481.6,211.000015928087,7.72109929761416,0.66,11.76,5.971e-32,1.382e-27,9.96656560660623e-30,0,3.4,2.1,1,653.8,330.1,460.8
PTPN6,2376,74.4,2301.6,31.0087859512797,4.95460513788547,0.42,11.74,7.987e-32,1.848e-27,1.32330011431773e-29,0,75.8,57,90.4,3210.1,1311.5,2383.3
UBA52P4,641,4.2,636.7,157.816627544207,7.30210540534037,0.63,11.62,3.124e-31,7.229e-27,5.13861096186084e-29,0,4,1.4,7.3,691.2,349.9,869.1
ACTG1P24,712.3,6.3,706,111.172777658151,6.79665975530418,0.58,11.62,3.247e-31,7.512e-27,5.30070746500456e-29,0,3.4,11.3,4.2,846.4,396.1,875.5
MYO10,61913.9,60204.9,1708.9,0.0283727693049269,-5.1393492190179,0.44,-11.61,3.536e-31,8.181e-27,5.73117562558827e-29,0,49706.4,56338.8,74569.6,1243.4,1058.4,2825
GPAT3,1981.5,1863.5,118,0.0630719124028269,-3.98685851196053,0.34,-11.59,4.625e-31,1.070e-26,7.44288235538315e-29,0,1928.4,2299.5,1362.6,107,102.3,144.6
