SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
HLA-DQA1,19349.7,5.7,19344,3293.84954617298,11.6855589429603,5.46e-11,9.55e-07,5.87385912102821e-07,0,4,8,5,20319,17269,20444
HLA-DQB2,3450.7,2.7,3448,1476.80393990371,10.5282625916695,1.26e-10,2.21e-06,5.87385912102821e-07,0,1,2,5,3180,3216,3948
LCP1,4387.7,1.3,4386.3,3584.29942141974,11.8074754454265,1.49e-10,2.61e-06,5.87385912102821e-07,0,0,2,2,6295,2932,3932
CSF1R,4331,1.7,4329.3,2883.53786436447,11.4936242515247,1.63e-10,2.85e-06,5.87385912102821e-07,0,1,1,3,5665,2204,5119
MMP14,2491.3,1,2490.3,2042.67520173337,10.9962441093399,1.68e-10,2.94e-06,5.87385912102821e-07,0,2,0,1,2878,1822,2771
LYZ,7740,4.7,7735.3,1707.73395930107,10.7378675257259,2.66e-10,4.66e-06,7.76749346552188e-07,0,3,5,6,8154,5777,9275
HLA-DQA2,1978.7,1,1977.7,2087.84032596602,11.027795666232,3.11e-10,5.45e-06,7.78292578520495e-07,0,0,2,1,2173,1825,1935
FTLP5,2112.7,2.3,2110.3,911.020215333495,9.83133925723542,3.72e-10,6.50e-06,8.12475213210846e-07,0,3,2,2,1879,1442,3010
SPI1,4957.3,3,4954.3,1724.02089485673,10.7515615444276,5.21e-10,9.10e-06,9.70975230075156e-07,0,3,2,4,4959,2907,6997
CYSLTR2,3422.3,3,3419.3,1005.27569840169,9.97337550165864,5.55e-10,9.70e-06,9.70975230075156e-07,0,2,5,2,4361,3306,2591
CYBB,3039.3,1,3038.3,3208.82868071733,11.6478310508859,1.14e-09,2.00e-05,1.54309346980243e-06,0,0,2,1,4573,2066,2476
HSPA7,8084.7,5,8079.7,1594.67046902435,10.6390426134661,1.15e-09,2.01e-05,1.54309346980243e-06,0,6,3,6,5776,7140,11323
RPL10L,1488,2.3,1485.7,572.674904933252,9.16157257458645,1.18e-09,2.06e-05,1.54309346980243e-06,0,2,2,3,1859,946,1652
ATP6V0CP3,579.7,1,578.7,473.068405356881,8.88590500110617,1.23e-09,2.16e-05,1.54309346980243e-06,0,1,1,1,546,462,728
NR4A2,19803.7,7,19796.7,2716.84159041146,11.4077147341416,1.39e-09,2.43e-05,1.62430231919929e-06,0,1,12,8,17968,22852,18570
ZEB2,2599.3,2.3,2597,1123.70141845119,10.1340430289895,1.68e-09,2.94e-05,1.84099476327953e-06,0,3,2,2,4312,1593,1886
ID2B,962.3,2.3,960,413.456015387354,8.69159004938227,1.94e-09,3.40e-05,2.00064494872443e-06,0,1,3,3,1182,759,939
CHRNA6,1508.3,1,1507.3,1238.24187604173,10.2740774403142,2.08e-09,3.63e-05,2.01764317586261e-06,0,0,3,0,1475,1662,1385
PPIAP8,1467.7,2,1465.7,632.642210828474,9.30524600759855,2.41e-09,4.21e-05,2.21712280233661e-06,0,1,3,2,1968,795,1634
RASGEF1B,957.7,2.3,955.3,369.679222971019,8.53013015199342,2.83e-09,4.95e-05,2.4765569714092e-06,0,2,4,1,1035,722,1109
UBA52P5,2490.7,3.7,2487,724.063532701632,9.49997248140945,3.05e-09,5.33e-05,2.50352763888633e-06,0,4,1,6,2616,1815,3030
UBBP1,28130.3,121.7,28008.7,230.099378115844,7.84611327420418,3.15e-09,5.50e-05,2.50352763888633e-06,0,119,128,118,28341,19305,36380
ACTG2,5575,6.3,5568.7,863.463751247397,9.75399180355288,3.64e-09,6.36e-05,2.72301592774968e-06,0,6,5,8,6955,3556,6195
CTSS,4605.7,4,4601.7,1153.7369222246,10.1720985794682,3.77e-09,6.58e-05,2.72301592774968e-06,0,1,5,6,5788,2934,5083
UBBP3,3158,5.7,3152.3,535.770896195421,9.06547240392453,4.06e-09,7.09e-05,2.72301592774968e-06,0,6,5,6,3272,2202,3983
COL1A2,33335.7,59,33276.7,559.898798536302,9.12902227400927,4.14e-09,7.24e-05,2.72301592774968e-06,0,63,65,49,31277,21402,47151
RHOH,401,1.3,399.7,267.751872107488,8.06475285203596,4.20e-09,7.34e-05,2.72301592774968e-06,0,1,1,2,345,517,337
FTLP1,661.7,1,660.7,541.794753962693,9.0816026141957,4.88e-09,8.52e-05,3.04647268925407e-06,0,1,2,0,712,435,835
CPA2,3210,2,3208,1791.47440799861,10.8069317188235,5.39e-09,9.42e-05,3.16382265531282e-06,0,0,0,6,2968,2498,4158
CELF2,2354.3,2.3,2352,1017.72477640006,9.99113175039107,5.43e-09,9.48e-05,3.16382265531282e-06,0,4,1,2,3809,1148,2099
RARRES2,11052.3,2,11050.3,4789.60430283975,12.2256907560909,5.65e-09,9.87e-05,3.18997120933275e-06,0,3,2,1,4410,21895,6846
GNAI2P1,632.3,1,631.3,517.896122570086,9.01651894698871,8.13e-09,1.42e-04,4.44608689002798e-06,0,1,2,0,743,379,772
GAPDHP39,721.3,0.7,720.7,763.133297555806,9.57579126639733,9.75e-09,1.70e-04,5.16900801935796e-06,0,1,1,0,927,482,753
ATF3,8609.3,175,8434.3,48.1658793284561,5.58993959911761,1.02e-08,1.78e-04,5.22066440133299e-06,0,200,161,164,7683,7765,9855
DOCK2,860.3,1.7,858.7,487.310027923565,8.92869610056012,1.07e-08,1.87e-04,5.22066440133299e-06,0,1,3,1,1395,538,643
HSPA6,62125.3,92.7,62032.7,673.006447252521,9.39447651537508,1.07e-08,1.88e-04,5.22066440133299e-06,0,69,89,120,33348,71887,80863
ST6GALNAC1,3667.3,3.3,3664,1064.2862532991,10.05567051884,1.17e-08,2.03e-04,5.50871993158537e-06,0,1,3,6,2250,2682,6060
PPIAP58,1773.7,3.7,1770,448.631325751708,8.8093865501204,1.28e-08,2.23e-04,5.68561313618361e-06,0,5,3,3,2597,1164,1549
PRDX5P1,548.7,1,547.7,448.689156465239,8.80957250839371,1.32e-08,2.31e-04,5.68561313618361e-06,0,1,2,0,601,360,682
ACSM3,556,1.3,554.7,314.159932365838,8.2953553823,1.32e-08,2.31e-04,5.68561313618361e-06,0,1,2,1,783,296,585
