SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
HLA-DQA1,1631.71907110503,10.6721769782393,3.31084940384773,24.6073598501982,9.17724640619101,3.829e-09,6.698e-05,5.1426326602467e-05,0
UBBP1,185.728687812913,7.53705286217711,5.3493845011561,23.2873037465763,10.4598117357264,6.055e-09,1.059e-04,5.1426326602467e-05,0
COL1A2,390.270506441705,8.60833062918993,4.98841024037623,21.9484919208975,9.86581507719487,9.899e-09,1.731e-04,5.1426326602467e-05,0
S100A2,36.2911672848123,5.18154655591863,6.75252922297141,21.3295747798113,10.3685631850595,1.255e-08,2.195e-04,5.1426326602467e-05,0
ATF3,43.8827726514687,5.45558277751434,4.7436722221073,20.4827349463555,9.73177792734854,1.755e-08,3.069e-04,5.1426326602467e-05,0
FOS,54.2333006701396,5.76110707116957,7.56363243602463,19.9369256870354,9.97308891726657,2.194e-08,3.837e-04,5.1426326602467e-05,0
COL3A1,101.109185024857,6.65977025118881,6.38943342546339,19.7908358770643,9.73706381811595,2.332e-08,4.077e-04,5.1426326602467e-05,0
HSPA6,462.778030129828,8.85417656550989,5.63642880407895,19.7702085851201,9.4386581833683,2.352e-08,4.112e-04,5.1426326602467e-05,0
LYZ,799.891964405137,9.64366134859713,2.51961840925587,19.4688555686105,8.10615954913034,2.670e-08,4.669e-04,5.18970603790872e-05,0
BTG1,31.442703740783,4.97465337437022,5.97111518792382,18.5888536567156,9.31749784256,3.911e-08,6.838e-04,6.84119912740192e-05,0
HLA-F,36.5400223816127,5.19140561253727,4.95318353452819,18.1183676159961,8.9949287219701,4.831e-08,8.445e-04,7.68181386399123e-05,0
HSPA1L,244.728284041286,7.93503703777156,4.55900379444255,17.743429185353,8.58764664705066,5.738e-08,1.003e-03,8.11044294590383e-05,0
HLA-G,35.1874677092198,5.13698978815071,4.35281802816648,17.4960799466849,8.66879500055457,6.440e-08,1.126e-03,8.11044294590383e-05,0
HSPA7,758.143696778405,9.56632750912329,2.57327474456531,17.4792246323894,7.64676417793,6.491e-08,1.135e-03,8.11044294590383e-05,0
NR4A2,1767.13208318461,10.7871941619222,3.27399701073978,17.1049315673319,7.6078003982193,7.754e-08,1.355e-03,9.04305970200937e-05,0
NR4A1,38.6368437236767,5.27190533890096,6.35227862726395,16.1810667273413,8.34139995862722,1.223e-07,2.137e-03,0.000101771133974585,0
MT-ND1,8.8042245548387,3.13819594214232,8.57936681854302,16.0540935930699,8.36965355644462,1.304e-07,2.279e-03,0.000101771133974585,0
KRT7,56.1029065509493,5.81000361007112,5.61969323355335,16.0480225126688,8.20760545302881,1.308e-07,2.286e-03,0.000101771133974585,0
MAFB,212.239296409124,7.72954798780814,4.2975960364063,16.021218968239,7.89611704618329,1.326e-07,2.317e-03,0.000101771133974585,0
HLA-DQB2,633.078957062425,9.30624163233303,1.53792034885278,15.9019472547898,6.87291303967598,1.410e-07,2.463e-03,0.000101771133974585,0
S100A4,12.6427784991239,3.66024165384531,8.69108431769247,15.8918716295738,8.28815445793592,1.417e-07,2.476e-03,0.000101771133974585,0
