"name","SYMBOL","ENTREZ","s_MiaFRFP_1","s_MiaFRFP_2","s_MiaFRFP_3","s_Part1Lag_1","s_Part1Lag_2","s_Part1Lag_3"
"ENSG00000000003","TSPAN6",7105,2,0,0,1,5,1
"ENSG00000000419","DPM1",8813,3948,5007,1401,3855,2417,765
"ENSG00000000457","SCYL3",57147,1381,1446,753,509,628,266
"ENSG00000000460","FIRRM",55732,2776,3561,1491,1048,903,350
"ENSG00000000938","FGR",2268,0,0,3,284,199,215
"ENSG00000000971","CFH",3075,1,0,0,45,161,48
"ENSG00000001036","FUCA2",2519,3594,3592,2105,3906,5541,3102
"ENSG00000001084","GCLC",2729,1409,1892,863,990,728,491
"ENSG00000001167","NFYA",4800,2676,3284,1255,939,1485,775
"ENSG00000001460","STPG1",90529,1625,1145,1239,499,498,220
"ENSG00000001461","NIPAL3",57185,2445,2571,1471,609,915,584
"ENSG00000001497","LAS1L",81887,20604,17761,15122,6495,7740,5305
"ENSG00000001561","ENPP4",22875,0,0,0,79,34,19
"ENSG00000001617","SEMA3F",6405,543,570,785,244,335,1158
"ENSG00000001629","ANKIB1",54467,1990,2701,2023,1763,1493,813
"ENSG00000001630","CYP51A1",1595,817,590,690,537,622,834
"ENSG00000001631","KRIT1",889,340,441,244,305,263,86
"ENSG00000002016","RAD52",5893,599,516,565,212,677,395
"ENSG00000002079","MYH16",NA,192,72,90,77,103,136
"ENSG00000002330","BAD",572,1893,1231,1549,1069,1031,1288
"ENSG00000002549","LAP3",51056,6179,5924,3266,5864,3291,1934
"ENSG00000002586","CD99",4267,8,11,3,2,6,6
"ENSG00000002726","AOC1",26,11,0,0,0,2,1
"ENSG00000002746","HECW1",23072,991,1117,1199,316,741,225
"ENSG00000002822","MAD1L1",8379,1214,1007,885,33,64,60
"ENSG00000002834","LASP1",3927,25047,23742,20223,5103,4688,4192
"ENSG00000002919","SNX11",29916,3098,2711,2239,1570,1715,1069
"ENSG00000002933","TMEM176A",55365,0,0,0,125,55,127
"ENSG00000003056","M6PR",4074,12744,12310,7016,6448,5543,3817
"ENSG00000003096","KLHL13",90293,299,285,2,229,172,304
"ENSG00000003137","CYP26B1",56603,26,30,76,14,41,54
"ENSG00000003147","ICA1",3382,4,1,0,25,206,119
"ENSG00000003249","DBNDD1",79007,8319,6972,8843,3801,2695,2684
"ENSG00000003393","ALS2",57679,8225,8831,4866,1640,1462,640
"ENSG00000003400","CASP10",843,2048,1868,1013,947,685,652
"ENSG00000003402","CFLAR",8837,8946,9513,4828,6125,5178,4289
"ENSG00000003436","TFPI",7035,19970,27477,6450,33874,29767,7942
"ENSG00000003509","NDUFAF7",55471,2778,2599,1251,947,1117,336
"ENSG00000003756","RBM5",10181,2576,2402,1756,1979,2255,1137
"ENSG00000003987","MTMR7",9108,8,40,12,25,27,15
"ENSG00000003989","SLC7A2",6542,134,92,73,222,159,86
"ENSG00000004059","ARF5",381,12172,9006,7929,11976,11379,13814
"ENSG00000004139","SARM1",23098,1325,1092,1178,175,242,290
"ENSG00000004142","POLDIP2",26073,39154,34954,30789,13240,12238,13268
"ENSG00000004399","PLXND1",23129,10428,9714,11969,1595,3305,2641
"ENSG00000004455","AK2",204,27348,24421,13385,8475,10506,5724
"ENSG00000004468","CD38",952,0,0,0,2,0,4
"ENSG00000004478","FKBP4",2288,51846,45690,36521,20756,26709,15354
"ENSG00000004487","KDM1A",23028,25988,26747,20037,8142,7787,5964
"ENSG00000004534","RBM6",10180,2904,2875,1560,1554,1647,746
"ENSG00000004660","CAMKK1",84254,1298,1299,1856,334,269,443
"ENSG00000004700","RECQL",5965,6139,7758,2612,2995,2899,877
"ENSG00000004766","VPS50",55610,688,1067,266,988,484,157
"ENSG00000004776","HSPB6",126393,11,5,0,0,3,0
"ENSG00000004777","ARHGAP33",115703,299,367,279,149,272,217
"ENSG00000004779","NDUFAB1",4706,5456,4631,2140,6464,4875,3357
"ENSG00000004799","PDK4",5166,709,1341,351,176,986,236
"ENSG00000004838","ZMYND10",51364,5,3,0,4,36,2
"ENSG00000004848","ARX",170302,4,28,39,70,79,46
"ENSG00000004864","SLC25A13",10165,4824,5275,2882,1798,1004,647
"ENSG00000004866","ST7",7982,2010,1804,1345,1135,820,494
"ENSG00000004897","CDC27",996,7200,9553,3600,3034,2306,814
"ENSG00000004948","CALCR",799,8,0,0,49,7,12
"ENSG00000004961","HCCS",3052,5374,5308,3133,3812,3481,1616
"ENSG00000004975","DVL2",1856,9436,8082,10397,2768,3713,3447
"ENSG00000005001","PRSS22",64063,2,5,0,4,10,21
"ENSG00000005007","UPF1",5976,21182,18807,21022,4444,5535,4248
"ENSG00000005020","SKAP2",8935,6304,8935,3349,5751,2991,1073
"ENSG00000005022","SLC25A5",292,50367,43580,26126,36203,31217,23533
"ENSG00000005059","MCUB",55013,1892,2237,1399,2538,1495,639
"ENSG00000005073","HOXA11",3207,174,165,46,121,234,204
"ENSG00000005075","POLR2J",5439,1253,966,843,927,709,1253
"ENSG00000005100","DHX33",56919,3314,3305,2648,898,1078,828
"ENSG00000005102","MEOX1",4222,180,227,293,1,143,29
"ENSG00000005108","THSD7A",221981,0,1,0,7,5,2
"ENSG00000005156","LIG3",3980,7713,7081,5513,1365,1538,1471
"ENSG00000005175","RPAP3",79657,1978,2847,831,1201,937,233
"ENSG00000005187","ACSM3",6296,2,3,1,706,260,332
"ENSG00000005189","REXO5",81691,727,651,215,557,248,235
"ENSG00000005194","CIAPIN1",57019,12211,10593,8902,5665,5791,3978
"ENSG00000005206","SPPL2B",56928,3145,2762,4661,2012,2631,2659
"ENSG00000005238","ATOSB",80256,1025,1018,856,936,837,769
"ENSG00000005243","COPZ2",51226,126,68,4,322,375,526
"ENSG00000005249","PRKAR2B",5577,6450,8090,4860,3376,478,491
"ENSG00000005302","MSL3",10943,2074,2404,1263,1722,1644,818
"ENSG00000005339","CREBBP",1387,3842,4222,5277,2261,3396,2336
"ENSG00000005379","TSPOAP1",9256,0,0,0,4,6,1
"ENSG00000005436","GCFC2",6936,4093,5164,2034,2831,1744,1152
"ENSG00000005448","WDR54",84058,11373,8611,8034,4432,5381,5234
"ENSG00000005469","CROT",54677,333,459,117,549,355,114
"ENSG00000005471","ABCB4",5244,0,0,1,3,2,8
"ENSG00000005483","KMT2E",55904,4691,6084,2910,4668,3439,1873
"ENSG00000005486","RHBDD2",57414,22143,18518,18761,15519,13041,15771
"ENSG00000005513","SOX8",30812,5525,5019,7074,381,492,614
