name,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
ENSG00000228037,2,0,0,2,9,0
ENSG00000142611,2088,1753,2396,358,272,264
ENSG00000284616,0,0,0,0,0,2
ENSG00000157911,5039,3794,4870,2294,1996,2352
ENSG00000260972,0,0,0,0,0,0
ENSG00000224340,0,0,1,1,0,2
ENSG00000226374,0,0,0,0,0,1
ENSG00000229280,0,0,0,0,0,0
ENSG00000142655,1904,1637,1970,733,805,831
ENSG00000232596,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0
ENSG00000149527,27,41,0,2,10,22
ENSG00000284739,0,0,0,0,0,0
ENSG00000171621,3861,3626,4285,4261,6193,3167
ENSG00000272235,2,1,0,4,2,0
ENSG00000284694,0,0,0,0,0,0
ENSG00000224387,0,0,0,0,3,0
ENSG00000142583,0,2,0,18,0,0
ENSG00000284674,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,1,0
ENSG00000287727,0,16,0,30,30,28
ENSG00000286448,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,0,0
ENSG00000226457,12,22,29,41,26,27
ENSG00000173614,1579,1834,1093,613,540,258
ENSG00000215720,1,1,0,1,9,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000233623,0,0,0,7,0,1
ENSG00000204624,181,63,26,53,388,190
ENSG00000142606,6,16,0,3,3,0
ENSG00000225931,0,6,0,0,0,0
ENSG00000171729,2021,1659,1592,987,414,387
ENSG00000229393,0,0,0,0,4,0
ENSG00000037637,5194,5707,3402,1750,2706,1492
ENSG00000287586,0,0,0,0,0,0
ENSG00000159423,7297,6685,6461,1238,1704,1246
ENSG00000227169,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000157916,14092,12291,9854,8233,8650,6839
ENSG00000157881,4411,3099,4132,1111,1010,1288
ENSG00000238290,268,246,182,279,527,317
ENSG00000225387,0,0,0,0,0,0
ENSG00000048707,4265,5043,3349,1776,2129,897
ENSG00000225196,0,0,0,114,73,87
ENSG00000162444,172,130,65,110,132,58
ENSG00000279625,0,0,0,0,0,0
ENSG00000180758,1858,1427,1657,273,379,350
ENSG00000184677,2251,2074,1911,322,646,404
ENSG00000288398,412,486,661,143,267,215
ENSG00000224621,31,15,38,8,9,11
ENSG00000285833,0,0,0,0,0,0
ENSG00000131697,3560,2951,3933,472,407,524
ENSG00000284692,0,1,0,0,0,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0
ENSG00000197921,0,0,0,0,0,6
ENSG00000233755,0,0,0,0,0,0
ENSG00000233929,29,29,35,58,54,64
