ID	a-1	a-2	a-3	b-1	b-2	b-3	c-1	c-2	c-3	d-1	d-2	d-3
ENSG00000282222	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282221	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308368	4	3	0	2	0	1	6	3	9	5	4	4
ENSG00000308369	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308366	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308367	7	9	9	0	0	0	0	0	0	0	0	0
ENSG00000308364	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000297029	2	7	1	2	7	7	28	38	36	23	17	36
ENSG00000308362	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308363	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308360	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212040	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000300739	0	0	0	0	0	0	41	43	0	0	0	0
ENSG00000110514	2672	2674	2702	2076	1856	1879	3552	2999	3027	2131	2206	2731
ENSG00000207646	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000086015	3070	3053	3123	3996	3534	3816	3092	2736	2850	2059	2125	2575
ENSG00000199911	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293832	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000296313	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000295188	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000296312	0	0	0	0	0	0	3	0	5	0	0	4
ENSG00000296314	0	0	0	0	0	0	0	0	4	0	0	0
ENSG00000308863	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211769	5	6	4	4	2	4	2	3	2	2	1	1
ENSG00000211768	17	13	16	8	8	7	2	2	2	1	1	1
ENSG00000296317	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211767	64	57	63	41	45	46	10	5	7	3	3	3
ENSG00000211766	10	6	12	7	8	13	3	1	2	1	1	2
ENSG00000211765	13	17	18	5	5	3	1	0	1	0	0	0
ENSG00000211764	253	281	251	77	70	84	8	5	6	2	3	4
ENSG00000308098	0	0	0	0	0	0	0	6	5	0	0	0
ENSG00000308099	25	22	15	20	20	20	39	46	30	26	28	36
ENSG00000305068	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169740	425	403	455	784	686	738	762	741	677	587	569	867
ENSG00000296315	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261609	284	169	284	255	213	263	893	846	828	580	564	817
ENSG00000169744	2	0	0	2	4	0	1659	1334	1282	897	907	1142
ENSG00000305062	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000305063	1	3	1	3	1	0	9	2	5	6	10	13
ENSG00000215866	0	0	0	0	0	0	12	8	15	19	13	4
ENSG00000261604	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261603	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000305067	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000305064	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000302923	0	0	0	0	0	0	8	13	4	4	2	8
ENSG00000293544	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266469	0	0	0	0	0	0	14	4	8	7	2	6
ENSG00000293541	0	0	0	0	0	0	16	6	12	16	9	11
ENSG00000293540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293543	0	0	0	0	3	0	4	0	0	0	0	0
ENSG00000293542	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255070	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168297	507	512	650	555	511	580	3130	2950	2637	1726	2041	2351
